# data from file /Users/tpaneque/Documents/MAPS/as209/AS_209_C2H_260GHz_hf3.0.15arcsec.JvMcorr.image.fits
# parameters used:
# PA: 85.8
# inc: 35.0
# dist: 121.0 
# vsys: 4.6
# r[au] h[au]
3.325091902718117609e+01 -0.000000000000000000e+00
3.359235648859533541e+01 7.047668672254030930e+00
3.722377450417513955e+01 1.409533734450854281e+00
3.918166248124188655e+01 1.409533734450854281e+00
4.074707167694590737e+01 2.819067468901708562e+00
4.093254680348949393e+01 4.228601203352322813e+00
4.184372956022540535e+01 8.457202406704766418e+00
4.321813986353004111e+01 4.228601203352322813e+00
4.343497205380080572e+01 1.268580361005720825e+01
4.453386570024026980e+01 4.228601203352442717e+00
4.489845368918467017e+01 1.409533734450854281e+00
4.558723542728866107e+01 5.638134937803177316e+00
4.585719984577056607e+01 4.228601203352322813e+00
4.591241958830176628e+01 1.409533734450854281e+00
4.744413881725702709e+01 1.409533734450854281e+00
4.799814826233765785e+01 4.228601203352442717e+00
4.824831996909987453e+01 2.819067468901588658e+00
4.927988752887516455e+01 1.409533734450854281e+00
4.993715264013599864e+01 1.409533734450854281e+00
5.028680156392886147e+01 1.409533734450854281e+00
5.028680156392886147e+01 1.409533734450854281e+00
5.117735467963578344e+01 1.832393854786038645e+01
5.164416925469095787e+01 4.228601203352442717e+00
5.181330677863077483e+01 1.409533734450854281e+00
5.283753681098699673e+01 1.409533734450854281e+00
5.320279223421232473e+01 -0.000000000000000000e+00
5.337901698173421039e+01 1.409533734450854281e+00
5.337901698173421039e+01 1.409533734450854281e+00
5.538864045428515936e+01 1.409533734450854281e+00
5.575260715819096191e+01 -0.000000000000000000e+00
5.602671952882271000e+01 7.047668672254030930e+00
5.654948467169027992e+01 1.409533734450854281e+00
5.654948467169027992e+01 1.409533734450854281e+00
5.667995620437694271e+01 1.409533734450854281e+00
5.701175177646940995e+01 1.409533734450854281e+00
5.735478626112710998e+01 2.819067468901588658e+00
5.779504260338337218e+01 1.409533734450854281e+00
5.828131715145465108e+01 5.638134937803177316e+00
5.833788802918589766e+01 2.819067468901708562e+00
5.833788802918589766e+01 2.819067468901708562e+00
5.890003343018147319e+01 -0.000000000000000000e+00
5.932538874296938047e+01 1.409533734450854281e+00
5.934592654729834038e+01 4.228601203352442717e+00
5.985970174006908451e+01 1.409533734450854281e+00
6.079153253078015950e+01 2.819067468901588658e+00
6.085692179958429193e+01 1.409533734450854281e+00
6.143706294670965207e+01 1.409533734450854281e+00
6.197615437692693519e+01 2.819067468901708562e+00
6.231211544232996857e+01 1.409533734450854281e+00
6.246078611121127722e+01 1.409533734450854281e+00
6.319661447349476191e+01 4.228601203352442717e+00
6.325885175634279278e+01 -0.000000000000000000e+00
6.356909282812852524e+01 5.638134937803177316e+00
6.410619198877785152e+01 1.409533734450854281e+00
6.437693909164791251e+01 2.819067468901588658e+00
6.498686454112707622e+01 1.409533734450854281e+00
6.530427078701899291e+01 1.409533734450854281e+00
6.563471573573303885e+01 1.409533734450854281e+00
6.575737766841564280e+01 8.457202406704885433e+00
6.581679129027581610e+01 8.457202406704885433e+00
6.581679129027588715e+01 -0.000000000000000000e+00
6.614609171142716093e+01 2.819067468901708562e+00
6.683757203229943400e+01 1.409533734450854281e+00
6.690191528385000197e+01 4.228601203352442717e+00
6.732434931172382164e+01 1.409533734450854281e+00
6.751580341424434550e+01 1.409533734450854281e+00
6.808752518021263711e+01 2.819067468901588658e+00
6.907256493938892561e+01 -0.000000000000000000e+00
6.926345269617402778e+01 4.228601203352442717e+00
