# data from file /Users/tpaneque/Documents/MAPS/as209/AS_209_C18O_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 85.8
# inc: 35.0
# dist: 121.0 
# vsys: 4.6
# r[au] h[au]
1.679744591751007121e+01 1.411131700320647830e+00
1.877361602545243358e+01 4.233395100961883983e+00
2.023609561038129456e+01 5.644526801282472306e+00
2.250450107382127030e+01 1.411131700320647830e+00
2.341866750604134140e+01 -0.000000000000000000e+00
2.508325700892469001e+01 7.055658501603120136e+00
2.536351055667407195e+01 -0.000000000000000000e+00
2.621529536517129699e+01 1.411131700320647830e+00
2.806475451272320853e+01 9.877921902244356289e+00
2.806475451272320853e+01 9.877921902244356289e+00
2.970697099772069194e+01 9.877921902244356289e+00
3.022897322397454190e+01 4.233395100961883983e+00
3.104162911226976362e+01 5.644526801282472306e+00
3.149366727032779778e+01 1.411131700320647830e+00
3.521075213514878044e+01 8.466790201923767967e+00
3.523963221998583606e+01 4.233395100961883983e+00
3.678381799777056926e+01 5.644526801282472306e+00
3.681773981579269162e+01 2.116697550480930090e+01
3.839416575020718625e+01 5.644526801282472306e+00
3.951925306092095269e+01 5.644526801282472306e+00
4.026569754766286735e+01 4.233395100961883983e+00
4.256415455998983077e+01 2.822263400641295661e+00
4.322034205093549275e+01 4.233395100961883983e+00
4.434003968236907411e+01 1.411131700320624027e+01
4.464264679044759276e+01 1.411131700320647830e+00
4.760602160592087984e+01 4.233395100961883983e+00
4.909547224036560920e+01 1.411131700320647830e+00
5.040084075025618660e+01 2.822263400641295661e+00
5.227748948165462650e+01 1.411131700320647830e+00
5.415268704526452836e+01 5.644526801282472306e+00
5.781704378503040687e+01 2.681150230609177143e+01
5.989916186839732148e+01 2.540037060577118311e+01
6.130809258602378264e+01 2.540037060577118311e+01
6.388765784704092709e+01 2.681150230609177143e+01
7.307052494780784002e+01 1.411131700320647830e+00
7.786638263967860496e+01 1.552244870352682860e+01
8.196533627114467890e+01 1.834471210416800346e+01
8.312197933022800100e+01 8.466790201923767967e+00
8.325555698474360611e+01 5.644526801282472306e+00
8.658799145248059403e+01 8.466790201923767967e+00
8.847499077925262156e+01 7.055658501603120136e+00
9.013127399396309158e+01 8.466790201923767967e+00
9.013792993856414171e+01 1.411131700320647830e+00
9.221159047548222532e+01 -0.000000000000000000e+00
9.267467102020424363e+01 5.644526801282472306e+00
9.307593674636444803e+01 1.411131700320647830e+00
9.374306540632672125e+01 1.693358040384741514e+01
9.424564198508367951e+01 2.681150230609177143e+01
9.442328126226435359e+01 -0.000000000000000000e+00
9.459255277881676705e+01 1.411131700320647830e+00
9.459255277881676705e+01 1.411131700320647830e+00
9.538089072836474713e+01 2.822263400641295661e+00
9.588537419955575558e+01 4.233395100961883983e+00
9.628250907206998477e+01 1.411131700320647830e+00
9.813685106632084398e+01 1.411131700320647830e+00
1.001464477313760568e+02 1.411131700320647830e+00
1.002889320216434754e+02 9.877921902244356289e+00
1.014540422266962310e+02 5.995760326133929341e-14
1.021152999428860966e+02 3.104489740705365719e+01
1.031798754701798941e+02 9.877921902244356289e+00
1.054650522340836858e+02 1.128905360256494461e+01
1.064103863999746267e+02 7.055658501603059740e+00
1.070159623290527833e+02 9.877921902244356289e+00
1.071893346145007229e+02 3.951168760897730436e+01
1.084730422970636994e+02 1.411131700320647830e+00
1.087652347955736474e+02 8.466790201923707571e+00
