# data from file /Users/tpaneque/Documents/MAPS/as209/AS_209_CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 85.8
# inc: 35.0
# dist: 121.0 
# vsys: 4.6
# r[au] h[au]
2.959206515662201387e+00 5.634913182508174856e+00
5.057746966798564614e+00 5.634913182508174856e+00
7.891217375099063069e+00 1.408728295627043714e+00
8.893548945099913894e+00 1.408728295627043714e+00
9.864021718873807743e+00 4.226184886881251046e+00
9.864021718873807743e+00 4.226184886881251046e+00
1.011549393359707949e+01 9.861098069389424126e+00
1.183682606264863679e+01 1.408728295627043714e+00
1.252734418842319997e+01 1.408728295627043714e+00
1.282322823453600869e+01 -0.000000000000000000e+00
1.346324936754957058e+01 -0.000000000000000000e+00
1.346324936754957058e+01 8.452369773762381300e+00
1.522270629902230610e+01 2.817456591254087428e+00
1.606242499354636522e+01 1.408728295627163396e+00
1.691798406340795324e+01 5.634913182508174856e+00
1.778709789019997345e+01 7.043641478135338474e+00
1.822285423477812571e+01 9.861098069389424126e+00
1.874164126586032708e+01 1.690473954752476260e+01
1.924415991044653751e+01 5.634913182508174856e+00
2.079925485011188258e+01 5.634913182508414664e+00
2.079925485011188258e+01 5.634913182508414664e+00
2.111663226209028110e+01 1.408728295627067695e+01
2.136565708310777012e+01 1.408728295627163396e+00
2.227967373248142735e+01 5.634913182508293872e+00
2.276549286726339361e+01 4.226184886881251046e+00
2.494678145647677070e+01 4.226184886881251046e+00
2.499884355561107085e+01 1.126982636501647050e+01
2.598872606826638787e+01 2.817456591254087428e+00
2.642481174501896390e+01 5.634913182508293872e+00
2.642481174501896390e+01 5.634913182508293872e+00
2.668064683529981806e+01 1.408728295627163396e+00
2.668064683529981806e+01 1.408728295627163396e+00
2.755963331651024006e+01 2.817456591254087428e+00
2.880319815219746360e+01 1.408728295627163396e+00
2.880319815219746360e+01 1.408728295627163396e+00
2.881178877750117451e+01 4.226184886881251046e+00
2.914937025666410975e+01 5.634913182508293872e+00
2.961926225930109524e+01 2.817456591254087428e+00
3.058281935816347641e+01 5.634913182508293872e+00
3.058281935816347641e+01 5.634913182508293872e+00
3.113999141612911714e+01 5.634913182508174856e+00
3.113999141612911714e+01 5.634913182508174856e+00
3.128085002416796456e+01 5.634913182508174856e+00
3.132154744573060512e+01 1.408728295627163396e+00
3.216750999558625068e+01 5.634913182508293872e+00
3.261344188043237580e+01 1.408728295627043714e+00
3.296145892949964917e+01 1.126982636501658774e+01
3.297675505020698949e+01 5.634913182508174856e+00
3.383596812681575727e+01 9.861098069389424126e+00
3.483932720851111497e+01 8.452369773762381300e+00
3.519774828368647945e+01 5.634913182508174856e+00
3.519774828368647945e+01 5.634913182508174856e+00
3.540422876758984927e+01 5.634913182508293872e+00
3.554435499234180185e+01 9.861098069389424126e+00
3.557419578039980479e+01 9.861098069389424126e+00
3.681901945470915649e+01 8.452369773762262284e+00
3.681901945470915649e+01 8.452369773762262284e+00
3.699302650837940121e+01 7.043641478135338474e+00
3.758203256526959279e+01 1.408728295626923810e+00
3.784824217388959511e+01 8.452369773762381300e+00
3.846968470360810954e+01 1.408728295627067695e+01
3.849820628462195771e+01 9.861098069389424126e+00
3.868773116083239927e+01 1.408728295627067695e+01
3.925179112553079364e+01 8.452369773762262284e+00
3.925179112553079364e+01 8.452369773762262284e+00
3.934026524843791606e+01 7.043641478135338474e+00
4.001505585208084881e+01 1.126982636501658774e+01
4.064995475428607818e+01 1.408728295627067695e+01
4.123180177905200594e+01 9.861098069389424126e+00
4.126609413379186719e+01 1.408728295627067695e+01
4.126609413379186719e+01 1.408728295627067695e+01
4.142889121927022700e+01 1.831346784315180898e+01
4.159850970022376515e+01 7.043641478135338474e+00
4.164697353710882055e+01 9.861098069389424126e+00
4.185608310969011825e+01 9.861098069389424126e+00
4.186430228064891423e+01 8.452369773762381300e+00
4.186430228064891423e+01 8.452369773762381300e+00
4.194536710858535145e+01 8.452369773762262284e+00
4.239778611159080413e+01 1.408728295627067695e+01
4.340456710066487744e+01 5.634913182508174856e+00
4.418619689014171570e+01 9.861098069389424126e+00
4.418619689014176544e+01 9.861098069389424126e+00
4.439430451469774397e+01 1.126982636501647050e+01
4.484034914844451691e+01 9.861098069389544918e+00
4.490303979104189835e+01 5.634913182508293872e+00
4.490303979104191967e+01 1.408728295627067695e+01
4.509588933728271343e+01 1.126982636501658774e+01
4.547790158201163990e+01 1.126982636501658774e+01
4.553098573452695774e+01 9.861098069389424126e+00
4.622716254653419554e+01 9.861098069389424126e+00
4.650207773775556319e+01 7.043641478135338474e+00
