# data from file /Users/tpaneque/Documents/MAPS/as209/AS_209_13CO_110GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 85.8
# inc: 35.0
# dist: 121.0 
# vsys: 4.6
# r[au] h[au]
1.976170107942355259e+01 5.644526801282591322e+00
2.123010630252466768e+01 2.822263400641295661e+00
2.188141634148902526e+01 5.644526801282591322e+00
3.442337568522778923e+01 5.644526801282591322e+00
4.246021260504926431e+01 5.644526801282591322e+00
5.023060721178723753e+01 1.975584380448871258e+01
5.843629753774548874e+01 -0.000000000000000000e+00
7.104406630986494520e+01 2.822263400641295661e+00
7.877666560311413946e+01 1.128905360256494461e+01
9.402006730440258764e+01 1.693358040384753593e+01
9.708848092794139006e+01 5.644526801282591322e+00
1.012216497011258554e+02 2.822263400641295661e+00
1.025213978781440289e+02 2.822263400641295661e+00
1.048602127416667429e+02 1.411131700320624027e+01
1.117867639423299266e+02 1.411131700320624027e+01
1.138068517757702978e+02 2.822263400641295661e+00
1.141985228397461754e+02 1.128905360256494461e+01
1.168725950754909917e+02 1.128905360256494461e+01
1.184067771831082609e+02 8.466790201923767967e+00
1.202760728260086722e+02 1.128905360256494461e+01
1.257256144002260214e+02 2.822263400641295661e+00
1.301124706215671551e+02 5.644526801282591322e+00
1.315581487129736900e+02 2.822263400641295661e+00
1.335097270935671645e+02 1.128905360256494461e+01
1.338636445903810852e+02 2.822263400641295661e+00
1.350607953424848802e+02 1.128905360256494461e+01
1.376935027409112422e+02 5.644526801282591322e+00
1.402763340861465338e+02 2.822263400641295661e+00
1.404900294951166586e+02 8.466790201923767967e+00
1.408021182768073061e+02 2.822263400641295661e+00
1.420591715001261264e+02 1.411131700320624027e+01
1.423785943334099784e+02 1.128905360256494461e+01
1.444222104478469646e+02 2.822263400641295661e+00
1.472461360571910802e+02 2.540037060577118311e+01
1.499140559221642377e+02 1.128905360256494461e+01
1.504908934845026920e+02 2.540037060577118311e+01
1.512813571448877497e+02 2.822263400641248055e+01
1.522499224901785908e+02 1.411131700320624027e+01
1.522543845230065074e+02 5.644526801282591322e+00
1.543311796253568957e+02 3.386716080769483028e+01
1.571007806305747465e+02 8.466790201923767967e+00
1.587683344276170772e+02 8.466790201923767967e+00
1.596173035865729446e+02 1.693358040384753593e+01
1.655899824587934859e+02 2.822263400641295661e+00
1.689301626593348828e+02 1.975584380448871258e+01
1.695250006840158790e+02 2.822263400641248055e+01
1.706300096675647069e+02 1.411131700320624027e+01
1.769293377572403756e+02 1.975584380448871258e+01
1.773424964792517358e+02 1.975584380448871258e+01
1.842451291651203462e+02 1.411131700320624027e+01
