# data from file /Users/tpaneque/Documents/MAPS/as209/AS_209_13CO_220GHz.robust_0.5.clean.JvMcorr.image.fits
# parameters used:
# PA: 85.8
# inc: 35.0
# dist: 121.0 
# vsys: 4.6
# r[au] h[au]
1.549568763857068632e+01 1.268580361005720825e+01
1.549568763857068632e+01 1.268580361005720825e+01
1.637813858458439498e+01 1.127626987560635463e+01
1.828886739027342045e+01 1.268580361005720825e+01
1.828886739027342045e+01 1.268580361005720825e+01
2.156696403154276709e+01 5.638134937803177316e+00
2.160082265694068582e+01 1.268580361005720825e+01
2.430623619478935282e+01 1.409533734450854281e+00
2.532439249346661825e+01 8.457202406704885433e+00
2.615926081984767393e+01 4.228601203352442717e+00
2.617555067202488317e+01 9.866736141155618256e+00
2.781074835743806872e+01 8.457202406704885433e+00
2.858797512978731348e+01 1.409533734450854281e+00
2.966445495440508751e+01 1.409533734450854281e+00
3.002350302306632912e+01 1.409533734450854281e+00
3.055414059175011587e+01 -0.000000000000000000e+00
3.071314258178547263e+01 8.457202406704885433e+00
3.099137527714133356e+01 5.638134937803177316e+00
3.141865250244947916e+01 1.409533734450854281e+00
3.144963165454427312e+01 1.409533734450854281e+00
3.264457652257152631e+01 -0.000000000000000000e+00
3.362030256581500254e+01 5.638134937803177316e+00
3.433167966321741460e+01 5.638134937803177316e+00
3.456497739227898336e+01 1.409533734450854281e+00
3.518642438638828907e+01 4.228601203352442717e+00
3.522102304443941989e+01 5.638134937803177316e+00
3.589222019898861760e+01 4.228601203352442717e+00
3.593120653822312960e+01 1.409533734450854281e+00
3.625508175110833520e+01 5.638134937803177316e+00
3.672224981596461646e+01 5.638134937803177316e+00
3.677525177242385013e+01 4.228601203352322813e+00
3.691570857161297425e+01 1.409533734450854281e+00
3.753716750024270254e+01 4.228601203352322813e+00
3.794851951260519485e+01 1.409533734450854281e+00
3.798859982212350417e+01 2.819067468901708562e+00
3.833160968569137594e+01 5.638134937803177316e+00
3.871249850308718976e+01 1.409533734450854281e+00
3.944780815970888455e+01 5.638134937803177316e+00
3.946013778938807093e+01 1.409533734450854281e+00
3.946013778938807093e+01 1.409533734450854281e+00
3.949101129475241123e+01 4.228601203352442717e+00
3.979049073265931469e+01 5.638134937803177316e+00
3.997366368043579854e+01 -0.000000000000000000e+00
4.063826779507643749e+01 1.409533734450854281e+00
4.095019216261714234e+01 5.638134937803177316e+00
4.157430553976618626e+01 2.819067468901588658e+00
4.171612253615715105e+01 1.409533734450854281e+00
4.176134590050167361e+01 1.409533734450854281e+00
4.223247184835315693e+01 1.409533734450854281e+00
4.244386928255971014e+01 5.638134937803177316e+00
4.313392806308542049e+01 2.819067468901588658e+00
4.419774973310608601e+01 1.409533734450854281e+00
4.428718636897968253e+01 5.638134937803177316e+00
4.439565657119825914e+01 7.047668672254030930e+00
4.486628453653306536e+01 4.228601203352322813e+00
4.528633564515336474e+01 2.819067468901708562e+00
4.528633564515336474e+01 2.819067468901708562e+00
4.565721240675538439e+01 5.638134937803177316e+00
