# data from file /Users/tpaneque/Documents/MAPS/as209/AS_209_H2CO_220GHz.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: 85.8
# inc: 35.0
# dist: 121.0 
# vsys: 4.6
# r[au] h[au]
3.442337568522783897e+01 -0.000000000000000000e+00
4.376283268297823525e+01 1.128905360256494461e+01
4.854424046397074477e+01 1.128905360256494461e+01
5.470862869788666671e+01 1.128905360256494461e+01
5.746725154335775443e+01 5.644526801282591322e+00
5.746725154335782548e+01 -0.000000000000000000e+00
6.209797603549877465e+01 5.644526801282591322e+00
6.463373283131450364e+01 -0.000000000000000000e+00
6.536562657284039801e+01 2.822263400641295661e+00
6.536562657284039801e+01 2.822263400641295661e+00
6.597014825544887628e+01 1.128905360256494461e+01
6.784348591562718411e+01 5.644526801282591322e+00
6.923451609299637255e+01 1.128905360256494461e+01
7.019307865371011701e+01 1.128905360256494461e+01
7.241306653075841382e+01 2.822263400641295661e+00
7.286227414540843483e+01 5.644526801282591322e+00
7.311829399386741102e+01 1.411131700320624027e+01
7.356166854776355990e+01 1.128905360256494461e+01
7.371944430155940609e+01 1.411131700320624027e+01
7.526725861050168476e+01 2.822263400641295661e+00
7.580903974488862218e+01 2.822263400641295661e+00
7.627400411562391014e+01 1.128905360256494461e+01
7.672942945511555024e+01 1.128905360256494461e+01
7.698578995204444197e+01 5.644526801282591322e+00
7.877666560311413946e+01 1.128905360256494461e+01
7.877666560311413946e+01 1.128905360256494461e+01
7.932823497167821358e+01 1.975584380448871258e+01
7.943151932071859278e+01 1.411131700320624027e+01
8.124951371588795723e+01 -0.000000000000000000e+00
8.124951371588795723e+01 2.257810720512988922e+01
8.198326547871917569e+01 5.644526801282591322e+00
8.325094274574202302e+01 1.411131700320624027e+01
8.361051339960407347e+01 2.822263400641295661e+00
8.392163747719487787e+01 1.693358040384753593e+01
8.392163747719496314e+01 -0.000000000000000000e+00
8.594777885430849551e+01 5.644526801282591322e+00
8.730710578116239162e+01 1.975584380448871258e+01
8.770543247531574593e+01 1.693358040384753593e+01
8.987908343044578885e+01 8.466790201923767967e+00
8.994531385434740400e+01 1.411131700320624027e+01
9.111093687488609305e+01 1.128905360256494461e+01
9.138805690508925750e+01 5.080074121154236622e+01
9.232584022162477311e+01 8.466790201923767967e+00
9.232584022162477311e+01 8.466790201923767967e+00
9.282559776031133936e+01 5.080074121154236622e+01
9.365634614752349307e+01 2.822263400641295661e+00
9.688399154296799054e+01 1.128905360256494461e+01
9.793250666059581988e+01 1.411131700320624027e+01
9.895522238317333574e+01 4.515621441025977845e+01
9.950977184920395757e+01 2.822263400641295661e+00
1.001950014208696160e+02 3.668942420833612772e+01
1.008511037201338638e+02 2.540037060577118311e+01
1.013172674512641862e+02 2.822263400641295661e+00
1.013172674512641862e+02 2.822263400641295661e+00
1.023244554456953352e+02 -0.000000000000000000e+00
1.025213978781440147e+02 1.975584380448871258e+01
1.034919373219686634e+02 1.128905360256494461e+01
1.052453237627767351e+02 1.128905360256494461e+01
1.058512204077816108e+02 2.822263400641248055e+01
1.067839457500574412e+02 2.822263400641295661e+00
1.069639249905597751e+02 5.644526801282591322e+00
1.069639249905597751e+02 1.693358040384753593e+01
1.090769296070157566e+02 -0.000000000000000000e+00
1.105042870983966878e+02 1.128905360256494461e+01
1.105174270621216834e+02 2.822263400641295661e+00
1.121204616180399398e+02 1.693358040384753593e+01
1.130328415272198015e+02 2.822263400641295661e+00
1.143676988906220089e+02 2.822263400641295661e+00
1.146178662606570100e+02 5.644526801282591322e+00
1.161479292642544152e+02 -0.000000000000000000e+00
1.166665518378226949e+02 2.822263400641295661e+00
1.170547187594457341e+02 8.466790201923767967e+00
1.172073685702173549e+02 -0.000000000000000000e+00
1.180326193480416492e+02 5.644526801282591322e+00
1.188313849911123015e+02 2.540037060577118311e+01
1.194825208324152754e+02 2.822263400641295661e+00
1.198782706521501211e+02 8.466790201923767967e+00
1.199525459535399960e+02 2.822263400641295661e+00
1.206217231308662434e+02 5.644526801282591322e+00
1.212870824789714987e+02 1.128905360256494461e+01
1.218742705738319501e+02 1.128905360256494461e+01
1.220044975293820642e+02 2.257810720512988922e+01
1.225010781243813369e+02 2.822263400641295661e+00
1.225225466924265305e+02 1.128905360256494461e+01
1.232693180318408821e+02 -0.000000000000000000e+00
1.238710783640523232e+02 1.693358040384753593e+01
1.243834341413809597e+02 1.128905360256494461e+01
1.266748158497003232e+02 1.975584380448871258e+01
1.277303062010000474e+02 2.257810720512988922e+01
1.280145142389940247e+02 1.128905360256494461e+01
1.285554231982452222e+02 8.466790201923767967e+00
1.287941986276941009e+02 1.975584380448871258e+01
1.289155605882529301e+02 1.975584380448871258e+01
1.300472041600739033e+02 2.822263400641295661e+00
1.307312531456807960e+02 5.644526801282591322e+00
1.321459847760931439e+02 5.644526801282591322e+00
1.330665971379210646e+02 2.822263400641295661e+00
1.349155514745622213e+02 2.822263400641295661e+00
1.349173295295954063e+02 5.644526801282591322e+00
1.355883471769876110e+02 2.822263400641248055e+01
1.366664053123290898e+02 3.668942420833612772e+01
1.367715717447165957e+02 2.822263400641295661e+00
1.376385234290859785e+02 5.644526801282591322e+00
1.376443727190565767e+02 1.975584380448871258e+01
1.389516146837555368e+02 2.822263400641295661e+00
1.403861573074201488e+02 2.822263400641248055e+01
1.407018038897826955e+02 2.822263400641295661e+00
1.425524571684672424e+02 3.951168760897742516e+01
1.431111477899433737e+02 1.975584380448871258e+01
1.442773286804366251e+02 1.128905360256494461e+01
1.471233370955270630e+02 3.951168760897742516e+01
1.486189913227001114e+02 8.466790201923767967e+00
1.509883587936766105e+02 1.128905360256494461e+01
1.521361657098090916e+02 1.975584380448871258e+01
1.525480082312478771e+02 -0.000000000000000000e+00
1.528692560672969023e+02 2.822263400641295661e+00
1.537844911709805444e+02 3.668942420833612772e+01
1.543311796253569241e+02 -0.000000000000000000e+00
1.546466433067275830e+02 1.128905360256494461e+01
1.556992820620833129e+02 2.822263400641295661e+00
1.582349436228262505e+02 2.540037060577118311e+01
1.593714376429539072e+02 2.822263400641295661e+00
1.596173035865729730e+02 -0.000000000000000000e+00
1.604458874858397905e+02 2.822263400641295661e+00
1.608966583720069536e+02 2.822263400641295661e+00
1.615843320782863657e+02 -0.000000000000000000e+00
1.621694058017101838e+02 1.128905360256494461e+01
1.630320318259526289e+02 8.466790201923767967e+00
1.630320318259526289e+02 1.411131700320624027e+01
1.632148741916823553e+02 1.975584380448871258e+01
1.633331725729518382e+02 2.540037060577118311e+01
1.655899824587934859e+02 2.822263400641295661e+00
1.666410120552081082e+02 2.822263400641295661e+00
1.669161930319815212e+02 -0.000000000000000000e+00
1.672156208103086215e+02 8.466790201923767967e+00
1.707698406014769716e+02 1.128905360256494461e+01
1.715711671440308805e+02 5.644526801282591322e+00
1.715711671440308805e+02 5.644526801282591322e+00
1.720457098219907834e+02 -0.000000000000000000e+00
