# data from file /Users/tpaneque/Documents/MAPS/as209/AS_209_HCN_260GHz_hf1.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: 85.8
# inc: 35.0
# dist: 121.0 
# vsys: 4.6
# r[au] h[au]
3.488392622632658657e+01 2.822263400641295661e+00
3.509653932685500166e+01 2.822263400641295661e+00
3.754723205090486715e+01 8.466790201923767967e+00
3.849289497602220678e+01 2.822263400641295661e+00
4.235785083863697764e+01 5.644526801282591322e+00
4.254980669619528300e+01 2.822263400641295661e+00
4.254980669619528300e+01 2.822263400641295661e+00
4.545191248267431661e+01 2.822263400641295661e+00
4.545191248267431661e+01 2.822263400641295661e+00
4.555546843744298258e+01 2.822263400641295661e+00
4.641279888015566257e+01 2.822263400641295661e+00
4.641279888015566257e+01 2.822263400641295661e+00
4.694931947002362449e+01 8.466790201923767967e+00
4.736271087324322338e+01 5.644526801282591322e+00
4.736271087324333706e+01 -0.000000000000000000e+00
4.742808259061672516e+01 1.128905360256494461e+01
4.918294983590410396e+01 2.822263400641295661e+00
5.016630803976244124e+01 2.822263400641295661e+00
5.028967822784485264e+01 8.466790201923767967e+00
5.040795157829960971e+01 2.822263400641295661e+00
5.335659291444377317e+01 2.822263400641295661e+00
5.335659291444377317e+01 2.822263400641295661e+00
5.348196249527991597e+01 2.822263400641295661e+00
5.348196249527991597e+01 2.822263400641295661e+00
5.417746357107136390e+01 2.822263400641295661e+00
5.417746357107136390e+01 2.822263400641295661e+00
5.533276302238608935e+01 5.644526801282591322e+00
5.533276302238617461e+01 -0.000000000000000000e+00
5.598713533696814437e+01 2.822263400641295661e+00
5.598713533696814437e+01 2.822263400641295661e+00
5.656865044939682718e+01 2.822263400641295661e+00
5.656865044939684850e+01 2.822263400641295661e+00
5.687903083489486988e+01 8.466790201923767967e+00
5.897644591908009915e+01 2.822263400641295661e+00
5.897644591908009915e+01 2.822263400641295661e+00
6.002495329052354123e+01 1.128905360256494461e+01
6.013803641300430058e+01 8.466790201923767967e+00
6.031086156543310750e+01 2.822263400641295661e+00
6.031086156543312882e+01 2.822263400641295661e+00
6.034376497577454046e+01 2.822263400641295661e+00
6.126127334621322262e+01 8.466790201923767967e+00
6.386515310050000949e+01 2.822263400641295661e+00
6.386515310050000949e+01 2.822263400641295661e+00
6.400725711949695551e+01 5.644526801282591322e+00
6.536562657284039801e+01 2.822263400641295661e+00
6.718978367004028485e+01 5.644526801282591322e+00
6.784348591562718411e+01 5.644526801282591322e+00
6.853217230943404559e+01 2.822263400641295661e+00
6.853217230943404559e+01 2.822263400641295661e+00
6.976785245265320157e+01 5.644526801282591322e+00
6.999993110269359420e+01 2.822263400641295661e+00
7.104406630986494520e+01 2.822263400641295661e+00
7.108948442888726049e+01 2.822263400641295661e+00
7.108948442888726049e+01 2.822263400641295661e+00
7.118929716670490393e+01 5.644526801282591322e+00
7.167297515972396127e+01 2.822263400641295661e+00
7.241306653075841382e+01 2.822263400641295661e+00
7.410197436953887973e+01 2.822263400641295661e+00
7.468850732229076073e+01 2.822263400641295661e+00
7.526725861050168476e+01 2.822263400641295661e+00
7.549417939683829104e+01 8.466790201923767967e+00
7.573044738400848530e+01 8.466790201923767967e+00
7.698578995204449882e+01 -0.000000000000000000e+00
7.761895299147646199e+01 2.822263400641295661e+00
7.776580562576377531e+01 2.822263400641295661e+00
7.871641497763684470e+01 2.822263400641295661e+00
7.960319606898320899e+01 -0.000000000000000000e+00
8.037166280943786489e+01 2.822263400641295661e+00
8.038712379847798672e+01 2.822263400641295661e+00
8.206294304682997165e+01 2.822263400641295661e+00
8.206294304682997165e+01 2.822263400641295661e+00
8.325094274574202302e+01 8.466790201923767967e+00
8.361051339960407347e+01 2.822263400641295661e+00
8.361051339960407347e+01 2.822263400641295661e+00
8.401889034222290320e+01 8.466790201923767967e+00
8.401889034222290320e+01 8.466790201923767967e+00
8.468903136614123639e+01 2.822263400641295661e+00
8.468903136614123639e+01 2.822263400641295661e+00
8.574513095451490585e+01 2.822263400641295661e+00
8.578558357201545448e+01 2.822263400641295661e+00
8.620087731503667783e+01 2.822263400641295661e+00
8.752566536595635682e+01 5.644526801282591322e+00
8.922838684002640264e+01 2.822263400641295661e+00
8.931442889976344190e+01 2.822263400641295661e+00
8.987908343044578885e+01 8.466790201923767967e+00
9.025891339042780714e+01 2.822263400641295661e+00
9.195208568470442856e+01 -0.000000000000000000e+00
9.217540510945234189e+01 2.822263400641295661e+00
9.217540510945234189e+01 2.822263400641295661e+00
9.261814843822040189e+01 2.822263400641295661e+00
9.365634614752349307e+01 2.822263400641295661e+00
9.365634614752349307e+01 2.822263400641295661e+00
9.517325967594362623e+01 -0.000000000000000000e+00
9.544231340613876569e+01 2.822263400641295661e+00
9.548643104414770733e+01 2.822263400641295661e+00
9.654259486543477919e+01 2.822263400641295661e+00
9.708848092794144691e+01 -0.000000000000000000e+00
9.793250666059581988e+01 8.466790201923767967e+00
9.793250666059581988e+01 8.466790201923767967e+00
9.834424712646493560e+01 8.466790201923767967e+00
9.870409434685454642e+01 2.822263400641295661e+00
9.950977184920395757e+01 2.822263400641295661e+00
9.950977184920395757e+01 2.822263400641295661e+00
1.001950014208696160e+02 2.822263400641295661e+00
1.013172674512641862e+02 2.822263400641295661e+00
1.021435678918257395e+02 2.822263400641295661e+00
1.023244554456952642e+02 5.644526801282591322e+00
1.035243707092363650e+02 5.644526801282591322e+00
1.043552989122976271e+02 2.822263400641295661e+00
1.043696867104717398e+02 2.822263400641295661e+00
1.044171407773839633e+02 8.466790201923767967e+00
1.048602127416667429e+02 8.466790201923767967e+00
1.052896179805651116e+02 2.822263400641295661e+00
1.052896179805651116e+02 2.822263400641295661e+00
1.067839457500574412e+02 2.822263400641295661e+00
1.090769296070157566e+02 -0.000000000000000000e+00
1.092425047229447301e+02 2.822263400641295661e+00
1.099575025775540666e+02 8.466790201923767967e+00
1.111950520733169725e+02 2.822263400641295661e+00
1.121610394375372692e+02 8.466790201923767967e+00
1.121998726364175667e+02 5.644526801282591322e+00
1.130892312064352581e+02 1.128905360256494461e+01
1.132525028876928133e+02 1.128905360256494461e+01
1.138068517757702978e+02 2.822263400641295661e+00
1.156334310922458428e+02 8.466790201923767967e+00
1.164367085505767676e+02 2.822263400641295661e+00
1.172073685702173123e+02 1.693358040384753593e+01
1.172287183334349692e+02 5.644526801282591322e+00
1.211603565240125988e+02 1.128905360256494461e+01
1.227825412204406916e+02 1.693358040384753593e+01
1.241511219017182555e+02 5.644526801282591322e+00
1.247318300661828943e+02 2.822263400641295661e+00
1.283123027469342503e+02 8.466790201923767967e+00
1.289214504878909793e+02 1.975584380448871258e+01
1.321130146523192082e+02 2.822263400641295661e+00
1.321459847760932007e+02 2.257810720512988922e+01
1.340880564287525374e+02 5.644526801282591322e+00
1.365686130914232876e+02 1.975584380448871258e+01
1.384690321859927167e+02 2.257810720512988922e+01
1.403631767065950555e+02 1.975584380448871258e+01
1.477013579315272125e+02 1.693358040384753593e+01
1.528915385700545073e+02 1.128905360256494461e+01
1.574328299552738031e+02 -0.000000000000000000e+00
1.595131443049556026e+02 2.822263400641295661e+00
1.697162232782160629e+02 2.822263400641295661e+00
1.718955577086170479e+02 1.128905360256494461e+01
1.791869352243969331e+02 1.128905360256494461e+01
1.990195436984079151e+02 2.822263400641248055e+01
1.994345955709507905e+02 1.975584380448871258e+01
2.037311351229117804e+02 2.257810720512988922e+01
2.042969357837853295e+02 3.951168760897742516e+01
