# data from file /Users/tpaneque/Documents/MAPS/as209/AS_209_HCO+_90GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 85.8
# inc: 35.0
# dist: 121.0 
# vsys: 4.6
# r[au] h[au]
5.456263840283466493e+01 2.822263400641295661e+00
5.985262460289273889e+01 5.644526801282591322e+00
7.540468518596286174e+01 -0.000000000000000000e+00
7.791044961707147820e+01 2.822263400641295661e+00
7.894682583465694847e+01 1.128905360256494461e+01
8.109092580864675881e+01 -0.000000000000000000e+00
8.227156870385329057e+01 1.128905360256494461e+01
8.227404986387358576e+01 -0.000000000000000000e+00
9.946494981074060604e+01 1.128905360256494461e+01
1.007846755050604912e+02 1.975584380448871258e+01
1.033352448336171676e+02 2.822263400641295661e+00
1.045657465248982163e+02 1.693358040384753593e+01
1.096211573499295042e+02 1.128905360256494461e+01
1.123655502048554666e+02 2.257810720512988922e+01
1.181910769447095362e+02 1.128905360256494461e+01
1.192632802380931167e+02 1.975584380448871258e+01
1.207408356913771712e+02 2.257810720512988922e+01
1.260511030569734601e+02 8.466790201923767967e+00
1.260511030569735169e+02 2.540037060577118311e+01
1.284483326767315248e+02 1.411131700320624027e+01
1.302176854940480837e+02 2.822263400641295661e+00
1.304397349686787777e+02 1.128905360256494461e+01
1.334146894689623934e+02 2.822263400641295661e+00
1.344558851487103652e+02 2.257810720512988922e+01
1.348739993251587066e+02 1.411131700320624027e+01
1.387435928952776294e+02 2.257810720512988922e+01
1.465169184659509085e+02 1.693358040384753593e+01
1.491881890762468572e+02 1.128905360256494461e+01
1.553601138710589851e+02 3.668942420833612772e+01
1.582971715116523796e+02 5.644526801282591322e+00
1.644453395931272439e+02 3.668942420833612772e+01
1.690331123291869631e+02 5.644526801282591322e+00
1.747747401734388006e+02 3.104489740705365719e+01
1.781172876053493894e+02 1.411131700320624027e+01
1.907394117274679104e+02 2.257810720512988922e+01
1.927017265445053056e+02 1.128905360256494461e+01
2.017657402935525113e+02 2.822263400641295661e+00
