# data from file /Users/tpaneque/Documents/MAPS/gmaur/GM_Aur_CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -57.2
# inc: 53.2
# dist: 159.0 
# vsys: 5.6
# r[au] h[au]
5.317546050544970981e+00 3.978032691157955991e+00
8.469304104546667489e+00 3.978032691157955991e+00
8.862576750908283785e+00 1.458611986757917300e+01
1.251231393525160307e+01 7.956065382315911982e+00
1.404996578929910278e+01 3.978032691157955991e+00
1.496930976126068558e+01 2.652021794105303698e+00
1.588573355965159095e+01 6.630054485263259245e+00
1.726092349825530903e+01 1.326010897052651849e+00
1.772515350181656757e+01 -0.000000000000000000e+00
2.069536006112236137e+01 1.723814166168458684e+01
2.100819637205199797e+01 1.060808717642121479e+01
2.334575050850744304e+01 6.630054485263259245e+00
2.353657482992562677e+01 1.326010897052539050e+00
2.502462787050315995e+01 5.304043588210607396e+00
2.654764145311049006e+01 3.978032691157843193e+00
2.911625571176355720e+01 2.652021794105303698e+00
2.967690455647571568e+01 1.326010897052539050e+00
3.013276095308832225e+01 1.326010897052539050e+00
3.036513373593187026e+01 6.630054485263259245e+00
3.173121861511194552e+01 5.304043588210607396e+00
3.313582267172924389e+01 9.282076279368677518e+00
3.387721641818681206e+01 5.304043588210607396e+00
3.431685397394292636e+01 3.978032691157955991e+00
3.431685397394292636e+01 3.978032691157955991e+00
3.457425161587465823e+01 7.956065382315911982e+00
3.501729656770216081e+01 6.630054485263259245e+00
3.604245589296862562e+01 9.282076279368563831e+00
3.604245589296862562e+01 9.282076279368563831e+00
3.782242100546119445e+01 5.304043588210607396e+00
3.872400530558770981e+01 1.060808717642121479e+01
3.954856734022567366e+01 2.652021794105303698e+00
4.004033390102987511e+01 9.282076279368563831e+00
4.004033390102993906e+01 9.282076279368563831e+00
4.004033390102993906e+01 9.282076279368563831e+00
4.021549953750456297e+01 6.630054485263259245e+00
4.059309806842139068e+01 5.304043588210607396e+00
4.116366877127498469e+01 1.060808717642121479e+01
4.234652052273348488e+01 9.282076279368677518e+00
4.254036840435991706e+01 5.304043588210607396e+00
4.418109689563914344e+01 1.326010897052651849e+01
4.453643685838781607e+01 5.304043588210607396e+00
4.453643685838781607e+01 1.326010897052651849e+01
4.531107134892857857e+01 9.282076279368563831e+00
4.561560654242870072e+01 9.282076279368563831e+00
4.561560654242870072e+01 9.282076279368563831e+00
4.577409069793635155e+01 1.193409807347398122e+01
4.655445012732133137e+01 1.326010897052651849e+01
4.712233070470860952e+01 1.193409807347386753e+01
4.712233070470860952e+01 1.193409807347386753e+01
4.712233070470860952e+01 1.193409807347386753e+01
4.852532339700725572e+01 1.193409807347386753e+01
5.006627985633892308e+01 7.956065382315911982e+00
5.014917102786694159e+01 1.326010897052651849e+01
5.080953375854083021e+01 1.326010897052651849e+01
5.081582462728024296e+01 1.326010897052651849e+01
5.105836623942609265e+01 1.060808717642121479e+01
5.135163898747657640e+01 1.060808717642121479e+01
5.156429697856374617e+01 1.193409807347386753e+01
5.178277049476610472e+01 9.282076279368563831e+00
5.194704060113334521e+01 1.193409807347386753e+01
5.242459578325520653e+01 9.282076279368563831e+00
5.242459578325520653e+01 9.282076279368563831e+00
5.311332830104277747e+01 1.326010897052651849e+01
5.381452726141233001e+01 1.326010897052651849e+01
5.416171632641285782e+01 1.591213076463182396e+01
5.464087327471069244e+01 9.282076279368563831e+00
5.478540740041237456e+01 1.326010897052651849e+01
5.554221582914422584e+01 1.060808717642121479e+01
5.619986315719657455e+01 1.060808717642121479e+01
5.619986315719662429e+01 1.591213076463182396e+01
5.710224985623906946e+01 5.304043588210607396e+00
5.712601539945630691e+01 1.193409807347386753e+01
5.823251142352724230e+01 1.326010897052651849e+01
5.849300655599483179e+01 1.326010897052651849e+00
5.905834085877848594e+01 1.723814166168458684e+01
5.939640597886386075e+01 1.193409807347386753e+01
5.939640597886386075e+01 1.193409807347386753e+01
5.957768007423795353e+01 1.591213076463182396e+01
6.006903916968669677e+01 1.326010897052651849e+01
6.041377613934061941e+01 1.060808717642121479e+01
6.073026747186385421e+01 1.326010897052651849e+01
6.094690399750480481e+01 1.193409807347386753e+01
6.106212550367156666e+01 9.282076279368563831e+00
6.276042486108817542e+01 1.326010897052651849e+01
6.302458911615603654e+01 2.121617435284242958e+01
6.342719034266347933e+01 1.591213076463182396e+01
6.342719034266347933e+01 1.591213076463182396e+01
6.354293423860637802e+01 1.326010897052651849e+01
6.397514870173525026e+01 1.193409807347386753e+01
6.407495962559548275e+01 1.989016345578977862e+01
6.521542758739879275e+01 1.326010897052651849e+01
6.558671044997409183e+01 1.591213076463182396e+01
6.578129055342286335e+01 1.591213076463182396e+01
6.665581795797778852e+01 9.282076279368563831e+00
6.770215230842786980e+01 1.989016345578977862e+01
6.770215230842786980e+01 1.989016345578977862e+01
6.821929161108982953e+01 1.458611986757928491e+01
6.888114322253601074e+01 1.458611986757917300e+01
7.003459313540436426e+01 1.326010897052651849e+01
7.019864633134895371e+01 2.121617435284242958e+01
7.068510351457331353e+01 1.458611986757917300e+01
7.107875211027673856e+01 1.989016345578989231e+01
7.175282597498649295e+01 1.193409807347386753e+01
7.176060989303033466e+01 2.652021794105303698e+01
7.198399780446135310e+01 1.723814166168447315e+01
7.208491178593712334e+01 1.591213076463182396e+01
7.339931336876777834e+01 1.458611986757917300e+01
7.484654880630333196e+01 3.447628332336894630e+01
7.507388361150968592e+01 2.121617435284242958e+01
7.590204948082403291e+01 1.856415255873712766e+01
7.622373694092030405e+01 1.723814166168447315e+01
7.658338216828943246e+01 9.282076279368563831e+00
7.658616179949511604e+01 1.989016345578989231e+01
7.731691956736838733e+01 1.723814166168447315e+01
7.734893444581670963e+01 1.856415255873712766e+01
7.785945201802935856e+01 2.652021794105303698e+01
7.979789552986349577e+01 1.723814166168458684e+01
8.008066780205969337e+01 1.591213076463182396e+01
8.018931841200277688e+01 1.989016345578989231e+01
8.018931841200277688e+01 2.254218524989519779e+01
8.043099907500921120e+01 2.121617435284242958e+01
8.065018895729976123e+01 2.254218524989519779e+01
8.150662084686301512e+01 3.315027242631641258e+01
8.164534639144362416e+01 2.121617435284242958e+01
8.217811110061848012e+01 2.519420704400049971e+01
8.303931793427004493e+01 2.254218524989519779e+01
8.400840229509765322e+01 2.519420704400049971e+01
8.400840229509766743e+01 1.723814166168458684e+01
8.403278548820803451e+01 2.652021794105303698e+01
8.415532679287716178e+01 1.989016345578989231e+01
8.415532679287716178e+01 1.989016345578989231e+01
8.429979473579494709e+01 1.326010897052651849e+01
8.456719947999627607e+01 2.386819614694773506e+01
8.583936255522233694e+01 1.723814166168447315e+01
8.688020898837439177e+01 2.519420704400049971e+01
8.712901193757237195e+01 2.121617435284242958e+01
8.742278884955372575e+01 3.315027242631641258e+01
8.794539084556343767e+01 2.386819614694773506e+01
8.836219379127823004e+01 1.856415255873712766e+01
8.836219379127823004e+01 2.386819614694773506e+01
8.903071366942685927e+01 2.519420704400049971e+01
8.931525475632004429e+01 2.386819614694773506e+01
8.972420691559382533e+01 1.723814166168458684e+01
9.062214269785715715e+01 1.856415255873712766e+01
9.063830514699206731e+01 2.519420704400049971e+01
9.154818139587277415e+01 2.917223973515834601e+01
9.207453262055641119e+01 3.049825063221110710e+01
9.214854629721838819e+01 1.723814166168458684e+01
9.244768879681650731e+01 1.856415255873712766e+01
9.268326789447036163e+01 2.254218524989519779e+01
9.381397458731832728e+01 2.519420704400049971e+01
9.414629931970220866e+01 2.121617435284242958e+01
9.416525155360456267e+01 2.519420704400049971e+01
9.424466140941721903e+01 2.121617435284242958e+01
9.428533220238705326e+01 2.652021794105303698e+01
9.519365584533608171e+01 2.121617435284242958e+01
9.523364818881216820e+01 2.519420704400049971e+01
9.543473574721208763e+01 2.254218524989519779e+01
9.621938445185693922e+01 2.519420704400049971e+01
9.681001326396925322e+01 2.386819614694773506e+01
9.705064679401451144e+01 2.917223973515834601e+01
9.811557130326914944e+01 2.519420704400049971e+01
9.837575174105190001e+01 2.784622883810580518e+01
9.896749638393310988e+01 2.121617435284242958e+01
9.940746801518784537e+01 2.519420704400049971e+01
9.951025295438738283e+01 2.784622883810580518e+01
9.955735313352417393e+01 1.723814166168447315e+01
1.007694870690561117e+02 2.784622883810580518e+01
1.008352590508593494e+02 2.386819614694773506e+01
1.019444873162596963e+02 4.243234870568485917e+01
1.027538043522766458e+02 2.784622883810580518e+01
1.046639104339609503e+02 2.519420704400049971e+01
1.048491915665103420e+02 2.386819614694773506e+01
1.051998035192499117e+02 2.254218524989519779e+01
1.051998035192499117e+02 2.784622883810580518e+01
1.061905658124416476e+02 2.652021794105303698e+01
1.061905658124416476e+02 3.447628332336894630e+01
1.062266566020855549e+02 2.386819614694773506e+01
1.074059215764827968e+02 3.580229422042171450e+01
1.079104476371800700e+02 2.784622883810580518e+01
1.098472276793918923e+02 2.254218524989519779e+01
1.098472276793918923e+02 3.049825063221110710e+01
1.098510973067115799e+02 4.110633780863232545e+01
1.099170270461744252e+02 2.254218524989508410e+01
1.101009533591070522e+02 2.519420704400049971e+01
1.122698232094550121e+02 2.917223973515845969e+01
1.126108254172644081e+02 3.712830511747436901e+01
1.130353833581301188e+02 3.845431601452701642e+01
1.131427335204003839e+02 2.784622883810580518e+01
1.132161240357505392e+02 2.784622883810580518e+01
1.137260033764427902e+02 4.773639229389558380e+01
1.139916563882829053e+02 5.038841408800088573e+01
1.143058656207253847e+02 3.315027242631641258e+01
1.150990221967225153e+02 2.917223973515834601e+01
1.162187657198891770e+02 3.712830511747436901e+01
1.163771842143893309e+02 3.447628332336894630e+01
1.170713137645836213e+02 2.519420704400049971e+01
1.170713137645836923e+02 3.315027242631641258e+01
1.176803731616602704e+02 6.099650126442221421e+01
1.176828741496276507e+02 3.845431601452701642e+01
1.181166817175570145e+02 5.569245767621149668e+01
1.191553601484758502e+02 3.712830511747436901e+01
1.196911018483022531e+02 3.580229422042171450e+01
1.198647019455447520e+02 2.917223973515834601e+01
1.201380783393733935e+02 4.773639229389558380e+01
1.208264644877875469e+02 4.906240319094823832e+01
1.214980164630074739e+02 3.580229422042171450e+01
1.216707880722527051e+02 3.447628332336894630e+01
1.224665034827097116e+02 4.243234870568497286e+01
1.228110405004882892e+02 3.315027242631641258e+01
1.229248103046782177e+02 2.121617435284242958e+01
1.232708705410649515e+02 6.364852305852752323e+01
1.233406098562666671e+02 3.049825063221110710e+01
1.240382740466920808e+02 5.569245767621149668e+01
1.243262309476457403e+02 6.232251216147475503e+01
1.250993074142097470e+02 2.652021794105303698e+01
1.258047766200976554e+02 3.447628332336905999e+01
1.258530172431599539e+02 3.978032691157967093e+01
1.264496921036922998e+02 3.315027242631641258e+01
1.267088406209690703e+02 4.906240319094823832e+01
1.267289996395467284e+02 4.375835960273762737e+01
1.270858684772126850e+02 3.447628332336894630e+01
1.283158149338172507e+02 3.315027242631641258e+01
1.283226694268733752e+02 4.508437049979028188e+01
1.284719650761698801e+02 3.712830511747436901e+01
1.285811519108843015e+02 4.110633780863232545e+01
1.297160614141211283e+02 2.652021794105303698e+01
1.298422220663662188e+02 3.845431601452701642e+01
1.300243899775313707e+02 6.099650126442210052e+01
1.300929973936742101e+02 4.110633780863232545e+01
1.301862827966888574e+02 2.784622883810580518e+01
1.304439166056825172e+02 6.364852305852752323e+01
1.307464662280736434e+02 6.630054485263282515e+01
1.311693766132333394e+02 4.508437049979028188e+01
1.311693766132333394e+02 5.304043588210618765e+01
1.311693766132334531e+02 2.917223973515834601e+01
1.312026603849076878e+02 3.447628332336905999e+01
1.316068805727624351e+02 4.375835960273762737e+01
1.316894001111141677e+02 4.110633780863232545e+01
1.330813492555825235e+02 4.243234870568497286e+01
1.346352376920899019e+02 3.447628332336905999e+01
1.347237878513459748e+02 5.569245767621149668e+01
1.352041746292559310e+02 3.315027242631641258e+01
1.353034013579544990e+02 4.375835960273762737e+01
1.354043046168558249e+02 2.917223973515834601e+01
1.355088656727471914e+02 6.895256664673811997e+01
1.355088656727472198e+02 4.508437049979028188e+01
1.360665138144109960e+02 6.099650126442210052e+01
1.373750233020356859e+02 4.375835960273762737e+01
1.397683249104099446e+02 5.436644677915884216e+01
1.401056810199576432e+02 4.508437049979028188e+01
1.407003752817676911e+02 4.508437049979028188e+01
1.407003752817676911e+02 6.895256664673811997e+01
1.413669921141256509e+02 7.558262113200137833e+01
1.414182297816517746e+02 3.845431601452701642e+01
1.419903441775441308e+02 5.304043588210630134e+01
1.420674106614265497e+02 4.110633780863232545e+01
1.421575042205534203e+02 6.364852305852740955e+01
1.424895976086866369e+02 3.845431601452701642e+01
1.426912526707588711e+02 3.049825063221110710e+01
1.430163110445504060e+02 4.110633780863232545e+01
1.430564944544086927e+02 4.906240319094823832e+01
1.436399251509496935e+02 4.508437049979028188e+01
1.438169956074015374e+02 7.425661023494873803e+01
1.438553466883525118e+02 4.375835960273762737e+01
1.441698235718742467e+02 4.508437049979028188e+01
1.449588201417003290e+02 5.038841408800088573e+01
1.450146653634703284e+02 2.917223973515834601e+01
1.455759701910216393e+02 4.110633780863232545e+01
1.470448904234357315e+02 7.027857754379066080e+01
1.472853420491734937e+02 4.773639229389558380e+01
1.475432547839295410e+02 5.304043588210630134e+01
1.476174176903682564e+02 3.315027242631641258e+01
1.480987476504664357e+02 7.425661023494873803e+01
1.483256544915944630e+02 4.375835960273762737e+01
1.483256544915944630e+02 4.641038139684292929e+01
1.485279900575569059e+02 7.823464292610668736e+01
