# data from file /Users/tpaneque/Documents/MAPS/gmaur/GM_Aur_13CO_110GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -57.2
# inc: 53.2
# dist: 159.0 
# vsys: 5.6
# r[au] h[au]
4.971300677943472124e+01 2.656434327636121751e+00
6.893210562070527203e+01 5.312868655272243501e+00
8.802216682160654670e+01 -0.000000000000000000e+00
9.316485479225919164e+01 -0.000000000000000000e+00
1.158957873403104912e+02 1.062573731054448700e+01
1.237471621776770832e+02 -0.000000000000000000e+00
1.329228730071040729e+02 -0.000000000000000000e+00
1.439851522699231623e+02 -0.000000000000000000e+00
1.872018579581152267e+02 1.062573731054448700e+01
1.903743676365625959e+02 2.656434327636121751e+00
1.970765442600045674e+02 2.656434327636121751e+00
1.986577979802139851e+02 7.969302982908364363e+00
2.032499627072972146e+02 2.656434327636121751e+00
2.184092097327245767e+02 1.859504029345285048e+01
2.195518732079939355e+02 1.062573731054448700e+01
