# data from file /Users/tpaneque/Documents/MAPS/gmaur/GM_Aur_13CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -57.2
# inc: 53.2
# dist: 159.0 
# vsys: 5.6
# r[au] h[au]
1.851330857899133875e+01 3.980273735331325113e+00
2.305568076985738557e+01 3.980273735331325113e+00
2.385807845918901293e+01 1.326757911777145971e+00
2.405658969249438073e+01 3.980273735331325113e+00
2.482919467523110058e+01 5.307031647108357397e+00
2.919529233361419074e+01 2.653515823554291941e+00
2.919529233361419074e+01 2.653515823554291941e+00
3.152507525858677084e+01 2.653515823554291941e+00
3.364669271514924986e+01 1.326757911777145971e+00
3.438934441892329374e+01 6.633789558885503368e+00
3.638807888825265735e+01 3.980273735331325113e+00
3.638807888825265735e+01 6.633789558885503368e+00
3.651578331778070918e+01 1.326757911777145971e+00
3.787156103684696973e+01 1.326757911777145971e+00
3.803631155234819516e+01 5.307031647108357397e+00
3.969534495355836867e+01 1.326757911777145971e+00
4.136387951585046352e+01 2.653515823554291941e+00
4.412194451697556730e+01 2.653515823554291941e+00
4.412194451697556730e+01 2.653515823554291941e+00
4.569336824151184828e+01 1.326757911777145971e+00
4.641621591999789587e+01 3.980273735331325113e+00
4.889008651750519618e+01 3.980273735331325113e+00
4.889008651750519618e+01 6.633789558885503368e+00
4.981547614825584702e+01 1.326757911777145971e+00
5.013093580568329344e+01 -0.000000000000000000e+00
5.143190325583561417e+01 1.326757911777145971e+00
5.188830084314853508e+01 1.326757911777145971e+00
5.197333410415731692e+01 2.653515823554291941e+00
5.212827565951826614e+01 1.326757911777145971e+00
5.212827565951826614e+01 1.326757911777145971e+00
5.320541716120933273e+01 5.307031647108357397e+00
5.322645230582513420e+01 3.980273735331325113e+00
5.367251748324812155e+01 5.307031647108357397e+00
5.367251748324812155e+01 5.307031647108357397e+00
5.540430036884082199e+01 1.326757911777145971e+00
5.540611837239212889e+01 6.633789558885503368e+00
5.553992573697384927e+01 1.326757911777145971e+00
5.674157299695993117e+01 1.326757911777145971e+00
5.674889516832342196e+01 2.653515823554291941e+00
5.674889516832342196e+01 2.653515823554291941e+00
5.674889516832350012e+01 -0.000000000000000000e+00
5.716638087343311270e+01 5.307031647108357397e+00
5.957759894066496997e+01 3.980273735331325113e+00
6.037245174471929232e+01 2.653515823554291941e+00
6.037245174471929232e+01 2.653515823554291941e+00
6.037245174471929232e+01 2.653515823554291941e+00
6.052625909651482772e+01 3.980273735331325113e+00
6.052625909651482772e+01 3.980273735331325113e+00
6.080871274083584410e+01 1.326757911777145971e+00
6.183945317759550164e+01 1.326757911777145971e+00
6.184372874720484958e+01 2.653515823554291941e+00
6.184372874720499880e+01 -0.000000000000000000e+00
6.191082024022369268e+01 2.653515823554291941e+00
6.204581927377574857e+01 1.326757911777145971e+00
6.266524143607174580e+01 1.326757911777145971e+00
6.372144258187464061e+01 -0.000000000000000000e+00
6.452549062389584833e+01 2.653515823554291941e+00
6.465113558518697801e+01 1.326757911777145971e+00
6.465113558518703485e+01 1.326757911777145971e+00
6.530693688663849628e+01 5.307031647108357397e+00
6.530693688663849628e+01 5.307031647108357397e+00
6.540222857992945649e+01 1.326757911777145971e+00
6.633036489483043852e+01 5.307031647108357397e+00
6.633036489483043852e+01 5.307031647108357397e+00
6.708778923822620754e+01 5.307031647108357397e+00
6.787884166897320881e+01 1.326757911777145971e+00
6.870419323881530715e+01 3.980273735331325113e+00
6.877777351491604918e+01 3.980273735331211871e+00
6.911262644830826218e+01 7.960547470662650227e+00
7.013147166335072313e+01 5.307031647108357397e+00
7.113696488302885257e+01 3.980273735331211871e+00
7.249312336226073228e+01 5.307031647108357397e+00
7.277615777650528628e+01 5.307031647108357397e+00
7.302932536266102659e+01 6.633789558885503368e+00
7.405323431596519868e+01 1.061406329421671479e+01
7.450261058345971321e+01 9.287305382439681622e+00
7.598657082275749985e+01 1.326757911777100674e+01
7.710914410518493867e+01 1.326757911777100674e+01
7.711436908626930631e+01 1.061406329421671479e+01
7.722018543516013267e+01 9.287305382439681622e+00
7.748270523283483158e+01 1.194082120599386165e+01
7.772135318557721462e+01 1.194082120599386165e+01
7.991855316339811566e+01 5.307031647108357397e+00
8.026963150709049444e+01 9.287305382439681622e+00
8.134239856635214494e+01 1.194082120599386165e+01
8.201998214320134650e+01 5.307031647108357397e+00
8.201998214320134650e+01 5.307031647108357397e+00
8.201998214320134650e+01 5.307031647108357397e+00
8.271497355492438430e+01 1.326757911777100674e+01
8.271786568095176051e+01 1.194082120599386165e+01
8.357582964491068367e+01 9.287305382439681622e+00
8.371660817028589463e+01 1.724785285310221994e+01
8.512334275248520044e+01 5.307031647108357397e+00
8.557985851004380606e+01 1.194082120599386165e+01
8.557985851004386291e+01 6.633789558885503368e+00
8.584670697427492314e+01 1.724785285310221994e+01
8.634575183215403626e+01 7.960547470662650227e+00
8.908618971221353888e+01 1.326757911777100674e+01
8.945038565096825778e+01 1.326757911777100674e+01
9.014629531685187658e+01 1.194082120599386165e+01
9.139555369325121603e+01 7.960547470662650227e+00
9.239362819883427846e+01 1.326757911777100674e+01
9.276559312080749464e+01 1.326757911777145971e+00
9.298206779343783523e+01 9.287305382439681622e+00
9.316617645971363970e+01 1.326757911777145971e+00
9.398766375128653294e+01 1.194082120599386165e+01
9.408573195588041926e+01 1.061406329421682848e+01
9.448071828019237728e+01 1.326757911777100674e+01
9.498155341944836039e+01 1.194082120599386165e+01
9.498155341944843144e+01 6.633789558885503368e+00
9.543007091609349857e+01 9.287305382439681622e+00
9.713688229507492622e+01 1.724785285310221994e+01
9.840684909584057039e+01 1.592109494132507486e+01
9.931056654456611454e+01 1.194082120599386165e+01
1.000558506024737824e+02 1.326757911777100674e+01
1.000587448415784309e+02 1.194082120599386165e+01
1.000587448415784309e+02 1.194082120599386165e+01
1.008661411628576587e+02 5.307031647108357397e+00
1.009400781454477425e+02 9.287305382439681622e+00
1.013154277636769507e+02 5.307031647108357397e+00
1.039466682083147759e+02 1.326757911777100674e+01
1.039982218784843866e+02 1.061406329421671479e+01
1.053390693537567415e+02 1.194082120599386165e+01
1.053390693537567415e+02 1.194082120599386165e+01
1.058252584215378391e+02 9.287305382439681622e+00
1.058880154424817732e+02 1.194082120599386165e+01
1.067450157561791571e+02 1.724785285310221994e+01
1.073450349664962431e+02 1.061406329421671479e+01
1.086055558473416198e+02 1.326757911777100674e+01
1.095473499533421347e+02 9.287305382439681622e+00
1.107478255679512671e+02 1.459433702954804168e+01
1.107587392165824980e+02 1.459433702954804168e+01
1.107934873045431203e+02 1.194082120599386165e+01
1.111815184460515411e+02 -0.000000000000000000e+00
1.119367980644801719e+02 9.287305382439681622e+00
1.124568901020819283e+02 9.287305382439681622e+00
1.124937998686646381e+02 9.287305382439681622e+00
1.134889152029990669e+02 1.326757911777100674e+01
1.140253175499277916e+02 1.592109494132518677e+01
1.147156055814150193e+02 1.326757911777145971e+00
1.149806063618152763e+02 1.061406329421671479e+01
1.150529145176254531e+02 9.287305382439681622e+00
1.150529145176254957e+02 9.287305382439681622e+00
1.154069913169684156e+02 1.326757911777100674e+01
1.154740271600621213e+02 6.633789558885503368e+00
1.154740271600621213e+02 1.194082120599386165e+01
1.159340850931071145e+02 1.326757911777100674e+01
1.168878851218205313e+02 9.287305382439681622e+00
1.183826537258458842e+02 6.633789558885503368e+00
1.192090465050001029e+02 1.592109494132507486e+01
1.192903922959448266e+02 1.194082120599386165e+01
1.192903922959448835e+02 1.194082120599386165e+01
1.194778662468123400e+02 1.592109494132518677e+01
1.202620112398580687e+02 9.287305382439681622e+00
1.205863121740995894e+02 9.287305382439681622e+00
1.209329337021125923e+02 -0.000000000000000000e+00
1.209329337021127060e+02 1.592109494132507486e+01
1.213333387047655805e+02 6.633789558885503368e+00
1.215258460807709469e+02 9.287305382439681622e+00
1.216174254816716882e+02 5.307031647108357397e+00
1.230561989612109670e+02 5.307031647108357397e+00
1.244869124912477645e+02 1.326757911777145971e+00
1.247781577359372278e+02 1.326757911777100674e+01
1.248987986160819332e+02 9.287305382439681622e+00
1.250698132530923061e+02 7.960547470662537428e+00
1.250698132530923061e+02 1.592109494132518677e+01
1.251578124257726472e+02 9.287305382439681622e+00
1.257659195353249402e+02 1.194082120599386165e+01
1.270750925914366007e+02 5.307031647108357397e+00
1.272418155740335806e+02 1.724785285310221994e+01
1.274428851637492812e+02 5.307031647108357397e+00
1.276194687597339197e+02 1.061406329421671479e+01
1.276911184713504639e+02 1.194082120599386165e+01
1.276911184713504639e+02 1.459433702954804168e+01
1.288064439471076525e+02 2.653515823554178699e+00
1.293022711703740129e+02 1.326757911777100674e+01
1.305875545883359337e+02 1.326757911777145971e+00
1.308044571598590551e+02 2.653515823554178699e+00
1.318002121377661808e+02 1.592109494132507486e+01
1.322152685102174416e+02 1.326757911777145971e+00
1.331270904332184273e+02 7.960547470662537428e+00
1.347660372526360391e+02 1.459433702954804168e+01
1.348645905547593031e+02 1.724785285310221994e+01
1.357576833379464745e+02 1.061406329421671479e+01
1.359933323033222052e+02 3.980273735331325113e+00
1.359933323033222052e+02 1.194082120599386165e+01
