# data from file /Users/tpaneque/Documents/MAPS/gmaur/GM_Aur_C18O_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -57.2
# inc: 53.2
# dist: 159.0 
# vsys: 5.6
# r[au] h[au]
2.837622248597838137e+01 -0.000000000000000000e+00
2.921920955146615029e+01 2.653515823554291941e+00
3.094444713848941575e+01 1.326757911777145971e+00
3.161358599603597241e+01 -0.000000000000000000e+00
3.267485445638816088e+01 5.307031647108357397e+00
3.321468683313194248e+01 1.326757911777145971e+00
3.369676420209922441e+01 1.194082120599386165e+01
3.524457179088054204e+01 -0.000000000000000000e+00
3.724379201284650520e+01 1.326757911777145971e+00
3.901730591822021665e+01 1.592109494132507486e+01
4.105900476494868201e+01 1.326757911777145971e+00
4.426420675065543264e+01 -0.000000000000000000e+00
4.794982199066070905e+01 -0.000000000000000000e+00
4.794982199066070905e+01 -0.000000000000000000e+00
4.940370684170326854e+01 1.326757911777145971e+00
5.099907008431647171e+01 1.326757911777145971e+00
5.099907008431653566e+01 1.326757911777145971e+00
5.237060244704188250e+01 3.980273735331325113e+00
5.364416173126154774e+01 1.326757911777145971e+00
5.497893106658289497e+01 3.980273735331325113e+00
5.718592058987177040e+01 2.653515823554291941e+00
5.841036153351603133e+01 1.326757911777145971e+00
5.921795675604221287e+01 1.326757911777145971e+00
6.066103146873565777e+01 -0.000000000000000000e+00
6.070072999652295920e+01 2.653515823554291941e+00
6.246285200514778069e+01 9.287305382439681622e+00
6.356760691568293709e+01 1.326757911777145971e+00
6.358418820414274109e+01 1.326757911777145971e+00
6.361811450627295272e+01 1.326757911777145971e+00
6.382003021012145894e+01 2.653515823554291941e+00
6.491405845791200591e+01 2.653515823554291941e+00
6.491405845791219065e+01 -0.000000000000000000e+00
6.534970891277616545e+01 5.307031647108357397e+00
6.549828634801851024e+01 1.326757911777145971e+00
6.562001449882488657e+01 3.980273735331211871e+00
6.591587624044002780e+01 3.980273735331325113e+00
6.642937366626388496e+01 -0.000000000000000000e+00
6.718143699101968025e+01 5.307031647108357397e+00
6.811088729769862482e+01 1.326757911777145971e+00
6.886912327723328531e+01 6.633789558885503368e+00
6.960613220529518230e+01 2.653515823554291941e+00
6.960613220529529599e+01 -0.000000000000000000e+00
7.013603622298025186e+01 5.307031647108357397e+00
7.056101975535990789e+01 5.307031647108357397e+00
7.088228749283271668e+01 1.326757911777145971e+00
7.129390977247675210e+01 3.980273735331211871e+00
7.129390977247675210e+01 3.980273735331211871e+00
7.192473298599094278e+01 1.326757911777145971e+00
7.192473298599094278e+01 1.326757911777145971e+00
7.348674960611533891e+01 1.326757911777145971e+00
7.457154289455321816e+01 1.326757911777145971e+00
7.457154289455321816e+01 1.326757911777145971e+00
7.465451563142275404e+01 2.653515823554291941e+00
7.584577604453600941e+01 1.326757911777145971e+00
7.618625775170937686e+01 1.326757911777145971e+00
7.680216973618091458e+01 3.980273735331325113e+00
7.680216973618091458e+01 3.980273735331325113e+00
7.705944125529704536e+01 5.307031647108357397e+00
7.744601247206330186e+01 1.326757911777145971e+00
7.755697535084115657e+01 2.653515823554291941e+00
8.062965397067986828e+01 1.326757911777145971e+00
8.082468022696539833e+01 1.326757911777145971e+00
8.165134983370667499e+01 5.307031647108357397e+00
8.355523973349437483e+01 5.307031647108357397e+00
8.457877129418506001e+01 5.307031647108357397e+00
8.457877129418506001e+01 5.307031647108357397e+00
8.541826225450752474e+01 5.307031647108357397e+00
8.577888088480779061e+01 1.326757911777145971e+00
8.577888088480779061e+01 1.326757911777145971e+00
8.600678388362892690e+01 1.061406329421671479e+01
8.609076909741735051e+01 -0.000000000000000000e+00
8.755794653349114753e+01 9.287305382439681622e+00
8.823709095225964916e+01 1.326757911777145971e+00
9.009559526978178212e+01 1.326757911777145971e+00
9.037576007581289161e+01 1.326757911777145971e+00
9.099729823674093154e+01 1.326757911777145971e+00
9.214796167983021746e+01 2.653515823554291941e+00
9.227062138891557197e+01 7.960547470662650227e+00
9.331814453927847808e+01 1.326757911777145971e+00
9.353285488062549291e+01 9.287305382439681622e+00
9.693868213795219901e+01 5.307031647108357397e+00
9.752355167220540011e+01 -0.000000000000000000e+00
1.012566541259401447e+02 2.653515823554291941e+00
1.032419316689851314e+02 1.326757911777145971e+00
1.033004137529331530e+02 1.194082120599386165e+01
1.033018787304063153e+02 1.592109494132507486e+01
1.044383992072606588e+02 -0.000000000000000000e+00
1.058978308323745665e+02 1.326757911777145971e+00
1.068794502552943726e+02 5.307031647108357397e+00
1.069254523731171105e+02 1.326757911777145971e+00
1.083026128784225932e+02 7.960547470662650227e+00
1.085154235684253052e+02 1.326757911777145971e+00
1.094631794882550508e+02 1.592109494132507486e+01
1.106533038246506209e+02 1.326757911777145971e+00
1.119391827753483000e+02 7.960547470662650227e+00
1.119391827753483000e+02 7.960547470662650227e+00
1.138420866717115842e+02 2.653515823554291941e+00
1.143718411797439103e+02 5.307031647108357397e+00
1.145500184899720892e+02 5.307031647108357397e+00
1.150560082413575884e+02 2.653515823554178699e+00
1.154470737254015376e+02 1.326757911777145971e+00
1.168207230670320627e+02 -0.000000000000000000e+00
1.175679307193156546e+02 1.459433702954815359e+01
1.180660791004414705e+02 1.326757911777145971e+00
1.184106311696768046e+02 3.980273735331211871e+00
1.195605418221806246e+02 5.307031647108357397e+00
1.205964615404697042e+02 6.633789558885503368e+00
1.217012500870573604e+02 3.980273735331325113e+00
1.263202615173258891e+02 -0.000000000000000000e+00
1.293170452396866779e+02 1.724785285310221994e+01
1.312320042420230664e+02 1.326757911777145971e+00
1.316780954272233828e+02 9.287305382439681622e+00
1.325845764572994483e+02 6.633789558885503368e+00
1.445928260051776135e+02 5.307031647108357397e+00
1.446872314245670736e+02 7.960547470662650227e+00
1.452962512234024359e+02 3.980273735331211871e+00
1.460960477573310357e+02 5.307031647108357397e+00
1.460960477573310357e+02 5.307031647108357397e+00
1.466097981391036740e+02 2.520840032376475648e+01
1.466465432384625274e+02 2.653515823554291941e+00
1.480749109122506013e+02 2.653515823554178699e+00
1.483244161365934985e+02 9.287305382439681622e+00
1.498117637461284346e+02 6.633789558885503368e+00
1.501220093030503051e+02 7.960547470662650227e+00
1.507895229635923897e+02 1.990136867665639642e+01
1.517325644248637957e+02 2.388164241198772331e+01
1.537391142162244080e+02 3.980273735331211871e+00
1.564386284275576315e+02 3.980273735331325113e+00
1.571118073411256830e+02 1.326757911777145971e+00
1.583732064371684771e+02 1.592109494132518677e+01
1.594655690977001541e+02 5.307031647108357397e+00
1.598594551637590939e+02 1.326757911777145971e+00
1.601314405053109624e+02 5.307031647108357397e+00
1.601314405053109624e+02 5.307031647108357397e+00
1.621043199946698792e+02 3.980273735331325113e+00
1.628234270011962508e+02 2.520840032376487017e+01
1.632724522233906441e+02 1.194082120599386165e+01
1.668396286277842933e+02 2.255488450021057645e+01
1.741019437636954592e+02 1.326757911777145971e+00
1.774189283418477032e+02 1.326757911777100674e+01
1.781152858078814916e+02 2.653515823554291941e+00
1.786220793087413199e+02 9.287305382439681622e+00
1.798181287269455026e+02 1.326757911777145971e+00
1.808590392807088278e+02 2.520840032376475648e+01
1.834860845077183171e+02 1.592109494132507486e+01
1.837983261598815830e+02 1.990136867665651010e+01
1.842959233596606339e+02 2.918867405909608337e+01
1.875658044496674393e+02 1.592109494132518677e+01
1.876134444790028795e+02 3.980273735331325113e+00
1.883332940800610800e+02 1.990136867665639642e+01
1.893704418268592917e+02 1.326757911777100674e+01
1.912750123684171513e+02 1.990136867665639642e+01
1.940556512821355852e+02 1.326757911777100674e+01
1.946870051469607859e+02 9.287305382439681622e+00
1.953793760851671379e+02 2.786191614731893296e+01
1.971044350120173192e+02 2.388164241198772331e+01
1.976523178461740144e+02 4.510976900042115290e+01
2.011896197739595777e+02 4.378301108864412328e+01
2.013649449052818170e+02 2.122812658843354328e+01
2.032305355423964102e+02 3.847597944153576321e+01
2.032887619067592482e+02 2.653515823554190334e+01
2.033089072885127280e+02 4.909004273575236255e+01
2.054875725132436912e+02 3.051543197087322667e+01
2.072354844512716454e+02 3.051543197087322667e+01
2.076762047415749635e+02 2.786191614731893296e+01
2.128714523053960761e+02 2.786191614731893296e+01
2.150488027481099209e+02 3.316894779442728947e+01
2.181655536647110694e+02 3.051543197087322667e+01
2.255535355986211812e+02 3.449570570620443988e+01
2.275552077823131469e+02 2.520840032376475648e+01
2.531416353148506175e+02 5.572383229463786591e+01
