# data from file ../MAPS/gmaur/GM_Aur_H2CO_220GHz.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: -57.2
# inc: 53.2
# dist: 159.0 
# vsys: 5.6
# r[au] h[au]
1.420419607797334471e+01 5.313048144078270418e+00
1.881967048845906731e+01 5.313048144078270418e+00
3.097511187968066082e+01 1.062609628815631524e+01
3.426115426133644348e+01 2.656524072039135209e+00
5.235231273549845810e+01 7.969572216117292385e+00
5.871049140086240214e+01 2.656524072039135209e+00
6.782281532934374013e+01 -0.000000000000000000e+00
6.782281532934374013e+01 -0.000000000000000000e+00
7.184618906673924243e+01 7.969572216117292385e+00
7.799364255045908578e+01 2.656524072039135209e+00
7.799364255045908578e+01 2.656524072039135209e+00
8.967971004693812631e+01 2.656524072039135209e+00
9.544315623244834512e+01 2.656524072039135209e+00
9.680654857522385726e+01 2.656524072039135209e+00
9.956774407416045847e+01 -0.000000000000000000e+00
9.956774407416045847e+01 -0.000000000000000000e+00
1.024494185886138666e+02 -0.000000000000000000e+00
1.024494185886138808e+02 -0.000000000000000000e+00
1.051101173476962742e+02 2.656524072039135209e+00
1.061036635772221928e+02 -0.000000000000000000e+00
1.061036635772221928e+02 -0.000000000000000000e+00
1.076585555439827573e+02 -0.000000000000000000e+00
1.078489030977159047e+02 2.656524072039135209e+00
1.102624700116264762e+02 2.656524072039135209e+00
1.110177152621012766e+02 -0.000000000000000000e+00
1.141473053242656590e+02 2.656524072039135209e+00
1.164982194102616546e+02 -0.000000000000000000e+00
1.170329885189256061e+02 -0.000000000000000000e+00
1.238944629688453034e+02 7.969572216117292385e+00
1.239893113275102934e+02 -0.000000000000000000e+00
1.259291359926343858e+02 5.313048144078270418e+00
1.262889088723100457e+02 -0.000000000000000000e+00
1.281623774869186718e+02 2.656524072039135209e+00
1.299933742004137400e+02 7.969572216117292385e+00
1.304447552861642521e+02 -0.000000000000000000e+00
1.304447552861642521e+02 -0.000000000000000000e+00
1.317376934192143949e+02 -0.000000000000000000e+00
1.324490652629101533e+02 2.656524072039135209e+00
1.344380413734485558e+02 2.656524072039135209e+00
1.356009641607361687e+02 -0.000000000000000000e+00
1.376502264105235724e+02 2.656524072039135209e+00
1.401468231302617085e+02 1.593914443223458477e+01
1.416483335698677593e+02 5.313048144078270418e+00
1.442326893512597508e+02 2.656524072039135209e+00
1.444659520951041713e+02 1.062609628815631524e+01
1.446870308414020769e+02 2.656524072039135209e+00
1.467608211311986963e+02 2.656524072039135209e+00
1.491049490182675754e+02 2.125219257631263048e+01
1.508315934069997581e+02 7.969572216117292385e+00
1.516253702946825683e+02 2.656524072039135209e+00
1.520634713501058002e+02 1.328262036019544823e+01
1.532552332576364336e+02 2.656524072039135209e+00
