# data from file /Users/tpaneque/Documents/MAPS/gmaur/GM_Aur_HCN_260GHz_hf2.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: -57.2
# inc: 53.2
# dist: 159.0 
# vsys: 4.1
# r[au] h[au]
0.000000000000000000e+00 2.656524072039078277e+01
1.065314705848004628e+01 7.969572216117292385e+00
1.234588235294115499e+01 2.656524072039078277e+01
1.630675790346646181e+01 7.969572216117292385e+00
2.469176470588230998e+01 2.656524072039078277e+01
2.848582859093576403e+01 5.313048144078270418e+00
3.551049019493373748e+01 -0.000000000000000000e+00
3.703764705882355912e+01 2.656524072039078277e+01
4.938352941176471234e+01 1.593914443223447286e+01
5.382927777199135733e+01 2.656524072039135209e+00
6.782281532934361223e+01 5.313048144078270418e+00
7.527868195383678085e+01 -0.000000000000000000e+00
7.799364255045908578e+01 2.656524072039135209e+00
8.645809784430194611e+01 -0.000000000000000000e+00
8.650267413612466783e+01 1.062609628815631524e+01
9.335575064322601690e+01 -0.000000000000000000e+00
9.680654857522385726e+01 2.656524072039135209e+00
1.054177169345206266e+02 2.656524072039135209e+00
1.110177152621012766e+02 -0.000000000000000000e+00
1.141473053242656590e+02 2.656524072039135209e+00
1.238944629688453034e+02 7.969572216117292385e+00
1.238944629688453034e+02 7.969572216117292385e+00
1.239893113275102934e+02 -0.000000000000000000e+00
1.259291359926343858e+02 5.313048144078270418e+00
1.299933742004137400e+02 7.969572216117292385e+00
1.317376934192143949e+02 -0.000000000000000000e+00
1.317376934192143949e+02 -0.000000000000000000e+00
1.390241152759195131e+02 1.062609628815631524e+01
1.400336259648390467e+02 1.062609628815631524e+01
1.426881184066109540e+02 1.859566850427360762e+01
1.452717664710211238e+02 1.062609628815631524e+01
1.456051316223524736e+02 2.656524072039135209e+00
1.478955477054005314e+02 7.969572216117292385e+00
1.483889714005342455e+02 1.062609628815631524e+01
1.491049490182674617e+02 5.313048144078270418e+00
1.520634713501058002e+02 7.969572216117292385e+00
1.564105073814278342e+02 1.328262036019544823e+01
1.585190248270560005e+02 -0.000000000000000000e+00
1.599777237479950713e+02 1.859566850427360762e+01
1.602416497014822028e+02 1.062609628815631524e+01
1.615469776646826006e+02 1.062609628815631524e+01
1.640828659592172585e+02 2.125219257631263048e+01
1.654093172396776197e+02 1.328262036019544823e+01
1.662394991029817959e+02 2.656524072039135209e+00
1.693770343961327569e+02 1.062609628815631524e+01
1.714741740683022897e+02 1.859566850427360762e+01
1.720729672783159572e+02 1.328262036019544823e+01
1.723733448752529114e+02 1.062609628815631524e+01
1.726823161524394266e+02 5.313048144078270418e+00
1.759325336913235560e+02 2.656524072039135209e+00
1.764524691924901560e+02 -0.000000000000000000e+00
1.764688349728686774e+02 2.656524072039135209e+00
1.770748600393899039e+02 1.062609628815631524e+01
1.802917121732028249e+02 1.328262036019544823e+01
1.802917121732028249e+02 2.390871664835176347e+01
1.845718231932858089e+02 7.969572216117292385e+00
1.869539247876282388e+02 2.656524072039135209e+00
1.911440175590099670e+02 -0.000000000000000000e+00
1.926345537442352338e+02 4.250438515262526096e+01
1.965167594938001514e+02 5.313048144078270418e+00
1.965167594938002651e+02 2.125219257631263048e+01
1.987243107510560662e+02 2.656524072039135209e+00
1.994008001365504583e+02 3.719133700854721525e+01
2.028012066893258520e+02 1.859566850427360762e+01
2.069275431381926751e+02 2.656524072039089646e+01
2.128888598901481544e+02 2.656524072039135209e+00
2.179076497065316005e+02 2.656524072039135209e+00
2.333893766080650209e+02 5.313048144078270418e+00
2.367184085652122292e+02 7.969572216117292385e+00
2.433015541601693030e+02 5.313048144078270418e+00
2.433015541601693030e+02 1.593914443223458477e+01
2.466145376627366375e+02 2.656524072039089646e+01
2.529264348415930499e+02 1.593914443223458477e+01
2.531297719092621037e+02 1.328262036019544823e+01
2.534275695778810302e+02 5.313048144078270418e+00
2.534275695778810302e+02 1.593914443223458477e+01
2.576062763073233555e+02 1.328262036019544823e+01
2.581615059582312028e+02 1.328262036019544823e+01
2.615186130331566119e+02 5.313048144078270418e+00
2.625874090301367119e+02 1.328262036019544823e+01
2.665807460793466248e+02 1.062609628815631524e+01
2.671449173785171638e+02 1.062609628815631524e+01
2.678058125795850515e+02 2.656524072039135209e+00
2.680450387370393628e+02 7.969572216117292385e+00
2.688622940620539907e+02 7.969572216117292385e+00
2.712019283214723373e+02 1.062609628815631524e+01
2.716058024464151686e+02 2.656524072039135209e+00
2.753004528210472586e+02 1.062609628815631524e+01
2.766237539093036162e+02 1.062609628815631524e+01
2.772148843589309308e+02 2.656524072039135209e+00
2.775442881552530139e+02 1.593914443223458477e+01
2.780482305518390262e+02 1.062609628815631524e+01
2.782372150886643567e+02 2.656524072039135209e+00
2.796986678555053913e+02 1.328262036019544823e+01
2.816660057683121181e+02 2.390871664835176347e+01
2.832519530738173898e+02 5.313048144078270418e+00
2.849847421126105473e+02 7.969572216117292385e+00
2.863294686973451348e+02 2.656524072039135209e+00
2.878876351025518829e+02 2.656524072039135209e+00
2.879495799387819943e+02 1.859566850427360762e+01
2.895045672792816163e+02 1.062609628815631524e+01
2.922778545143934252e+02 2.656524072039089646e+01
2.939341938652731869e+02 3.453481293650807515e+01
2.940643849047052072e+02 1.062609628815631524e+01
2.958848895290532823e+02 3.187828886446894572e+01
2.969560300587626784e+02 2.656524072039089646e+01
2.980330553424803384e+02 2.656524072039135209e+00
2.985749750989989479e+02 7.969572216117292385e+00
2.988743392802352332e+02 2.656524072039135209e+00
3.011147278153471234e+02 -0.000000000000000000e+00
3.016143815298627828e+02 1.328262036019544823e+01
3.017362727157881750e+02 7.969572216117292385e+00
3.039030911592016651e+02 2.656524072039135209e+00
3.045533199444815295e+02 2.656524072039135209e+00
3.048793289144945220e+02 3.453481293650807515e+01
3.064975916427355855e+02 7.969572216117292385e+00
3.065087130593864799e+02 2.125219257631263048e+01
3.071458275153069621e+02 2.656524072039135209e+00
3.093147351640925535e+02 4.516090922466439395e+01
3.093541111294765642e+02 -0.000000000000000000e+00
3.098638779207602738e+02 1.062609628815631524e+01
3.114050467500203467e+02 2.656524072039089646e+01
3.116754894362453570e+02 7.969572216117292385e+00
3.128210147628558389e+02 1.062609628815631524e+01
3.128795765602446863e+02 1.328262036019544823e+01
3.142144698010258708e+02 1.062609628815631524e+01
3.172495695347660671e+02 7.969572216117292385e+00
3.175279428501463599e+02 2.656524072039135209e+00
3.178595514692798361e+02 -0.000000000000000000e+00
3.183109907316664930e+02 1.062609628815631524e+01
3.217088082209616005e+02 1.062609628815631524e+01
3.228279452447629865e+02 1.062609628815631524e+01
3.303629574699954219e+02 1.593914443223458477e+01
3.355870618807795722e+02 5.313048144078270418e+00
3.408207020230875628e+02 2.656524072039089646e+01
