# data from file /Users/tpaneque/Documents/MAPS/gmaur/GM_Aur_HCO+_90GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -57.2
# inc: 53.2
# dist: 159.0 
# vsys: 4.1
# r[au] h[au]
5.326573529240053517e+01 3.453481293650807515e+01
5.993490952311751130e+01 -0.000000000000000000e+00
6.670584622794100937e+01 2.656524072039089646e+01
7.141751116586290493e+01 2.656524072039135209e+00
8.522517646784096712e+01 1.062609628815631524e+01
8.580233750304086016e+01 1.062609628815631524e+01
8.694481573504488381e+01 -0.000000000000000000e+00
9.775837213363304556e+01 2.656524072039135209e+00
9.990250856639747212e+01 1.062609628815631524e+01
1.056297108382770205e+02 7.969572216117292385e+00
1.065006372039827909e+02 -0.000000000000000000e+00
1.144031166707211469e+02 1.062609628815631524e+01
1.178192888527532460e+02 2.656524072039135209e+00
1.253432986834730372e+02 5.313048144078270418e+00
1.303164541099013434e+02 7.969572216117292385e+00
1.385961247048447831e+02 5.313048144078270418e+00
1.633482548966950390e+02 5.313048144078270418e+00
1.924006399162512935e+02 1.859566850427360762e+01
2.061036201530264407e+02 1.859566850427360762e+01
2.078423981564793053e+02 -0.000000000000000000e+00
2.356385777055064921e+02 5.313048144078270418e+00
2.443776502827623744e+02 7.969572216117292385e+00
2.659553849385187050e+02 5.313048144078270418e+00
2.762237842056765658e+02 2.922176479242992286e+01
2.792092917618624028e+02 2.656524072039135209e+00
2.866317356545055191e+02 2.656524072039089646e+01
2.876128754113733521e+02 2.656524072039135209e+00
2.905455159674782522e+02 1.062609628815631524e+01
2.916979951599595324e+02 -0.000000000000000000e+00
3.002438296077074256e+02 1.859566850427360762e+01
3.022144577097663500e+02 1.062609628815631524e+01
3.064154989709115284e+02 5.313048144078270418e+00
3.147823473940310350e+02 1.062609628815631524e+01
3.201118081734492762e+02 2.656524072039135209e+00
3.364137233715480306e+02 5.313048144078270418e+00
3.577137907381745094e+02 7.969572216117292385e+00
3.721780510512065234e+02 7.969572216117292385e+00
3.763887921946129609e+02 5.844352958485984573e+01
3.822531659047588164e+02 2.656524072039135209e+00
