# data from file /Users/tpaneque/Library/CloudStorage/Dropbox/Documents_MAC_ESO/MAPS/hd163296/HD_163296_CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 5800.0 
# Xmax: 800 
# Zmax: 300
# r[au] h[au] temp[K] std_temp[K]
1.200000000000000000e+01 0.000000000000000000e+00 2.228023147583007812e+01 0.000000000000000000e+00
1.300000000000000000e+01 1.000000000000000000e+00 2.741887283325195312e+01 0.000000000000000000e+00
1.400000000000000000e+01 1.000000000000000000e+00 2.672708225250244141e+01 7.027997970581054688e-01
1.400000000000000000e+01 3.000000000000000000e+00 2.454454803466796875e+01 0.000000000000000000e+00
1.500000000000000000e+01 0.000000000000000000e+00 2.910290145874023438e+01 0.000000000000000000e+00
1.600000000000000000e+01 2.000000000000000000e+00 2.834799194335937500e+01 0.000000000000000000e+00
1.600000000000000000e+01 3.000000000000000000e+00 2.671884155273437500e+01 0.000000000000000000e+00
1.700000000000000000e+01 2.000000000000000000e+00 3.153924179077148438e+01 0.000000000000000000e+00
1.800000000000000000e+01 0.000000000000000000e+00 2.689168167114257812e+01 0.000000000000000000e+00
1.800000000000000000e+01 1.000000000000000000e+00 2.668542098999023438e+01 0.000000000000000000e+00
1.800000000000000000e+01 2.000000000000000000e+00 3.092102241516113281e+01 0.000000000000000000e+00
1.800000000000000000e+01 5.000000000000000000e+00 2.587345886230468750e+01 0.000000000000000000e+00
1.900000000000000000e+01 0.000000000000000000e+00 2.772185262044270715e+01 1.689531870319569862e+00
1.900000000000000000e+01 1.000000000000000000e+00 3.056885592142741004e+01 1.970220093555862029e+00
1.900000000000000000e+01 5.000000000000000000e+00 3.302277374267578125e+01 0.000000000000000000e+00
2.000000000000000000e+01 0.000000000000000000e+00 3.367657470703125000e+01 0.000000000000000000e+00
2.000000000000000000e+01 3.000000000000000000e+00 3.033011245727539062e+01 0.000000000000000000e+00
2.100000000000000000e+01 3.000000000000000000e+00 3.307510375976562500e+01 1.023593902587890625e+00
2.100000000000000000e+01 5.000000000000000000e+00 3.058687591552734375e+01 0.000000000000000000e+00
2.200000000000000000e+01 4.000000000000000000e+00 3.484594726562500000e+01 0.000000000000000000e+00
2.200000000000000000e+01 6.000000000000000000e+00 3.553951263427734375e+01 0.000000000000000000e+00
2.300000000000000000e+01 0.000000000000000000e+00 2.497525405883789062e+01 0.000000000000000000e+00
2.300000000000000000e+01 1.000000000000000000e+00 3.407641601562500000e+01 0.000000000000000000e+00
2.300000000000000000e+01 3.000000000000000000e+00 3.657983779907226562e+01 1.006612293056335261e+00
2.400000000000000000e+01 0.000000000000000000e+00 2.422851181030273438e+01 0.000000000000000000e+00
