# data from file /Users/tpaneque/Library/CloudStorage/Dropbox/Documents_MAC_ESO/MAPS/hd163296/HD_163296_CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 5800.0
# r[au] h[au]
1.231300639052594725e+01 9.267417912420424786e-01
1.325853354527646211e+01 1.853483582484084957e+00
1.458811623245698996e+01 1.853483582484084957e+00
1.458811623245698996e+01 1.853483582484084957e+00
1.475151750101611192e+01 3.706967164968169914e+00
1.545723155812859595e+01 9.267417912421213044e-01
1.612235060270556986e+01 2.780225373726206151e+00
1.671838650115156000e+01 3.706967164968328010e+00
1.723237106137790420e+01 2.780225373726206151e+00
1.804704799238256285e+01 9.267417912420424786e-01
1.868525550128700630e+01 5.560450747452412301e+00
1.868525550128709156e+01 1.853483582484164005e+00
1.893837334085932866e+01 2.780225373726206151e+00
1.901263389508481083e+01 -0.000000000000000000e+00
1.904521894544173932e+01 9.267417912420424786e-01
1.996258177363291964e+01 5.560450747452412301e+00
1.996258177363300135e+01 1.853483582484164005e+00
1.996258177363300135e+01 1.853483582484164005e+00
1.996258177363300135e+01 1.853483582484164005e+00
1.997996098218278149e+01 9.267417912421213044e-01
1.997996098218278149e+01 9.267417912421213044e-01
2.088595854372022487e+01 9.267417912421213044e-01
2.094878805330771598e+01 3.706967164968248962e+00
2.145255330886601186e+01 5.560450747452412301e+00
2.181458558723640095e+01 3.706967164968248962e+00
2.181458558723640095e+01 3.706967164968248962e+00
2.231435942819680207e+01 6.487192538694376509e+00
2.274781992252381357e+01 4.633708956210291774e+00
2.318584733719295699e+01 3.706967164968248962e+00
2.318584733719295699e+01 3.706967164968248962e+00
2.318584733719298185e+01 3.706967164968248962e+00
2.318584733719298185e+01 3.706967164968248962e+00
2.337952875553310150e+01 1.853483582484164005e+00
2.386244082343792527e+01 9.267417912421213044e-01
2.406596525444858869e+01 4.633708956210291774e+00
2.483558151991457663e+01 1.112090149490466651e+01
2.495380005820524616e+01 3.706967164968248962e+00
2.495380005820524616e+01 3.706967164968248962e+00
2.557011014588674414e+01 7.413934329936418877e+00
2.579846904351857262e+01 4.633708956210291774e+00
2.579846904351857262e+01 4.633708956210291774e+00
2.579846904351857262e+01 4.633708956210291774e+00
2.579846904351857262e+01 4.633708956210291774e+00
2.580950258421156107e+01 6.487192538694376509e+00
2.651706709055277500e+01 9.267417912421213044e-01
2.651706709055277500e+01 6.487192538694376509e+00
2.662860226722278156e+01 3.706967164968248962e+00
2.662860226722278156e+01 3.706967164968248962e+00
2.678411888952793163e+01 9.267417912420503612e+00
2.753616600189660701e+01 8.340676121178461244e+00
2.765614252721504585e+01 6.487192538694376509e+00
2.786815880733329109e+01 4.633708956210291774e+00
2.831833728583998777e+01 5.560450747452333253e+00
2.841841543796225622e+01 4.633708956210291774e+00
2.841841543796225622e+01 8.340676121178461244e+00
2.841841543796225622e+01 8.340676121178461244e+00
2.856782841816266227e+01 3.706967164968169914e+00
2.863836114422933221e+01 3.706967164968248962e+00
2.917623246491383071e+01 6.487192538694376509e+00
2.948412638022987053e+01 8.340676121178461244e+00
2.950303500203205331e+01 6.487192538694376509e+00
3.004182321182654647e+01 3.706967164968169914e+00
3.021591463047175807e+01 5.560450747452333253e+00
3.021591463047175807e+01 5.560450747452333253e+00
3.040461943706927173e+01 3.706967164968169914e+00
3.068821104565426694e+01 7.413934329936497925e+00
3.091446311625719190e+01 4.633708956210291774e+00
3.091446311625719190e+01 8.340676121178461244e+00
3.102137668073508081e+01 6.487192538694376509e+00
3.128563121663154334e+01 7.413934329936497925e+00
3.164439427224619550e+01 6.487192538694376509e+00
3.225675267325937057e+01 7.413934329936497925e+00
3.225675267325937057e+01 7.413934329936497925e+00
3.238452896426964855e+01 5.560450747452333253e+00
3.245333850223531158e+01 9.267417912420583548e+00
3.245333850223539685e+01 1.482786865987291591e+01
3.264292656029511619e+01 9.267417912420583548e+00
3.266155691463265498e+01 4.633708956210291774e+00
3.266155691463265498e+01 8.340676121178461244e+00
3.267862705215058838e+01 6.487192538694376509e+00
3.313732080977152350e+01 6.487192538694376509e+00
3.318777076314421492e+01 6.487192538694376509e+00
3.320519654905348972e+01 9.267417912420583548e+00
3.349484251038405347e+01 3.706967164968169914e+00
3.362081592239691474e+01 1.390112686863087532e+01
3.412172988378564753e+01 3.706967164968169914e+00
3.412172988378564753e+01 9.267417912420583548e+00
3.442020750237084314e+01 1.482786865987291591e+01
3.446474212275595050e+01 6.487192538694376509e+00
3.459901962464279279e+01 1.482786865987291591e+01
3.467756507267268518e+01 8.340676121178461244e+00
3.467756507267268518e+01 8.340676121178461244e+00
3.477350837174162024e+01 7.413934329936418877e+00
3.505839498791847575e+01 8.340676121178461244e+00
3.518467968741860119e+01 5.560450747452254205e+00
3.518467968741860119e+01 7.413934329936497925e+00
3.518467968741860119e+01 7.413934329936497925e+00
3.536499359003318688e+01 3.706967164968169914e+00
3.536499359003318688e+01 9.267417912420583548e+00
3.547564232951511087e+01 6.487192538694376509e+00
3.604014039802606817e+01 6.487192538694376509e+00
3.604014039802606817e+01 6.487192538694376509e+00
3.609409598476511860e+01 1.204764328614678881e+01
3.609409598476511860e+01 1.204764328614678881e+01
3.625909755656603295e+01 6.487192538694376509e+00
3.625909755656603295e+01 6.487192538694376509e+00
3.626956548526555935e+01 4.633708956210291774e+00
3.626956548526555935e+01 4.633708956210291774e+00
3.626956548526555935e+01 8.340676121178461244e+00
3.638707650250637471e+01 1.112090149490466651e+01
3.691845998428721032e+01 8.340676121178461244e+00
3.705921254317010494e+01 1.112090149490466651e+01
3.706370062457211390e+01 7.413934329936497925e+00
3.737051100257401259e+01 1.204764328614678881e+01
3.753527097376088051e+01 1.204764328614678881e+01
3.776975841611022133e+01 8.340676121178461244e+00
3.787674668171872838e+01 6.487192538694376509e+00
3.788261615465082599e+01 1.112090149490466651e+01
3.799530649822358441e+01 6.487192538694376509e+00
3.799530649822358441e+01 6.487192538694376509e+00
3.840782893966459710e+01 6.487192538694376509e+00
3.840782893966463973e+01 6.487192538694376509e+00
3.851449869983730423e+01 9.267417912420583548e+00
3.916831719936251233e+01 7.413934329936497925e+00
3.952157295757108102e+01 6.487192538694376509e+00
3.952607835458748298e+01 4.633708956210291774e+00
3.952607835458751140e+01 4.633708956210291774e+00
3.977560063582923533e+01 9.267417912420583548e+00
3.993854162877079972e+01 6.487192538694376509e+00
3.993854162877082814e+01 6.487192538694376509e+00
3.995992196436546351e+01 8.340676121178539404e+00
4.040490314804661409e+01 5.560450747452333253e+00
4.066261651758927798e+01 6.487192538694376509e+00
4.074657582007116474e+01 6.487192538694376509e+00
4.074657582007116474e+01 6.487192538694376509e+00
4.074657582007116474e+01 6.487192538694376509e+00
4.092840065392219628e+01 3.706967164968328010e+00
4.129275910613498013e+01 6.487192538694455557e+00
4.150602412102315242e+01 4.633708956210291774e+00
4.177191708744036447e+01 8.340676121178539404e+00
4.177191708744036447e+01 8.340676121178539404e+00
4.192731652486543936e+01 8.340676121178461244e+00
4.205130696761623454e+01 5.560450747452333253e+00
4.205130696761627718e+01 7.413934329936497925e+00
4.219252569632835304e+01 6.487192538694376509e+00
4.219252569632835304e+01 6.487192538694376509e+00
4.228768350291272071e+01 5.560450747452412301e+00
4.262762315694354243e+01 6.487192538694376509e+00
4.290510661773204504e+01 6.487192538694455557e+00
4.310626539801657486e+01 6.487192538694376509e+00
4.324451996754479666e+01 6.487192538694376509e+00
4.345039006935832049e+01 6.487192538694376509e+00
4.358120519632146284e+01 5.560450747452412301e+00
4.367919591221003373e+01 4.633708956210291774e+00
4.367919591221003373e+01 8.340676121178461244e+00
4.383783241845415546e+01 9.267417912421213044e-01
4.391755441650483505e+01 7.413934329936497925e+00
4.392134168709687714e+01 7.413934329936497925e+00
4.392134168709691266e+01 5.560450747452254205e+00
4.425455250304825228e+01 3.706967164968248962e+00
4.439377086625110280e+01 3.706967164968248962e+00
4.439377086625110280e+01 3.706967164968248962e+00
4.456132591973600654e+01 5.560450747452412301e+00
4.456132591973608470e+01 1.853483582484164005e+00
4.462871885639360414e+01 4.633708956210291774e+00
4.462871885639363256e+01 4.633708956210291774e+00
4.463617239525726177e+01 8.340676121178461244e+00
4.480883077213307075e+01 3.706967164968248962e+00
4.480883077213307075e+01 3.706967164968248962e+00
4.488404892267196544e+01 6.487192538694376509e+00
4.488404892267196544e+01 6.487192538694376509e+00
4.524947580698335514e+01 9.267417912420583548e+00
4.537418806517909786e+01 2.780225373726206151e+00
4.549218270831172362e+01 3.706967164968248962e+00
4.549218270831172362e+01 3.706967164968248962e+00
4.578036004680057403e+01 2.780225373726206151e+00
4.578036004680057403e+01 2.780225373726206151e+00
4.579066540296503263e+01 5.560450747452412301e+00
4.579066540296510368e+01 1.853483582484164005e+00
4.580156162239965312e+01 7.413934329936418877e+00
4.601822705950109338e+01 4.633708956210291774e+00
4.643198260819232814e+01 3.706967164968248962e+00
4.643198260819232814e+01 3.706967164968248962e+00
4.644942129257855612e+01 2.780225373726206151e+00
4.673767342731685659e+01 9.267417912420583548e+00
4.673767342731685659e+01 9.267417912420583548e+00
4.716462981854907355e+01 6.487192538694376509e+00
4.722817307174590695e+01 9.267417912420583548e+00
4.724977520928497654e+01 1.112090149490466651e+01
4.737023390037787607e+01 4.633708956210291774e+00
4.740773223954436588e+01 3.706967164968248962e+00
4.740773223954436588e+01 3.706967164968248962e+00
4.754870663171920597e+01 9.267417912420583548e+00
4.782642186026247799e+01 9.267417912420583548e+00
4.802797127601733251e+01 9.267417912420583548e+00
4.831028252305498683e+01 3.706967164968248962e+00
4.831028252305498683e+01 3.706967164968248962e+00
4.834546340875482429e+01 8.340676121178539404e+00
4.836705180811687654e+01 9.267417912421213044e-01
4.852846927420925738e+01 2.780225373726206151e+00
4.852846927420925738e+01 8.340676121178461244e+00
4.891809916145481196e+01 1.112090149490466651e+01
4.891809916145484038e+01 7.413934329936497925e+00
4.901794057822593942e+01 9.267417912420583548e+00
4.901794057822596073e+01 9.267417912420583548e+00
4.914898217559599658e+01 9.267417912420583548e+00
4.922136969651253224e+01 1.112090149490466651e+01
4.925202556210375349e+01 9.267417912421213044e-01
4.970598121465736341e+01 9.267417912420583548e+00
4.982188149146912792e+01 9.267417912420503612e+00
5.035288237256919075e+01 1.019415970366262592e+01
5.036700598895554748e+01 6.487192538694376509e+00
5.036700598895554748e+01 6.487192538694376509e+00
5.036700598895554748e+01 6.487192538694376509e+00
5.046869225935838443e+01 1.019415970366262592e+01
5.057832326614210672e+01 7.413934329936497925e+00
5.057832326614214224e+01 1.112090149490466651e+01
5.062803242051241170e+01 9.267417912420583548e+00
5.110123482760317870e+01 1.019415970366270408e+01
5.148987975924494265e+01 1.019415970366254598e+01
5.159693808703707418e+01 1.204764328614671065e+01
5.175006373527060077e+01 9.267417912420583548e+00
5.201127362057906112e+01 9.267417912420583548e+00
5.202496658186570500e+01 1.112090149490466651e+01
5.235601259934119156e+01 9.267417912420583548e+00
5.274065712041036136e+01 1.019415970366262592e+01
5.280064023224306879e+01 1.112090149490466651e+01
5.307859972246393454e+01 1.112090149490466651e+01
5.307859972246393454e+01 1.112090149490466651e+01
5.325720453444556313e+01 1.019415970366254598e+01
5.325720453444556313e+01 1.019415970366254598e+01
5.325720453444556313e+01 1.019415970366254598e+01
5.349908056307273085e+01 1.204764328614678881e+01
5.359150199537339176e+01 1.204764328614671065e+01
5.359150199537339176e+01 1.204764328614671065e+01
5.375754370031989282e+01 1.204764328614678881e+01
5.380697086762388182e+01 1.019415970366270408e+01
5.410031045345009204e+01 1.112090149490466651e+01
5.422350443953384058e+01 1.204764328614671065e+01
5.491023592963361466e+01 1.297438507738883118e+01
5.505079647179148594e+01 1.204764328614678881e+01
5.531228505443017696e+01 1.019415970366262592e+01
5.573631761466645429e+01 1.204764328614671065e+01
5.578499536938180370e+01 1.112090149490466651e+01
5.600070748363110340e+01 9.267417912420583548e+00
5.602614003379347452e+01 1.482786865987291591e+01
5.633584487460255730e+01 1.204764328614678881e+01
5.633584487460255730e+01 1.204764328614678881e+01
5.656288003441231638e+01 1.204764328614671065e+01
5.727672228845852231e+01 1.390112686863079539e+01
5.727672228845855784e+01 1.390112686863079539e+01
5.763191914951705996e+01 1.482786865987299585e+01
5.763480523541772982e+01 1.297438507738875302e+01
5.765935995672640502e+01 1.390112686863087532e+01
5.765935995672640502e+01 1.390112686863087532e+01
5.778518022973008783e+01 1.204764328614678881e+01
5.786496194427247985e+01 1.668135224235707881e+01
5.786496194427257223e+01 1.297438507738883118e+01
5.801472283245138328e+01 1.204764328614671065e+01
5.839288076079834866e+01 1.297438507738875302e+01
5.845954133159918342e+01 1.204764328614678881e+01
5.875188362378983697e+01 1.482786865987283775e+01
5.884255159578671623e+01 1.204764328614663249e+01
5.896825276045990449e+01 1.204764328614678881e+01
5.921621587081312299e+01 1.482786865987299585e+01
5.921621587081312299e+01 1.482786865987299585e+01
5.941667344017114516e+01 1.112090149490466651e+01
5.991827242858119718e+01 1.482786865987299585e+01
6.003065619011591991e+01 1.482786865987291591e+01
6.003065619011596254e+01 1.482786865987291591e+01
6.027552283160324009e+01 1.390112686863087532e+01
6.087903235709722338e+01 1.668135224235707881e+01
6.092189482700722891e+01 1.482786865987283775e+01
6.157718873766960144e+01 1.204764328614671065e+01
6.173264381277612500e+01 1.482786865987291591e+01
6.176916507231244680e+01 1.297438507738875302e+01
6.176916507231244680e+01 1.668135224235692249e+01
6.183565147417677110e+01 1.390112686863079539e+01
6.183565147417683505e+01 1.575461045111495828e+01
6.204275336147026820e+01 1.575461045111495828e+01
6.211443230597867426e+01 1.575461045111495828e+01
6.259119670530938606e+01 1.575461045111495828e+01
6.265196139037291800e+01 1.668135224235707881e+01
6.294110296571145113e+01 1.482786865987291591e+01
6.297903193593251814e+01 1.575461045111495828e+01
6.319174290353097945e+01 2.038831940732525183e+01
6.348424706232923143e+01 1.760809403359904479e+01
6.358485457981899458e+01 1.668135224235707881e+01
6.358714349533461530e+01 1.019415970366270408e+01
6.367368097454389186e+01 1.204764328614671065e+01
6.394405593658555631e+01 1.668135224235707881e+01
6.402564850725109125e+01 1.668135224235692249e+01
6.409738067000400008e+01 1.575461045111495828e+01
6.422592921709004088e+01 1.204764328614671065e+01
6.428207102481721336e+01 1.390112686863079539e+01
6.486275644892189973e+01 1.668135224235692249e+01
6.496518355186869087e+01 1.760809403359904479e+01
6.521602474897441937e+01 1.575461045111495828e+01
6.521602474897444779e+01 1.575461045111495828e+01
6.532311382926543786e+01 1.760809403359904479e+01
6.551879386831505769e+01 1.482786865987283775e+01
6.567730668146478479e+01 1.760809403359904479e+01
6.568110548272812821e+01 1.760809403359904479e+01
6.575911513631849914e+01 1.390112686863087532e+01
6.575911513631849914e+01 1.575461045111495828e+01
6.591030383350529576e+01 1.482786865987291591e+01
6.624647173533820421e+01 1.668135224235707881e+01
6.642917532195886565e+01 1.760809403359904479e+01
6.665826630904614092e+01 1.482786865987299585e+01
6.682368192642275062e+01 1.390112686863079539e+01
6.703639444712729301e+01 1.482786865987299585e+01
6.705304577322472426e+01 1.853483582484116710e+01
6.710862632295696528e+01 1.760809403359904479e+01
6.749794485398960830e+01 1.760809403359904479e+01
6.756537526038422925e+01 1.853483582484116710e+01
6.757330598061636806e+01 1.390112686863087532e+01
6.757330598061638227e+01 1.390112686863087532e+01
6.803268761801184894e+01 1.482786865987299585e+01
6.817057597231627142e+01 1.760809403359904479e+01
6.824345976757142296e+01 1.760809403359904479e+01
6.856285425653346977e+01 1.390112686863087532e+01
6.857682668591708364e+01 1.853483582484116710e+01
6.889694378755048376e+01 1.019415970366270408e+01
6.889694378755048376e+01 1.946157761608328585e+01
6.914194108668029060e+01 1.760809403359904479e+01
6.917503559150576109e+01 1.482786865987283775e+01
6.936861930556676725e+01 2.038831940732525183e+01
6.951897653638471297e+01 1.668135224235707881e+01
6.955754201157881766e+01 1.482786865987299585e+01
6.993357892431190237e+01 1.668135224235692249e+01
7.033964488793807845e+01 1.853483582484116710e+01
7.045027478553373612e+01 1.760809403359904479e+01
7.072998718006653007e+01 1.204764328614678881e+01
7.074694472782360322e+01 1.760809403359904479e+01
7.092702430180173678e+01 1.946157761608328585e+01
7.095128465903017911e+01 1.946157761608328585e+01
7.122316804113268063e+01 1.482786865987299585e+01
7.122382713216627792e+01 2.038831940732525183e+01
7.131507810532748692e+01 1.482786865987283775e+01
7.131507810532751535e+01 1.482786865987283775e+01
7.140688411957430048e+01 1.297438507738875302e+01
7.153080120043770762e+01 8.340676121178461244e+00
7.154488758451998365e+01 1.760809403359904479e+01
7.208028079605196581e+01 1.575461045111495828e+01
7.218737911095095683e+01 1.760809403359904479e+01
7.220465861299123844e+01 2.131506119856721426e+01
