# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_13CO_110GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 5.8
# r[au] h[au]
3.505983093118358340e+01 1.856583053357835356e+00
4.154547713515139407e+01 1.856583053357835356e+00
4.323936882089491007e+01 -0.000000000000000000e+00
4.393976536440388969e+01 5.569749160073506289e+00
4.495578280245778302e+01 1.856583053357835356e+00
4.572032479060941768e+01 1.856583053357835356e+00
4.572032479060941768e+01 1.856583053357835356e+00
4.588432748512696691e+01 7.426332213431341422e+00
4.728379388954443385e+01 1.856583053357835356e+00
4.755532844870716502e+01 7.426332213431341422e+00
4.883998194054934316e+01 1.856583053357835356e+00
5.058420073763085867e+01 1.856583053357835356e+00
5.058420073763093683e+01 1.856583053357835356e+00
5.132382933845227768e+01 3.713166106715670711e+00
5.172963723510127920e+01 1.856583053357835356e+00
5.200163872316945657e+01 1.856583053357835356e+00
5.379930343228719636e+01 3.713166106715670711e+00
5.539396951353521814e+01 1.856583053357835356e+00
5.638975989570446501e+01 5.569749160073506289e+00
5.702015075337527605e+01 5.569749160073506289e+00
5.722659182537218214e+01 3.713166106715670711e+00
5.742859415603842876e+01 7.426332213431341422e+00
5.853428229080910228e+01 1.856583053357835356e+00
5.947188515401701636e+01 1.856583053357835356e+00
6.225631383519108653e+01 5.569749160073506289e+00
6.286079661222296266e+01 3.713166106715670711e+00
6.294270279370210375e+01 1.856583053357835356e+00
6.405356463207677109e+01 1.856583053357835356e+00
6.467505761252189700e+01 1.856583053357835356e+00
6.501521659812365783e+01 7.426332213431341422e+00
6.541425156392358531e+01 7.426332213431341422e+00
6.577313481618267588e+01 1.856583053357835356e+00
6.591101484313477954e+01 5.569749160073506289e+00
6.706386889624189962e+01 1.856583053357835356e+00
6.706386889624189962e+01 1.856583053357835356e+00
6.988238631862706995e+01 1.856583053357835356e+00
6.988238631862706995e+01 1.856583053357835356e+00
7.167993988863638322e+01 7.426332213431341422e+00
7.193163038683212562e+01 1.856583053357835356e+00
7.237843113659255323e+01 1.856583053357835356e+00
7.263489080942650844e+01 1.856583053357835356e+00
7.478879540725505137e+01 5.569749160073506289e+00
7.494630837124904588e+01 3.713166106715670711e+00
7.594951303221597527e+01 1.856583053357835356e+00
7.839986914932599404e+01 3.713166106715670711e+00
8.038784262446620232e+01 1.856583053357835356e+00
8.121144929579963900e+01 7.426332213431341422e+00
8.127620554293832811e+01 3.713166106715670711e+00
8.172423039471640038e+01 5.569749160073506289e+00
8.232392355385482574e+01 7.426332213431341422e+00
8.403024597933131190e+01 3.713166106715670711e+00
8.613545279151102818e+01 7.426332213431341422e+00
8.666939787194925771e+01 5.569749160073506289e+00
8.913956950530904066e+01 3.713166106715670711e+00
9.328858348347731066e+01 5.569749160073506289e+00
9.355333051249029097e+01 1.299608137350469050e+01
9.452372876993059947e+01 3.713166106715670711e+00
9.775755052014497437e+01 1.299608137350469050e+01
9.844608807531815842e+01 5.569749160073506289e+00
9.927627458301952856e+01 7.426332213431341422e+00
1.004338360454515708e+02 5.569749160073506289e+00
1.036366697039614309e+02 7.426332213431341422e+00
1.038489120937122863e+02 5.569749160073506289e+00
1.038489120937122863e+02 5.569749160073506289e+00
1.057978706616231790e+02 1.113949832014701258e+01
1.067363815528695596e+02 -0.000000000000000000e+00
1.089485492115845204e+02 1.113949832014701258e+01
1.094607357251748709e+02 5.569749160073506289e+00
1.094607357251748709e+02 5.569749160073506289e+00
1.121353705608743923e+02 -0.000000000000000000e+00
1.127795197914089016e+02 1.856583053357835356e+00
1.141698117432229935e+02 1.299608137350484682e+01
1.143008119765237609e+02 7.426332213431341422e+00
1.151765017628403314e+02 2.042241358693618736e+01
1.152510330742429119e+02 5.569749160073506289e+00
1.152510330742429545e+02 5.569749160073506289e+00
1.160758529284051122e+02 1.856583053357835356e+00
1.195485534707428599e+02 3.713166106715670711e+00
1.197677575676811585e+02 7.426332213431341422e+00
1.204610247508675798e+02 5.569749160073506289e+00
1.211942260200485180e+02 5.569749160073506289e+00
1.211942260200485180e+02 5.569749160073506289e+00
1.225122054839601873e+02 1.856583053357835356e+00
1.233032935582957066e+02 1.856583053357835356e+00
1.245126276703823152e+02 1.856583053357835356e+00
1.252398141022522253e+02 1.856583053357835356e+00
1.254762706783332646e+02 3.713166106715670711e+00
1.277372287369002635e+02 1.113949832014701258e+01
1.280163077956404152e+02 1.856583053357835356e+00
1.287948594597426109e+02 7.426332213431341422e+00
1.305905760990338536e+02 -0.000000000000000000e+00
1.344781927549277896e+02 9.282915266789176556e+00
1.345930777543580916e+02 3.713166106715670711e+00
1.383339916401679659e+02 1.856583053357835356e+00
1.384849237838382408e+02 1.856583053357835356e+00
1.388842299741536124e+02 1.485266442686268284e+01
1.397159131069509215e+02 3.713166106715670711e+00
1.443672473970716226e+02 1.856583053357835311e+01
1.463357057270228552e+02 1.856583053357835356e+00
1.504768802087213544e+02 -0.000000000000000000e+00
1.560794886699476081e+02 -0.000000000000000000e+00
1.583204400543021961e+02 3.713166106715670711e+00
1.649658330747198249e+02 1.856583053357835356e+00
1.662081709692514835e+02 -0.000000000000000000e+00
1.673825601814470190e+02 7.426332213431341422e+00
1.678667553156392955e+02 3.713166106715670711e+00
1.684117481563857837e+02 7.426332213431341422e+00
1.691286025129027735e+02 -0.000000000000000000e+00
1.706882764855190260e+02 -0.000000000000000000e+00
1.725333495675786253e+02 7.426332213431341422e+00
1.747288847545227952e+02 -0.000000000000000000e+00
1.766789071045378705e+02 5.569749160073506289e+00
1.771297304357783560e+02 1.113949832014701258e+01
1.792676434627014146e+02 1.856583053357835356e+00
1.844985215112487538e+02 7.426332213431341422e+00
1.883449748183667793e+02 1.113949832014701258e+01
1.889070202248377655e+02 5.569749160073506289e+00
1.921950575665549081e+02 1.299608137350484682e+01
1.925329292201095654e+02 1.856583053357835356e+00
1.950840877238718178e+02 1.856583053357835356e+00
1.962469243993547821e+02 9.282915266789176556e+00
1.971060918948422795e+02 1.856583053357835356e+00
1.977330445294043102e+02 1.856583053357835356e+00
1.981764301153736767e+02 -0.000000000000000000e+00
