# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_13CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 5.8
# r[au] h[au]
1.904278600331931770e+01 1.853483582484164227e+00
2.007721284510663295e+01 -0.000000000000000000e+00
2.340748976291072125e+01 3.706967164968249406e+00
2.388647176105672187e+01 9.267417912421215265e-01
2.565970259826707078e+01 5.560450747452334141e+00
2.565970259826714894e+01 -0.000000000000000000e+00
2.694188125448348003e+01 5.560450747452334141e+00
2.697112672731483585e+01 3.706967164968249406e+00
2.697112672731483585e+01 3.706967164968249406e+00
2.864066069191727237e+01 -0.000000000000000000e+00
2.965873848737534857e+01 4.633708956210291774e+00
2.965873848737534857e+01 8.340676121178463021e+00
3.068693167209855233e+01 1.853483582484085179e+00
3.120998635054749215e+01 4.633708956210291774e+00
3.135889866021771866e+01 7.413934329936498813e+00
3.146990400216767014e+01 1.204764328614679059e+01
3.148034449716426053e+01 9.267417912421215265e-01
3.148034449716426053e+01 9.267417912421215265e-01
3.148034449716426053e+01 9.267417912421215265e-01
3.168349386550485036e+01 1.204764328614679059e+01
3.241643338310027644e+01 1.853483582484085179e+00
3.266049763185649368e+01 3.706967164968170358e+00
3.334299309426429403e+01 9.267417912420425896e-01
3.363787618782406241e+01 1.019415970366270585e+01
3.375485552447712934e+01 9.267417912421215265e-01
3.384150754059013622e+01 5.560450747452255094e+00
3.392035897934328403e+01 3.706967164968170358e+00
3.423409837116913224e+01 1.019415970366270585e+01
3.442020750237084314e+01 1.482786865987291947e+01
3.461559778663524156e+01 9.267417912420583548e+00
3.520537060429919762e+01 2.780225373726127547e+00
3.526814086960150263e+01 2.780225373726206595e+00
3.526814086960150263e+01 2.780225373726206595e+00
3.526814086960150263e+01 2.780225373726206595e+00
3.558999807808832827e+01 5.560450747452255094e+00
3.559363415916765661e+01 9.267417912419637638e-01
3.638707650250637471e+01 1.853483582484085179e+00
3.652178252392531732e+01 2.780225373726127547e+00
3.657196005164456665e+01 1.853483582484085179e+00
3.657196005164456665e+01 7.413934329936498813e+00
3.707854093158663034e+01 6.487192538694377397e+00
3.712108617589994708e+01 7.413934329936498813e+00
3.712108617589995418e+01 1.853483582484085179e+00
3.728863527184301319e+01 3.706967164968170358e+00
3.742423672466307494e+01 3.706967164968249406e+00
3.755055283498961671e+01 6.487192538694456445e+00
3.761683326672405059e+01 1.853483582484085179e+00
3.767224168344520763e+01 2.780225373726206595e+00
3.801867523964713769e+01 5.560450747452334141e+00
3.808557200663855724e+01 6.487192538694456445e+00
3.833067540435711607e+01 9.267417912419637638e-01
3.833067540435711607e+01 9.267417912419637638e-01
3.896094741111956949e+01 6.487192538694456445e+00
3.901248293818443358e+01 3.706967164968249406e+00
3.913293280221962789e+01 9.267417912420425896e-01
3.922780266921307657e+01 3.706967164968170358e+00
3.933738000270962942e+01 4.633708956210291774e+00
3.987959601192525838e+01 1.853483582484085179e+00
3.988284101631552403e+01 9.267417912419637638e-01
4.001731085364080087e+01 4.633708956210291774e+00
4.075834242084826542e+01 1.853483582484085179e+00
4.085131327211026786e+01 4.633708956210291774e+00
4.085131327211026786e+01 4.633708956210291774e+00
4.086994013722454611e+01 3.706967164968249406e+00
4.098443344303678515e+01 3.706967164968328454e+00
4.107125449188242783e+01 3.706967164968170358e+00
4.140261507818765807e+01 3.706967164968170358e+00
4.146721489693824481e+01 9.267417912420425896e-01
4.163796721743938889e+01 9.267417912420425896e-01
4.163796721743938889e+01 9.267417912420425896e-01
4.170154900421423605e+01 9.267417912419637638e-01
4.199109757311583024e+01 4.633708956210291774e+00
4.217789876439366736e+01 2.780225373726127547e+00
4.217789876439370289e+01 2.780225373726127547e+00
4.228768350291279887e+01 1.853483582484164227e+00
4.244687387384797717e+01 1.853483582484164227e+00
4.252350263225601879e+01 3.706967164968170358e+00
4.252350263225604010e+01 3.706967164968170358e+00
4.253963632558816954e+01 1.853483582484085179e+00
4.253963632558819796e+01 1.853483582484085179e+00
4.291376110392478438e+01 3.706967164968328454e+00
4.291376110392480570e+01 3.706967164968328454e+00
4.338382665127128490e+01 9.267417912421215265e-01
4.369952524480133604e+01 -0.000000000000000000e+00
4.369952524480142131e+01 1.853483582484164227e+00
4.369952524480142131e+01 1.853483582484164227e+00
4.377796728504068113e+01 3.706967164968170358e+00
4.383906700200607531e+01 9.267417912420425896e-01
4.423377055976200722e+01 3.706967164968170358e+00
4.423377055976200722e+01 3.706967164968170358e+00
4.430565677950434633e+01 3.706967164968328454e+00
4.430565677950434633e+01 3.706967164968328454e+00
4.430565677950436765e+01 3.706967164968328454e+00
4.451189760588695066e+01 2.780225373726127547e+00
4.451189760588695066e+01 2.780225373726127547e+00
4.455307724244366341e+01 1.853483582484085179e+00
4.455307724244369894e+01 1.853483582484085179e+00
4.465187547915964217e+01 9.267417912421215265e-01
4.476685141887768538e+01 5.560450747452413189e+00
4.496696340547222803e+01 1.853483582484085179e+00
4.569696339085586345e+01 9.267417912421215265e-01
4.569696339085586345e+01 9.267417912421215265e-01
4.594963987325061083e+01 3.706967164968328454e+00
4.594963987325063925e+01 3.706967164968328454e+00
4.617339592223554945e+01 3.706967164968170358e+00
4.617339592223558498e+01 3.706967164968170358e+00
4.632301971101713178e+01 3.706967164968170358e+00
4.632301971101713178e+01 3.706967164968170358e+00
4.676869226382831357e+01 1.853483582484085179e+00
4.680144771536785697e+01 3.706967164968249406e+00
4.699347636480479196e+01 2.780225373726206595e+00
4.700651863011908915e+01 9.267417912421215265e-01
4.701723900883753515e+01 2.780225373726127547e+00
4.753784105597275556e+01 9.267417912421215265e-01
4.756362347436792959e+01 2.780225373726206595e+00
4.768489801138905193e+01 1.853483582484164227e+00
4.781971808301752702e+01 3.706967164968328454e+00
4.791334425544641107e+01 3.706967164968249406e+00
4.831476353340708130e+01 3.706967164968170358e+00
4.836576702471614908e+01 6.487192538694377397e+00
