# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_C18O_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 5.8
# r[au] h[au]
2.176756000455117501e+01 2.780248697764530874e+00
2.261738036638435645e+01 3.706998263686041017e+00
2.288054864166630153e+01 1.853499131843020509e+00
2.545926860586671481e+01 9.267495659215102544e-01
2.545926860586671481e+01 9.267495659215102544e-01
2.568830504021426364e+01 2.780248697764530874e+00
2.611064901235128133e+01 3.706998263686041017e+00
2.700290381356187552e+01 2.780248697764530874e+00
2.707922462977691325e+01 9.267495659215102544e-01
2.790128950728277601e+01 3.706998263686041017e+00
2.853846982496157025e+01 -0.000000000000000000e+00
2.880523246322448117e+01 9.267495659215102544e-01
2.947533712744932544e+01 6.487246961450571447e+00
2.958812048956028207e+01 3.706998263686041017e+00
2.958812048956028207e+01 3.706998263686041017e+00
2.971422550964529918e+01 -0.000000000000000000e+00
3.138239404450210301e+01 2.780248697764530874e+00
3.154561326480662586e+01 3.706998263686041017e+00
3.162497290829535501e+01 3.706998263686041017e+00
3.162497290829535501e+01 3.706998263686041017e+00
3.178609130817166673e+01 9.267495659215102544e-01
3.217200981035686880e+01 9.267495659215102544e-01
3.242527366949443746e+01 9.267495659215102544e-01
3.304694591317437613e+01 3.706998263686041017e+00
3.304694591317437613e+01 3.706998263686041017e+00
3.323540511140586062e+01 1.853499131843020509e+00
3.329641257399736531e+01 9.267495659215102544e-01
3.329641257399736531e+01 9.267495659215102544e-01
3.450292562692917642e+01 9.267495659215102544e-01
3.462115137689549016e+01 9.267495659215102544e-01
3.525221390096856311e+01 1.853499131843020509e+00
3.545393221738727618e+01 1.853499131843020509e+00
3.545393221738727618e+01 1.853499131843020509e+00
3.545393221738731171e+01 -0.000000000000000000e+00
3.571805439509527957e+01 2.780248697764530874e+00
3.571805439509527957e+01 2.780248697764530874e+00
3.582316572509320451e+01 2.780248697764530874e+00
3.622305080110189124e+01 9.267495659215102544e-01
3.660182376405812477e+01 -0.000000000000000000e+00
3.660182376405812477e+01 1.853499131843020509e+00
3.660182376405812477e+01 1.853499131843020509e+00
3.712305126160632796e+01 3.706998263686041017e+00
3.720058877845107759e+01 9.267495659215102544e-01
3.737082451357237289e+01 3.706998263686041017e+00
3.739325169590813402e+01 9.267495659215102544e-01
3.755571973121134732e+01 3.706998263686041017e+00
3.755571973121134732e+01 9.267495659215102322e+00
3.755571973121134732e+01 9.267495659215102322e+00
3.779111756123141674e+01 2.780248697764530874e+00
3.826716007493694605e+01 -0.000000000000000000e+00
3.826716007493694605e+01 -0.000000000000000000e+00
3.826716007493694605e+01 1.853499131843020509e+00
3.835426726392955032e+01 6.487246961450571447e+00
3.835426726392955032e+01 1.204774435697971313e+01
3.862907823784031081e+01 9.267495659215102544e-01
3.906998920108937057e+01 6.487246961450571447e+00
3.912939503217143766e+01 9.267495659215102544e-01
3.931537239888711355e+01 2.780248697764530874e+00
3.939498700165114542e+01 9.267495659215102544e-01
3.989595469517617943e+01 9.267495659215102544e-01
3.994661255599298499e+01 9.267495659215102544e-01
4.003585478028931277e+01 -0.000000000000000000e+00
4.003585478028931277e+01 5.560497395529061748e+00
4.020901263344673993e+01 -0.000000000000000000e+00
4.055713231254404150e+01 -0.000000000000000000e+00
4.087028926015636898e+01 2.780248697764530874e+00
4.100255600679130197e+01 9.267495659214313175e-01
4.103046078634204008e+01 9.267495659215102544e-01
4.103046078634207561e+01 9.267495659215102544e-01
4.103046078634207561e+01 9.267495659215102544e-01
4.123116638031621761e+01 9.267495659215102544e-01
4.161804028334641714e+01 9.267495659215102544e-01
4.206081768640881791e+01 -0.000000000000000000e+00
4.238939694219132548e+01 -0.000000000000000000e+00
4.238939694219132548e+01 1.853499131843020509e+00
4.263084341154680601e+01 9.267495659215102544e-01
4.274573330784998149e+01 9.267495659215102544e-01
4.298199990171423934e+01 9.267495659214313175e-01
4.316937558623629201e+01 9.267495659215102544e-01
4.316937558623629201e+01 9.267495659215102544e-01
4.316937558623629201e+01 9.267495659215102544e-01
4.336348113797471626e+01 -0.000000000000000000e+00
4.351774835391876906e+01 -0.000000000000000000e+00
4.373740067354352590e+01 2.780248697764451826e+00
4.390712138268367681e+01 3.706998263686041017e+00
4.399454052570163043e+01 9.267495659215102544e-01
4.404389483915307579e+01 9.267495659215102544e-01
4.404389483915307579e+01 9.267495659215102544e-01
4.425492376607262202e+01 9.267495659214313175e-01
4.438218073434035915e+01 9.267495659215102544e-01
4.460751895730516736e+01 2.780248697764530874e+00
4.523476073276864895e+01 -0.000000000000000000e+00
4.539122563645867814e+01 1.853499131843020509e+00
4.551261785572946650e+01 9.267495659215102544e-01
4.551261785572946650e+01 9.267495659215102544e-01
4.564187019488332453e+01 9.267495659214313175e-01
4.584674518322026415e+01 -0.000000000000000000e+00
4.629912667426806649e+01 -0.000000000000000000e+00
4.636673638398151098e+01 9.267495659215102544e-01
4.636673638398151098e+01 9.267495659215102544e-01
4.664091752515874134e+01 9.267495659215102544e-01
4.664091752515874134e+01 9.267495659215102544e-01
4.669213245100407050e+01 9.267495659214313175e-01
4.677508071166569437e+01 9.267495659215102544e-01
4.689069449756566854e+01 9.267495659215102544e-01
4.718347014280330143e+01 -0.000000000000000000e+00
4.720525201714411878e+01 3.706998263686041017e+00
4.733048577486897557e+01 1.853499131843020509e+00
4.755142152702599390e+01 9.267495659214313175e-01
4.778859756074027132e+01 3.706998263686041017e+00
4.800872077204084576e+01 9.267495659214313175e-01
4.803029147390164866e+01 9.267495659215102544e-01
4.818869476750128911e+01 2.780248697764530874e+00
4.833222385842059765e+01 2.780248697764530874e+00
4.833222385842059765e+01 2.780248697764530874e+00
4.855592279503876796e+01 9.267495659215102544e-01
4.855592279503876796e+01 9.267495659215102544e-01
4.856040163730568082e+01 9.267495659214313175e-01
4.933642924141289399e+01 -0.000000000000000000e+00
4.934099598312247537e+01 -0.000000000000000000e+00
4.934099598312247537e+01 1.853499131843020509e+00
4.938211034357576068e+01 9.267495659215102544e-01
4.938211034357576068e+01 9.267495659215102544e-01
4.945887066738462323e+01 2.780248697764530874e+00
4.957041886976157485e+01 9.267495659214313175e-01
4.957041886976160328e+01 9.267495659214313175e-01
4.962880075978283401e+01 1.853499131843020509e+00
4.982764939792080838e+01 9.267495659214313175e-01
5.003391367943854107e+01 1.853499131843020509e+00
5.012407786079044314e+01 9.267495659214313175e-01
5.045035138091256499e+01 -0.000000000000000000e+00
5.070499453566405634e+01 9.267495659215102544e-01
5.092335567756754244e+01 9.267495659215102544e-01
5.098418749523876414e+01 2.780248697764530874e+00
5.113902301857277877e+01 1.853499131843020509e+00
5.113902301857277877e+01 1.853499131843020509e+00
5.127429409557182538e+01 1.853499131843020509e+00
5.127429409557183249e+01 1.853499131843020509e+00
5.133404134955621601e+01 9.267495659214313175e-01
5.137661008042852728e+01 3.706998263686041017e+00
5.166811168679600286e+01 1.853499131843020509e+00
5.167798287582844807e+01 1.853499131843020509e+00
5.205187337732918706e+01 2.780248697764530874e+00
5.205187337732918706e+01 2.780248697764530874e+00
5.220473379516004542e+01 -0.000000000000000000e+00
5.220473379516004542e+01 -0.000000000000000000e+00
5.224478515403885837e+01 9.267495659215102544e-01
5.224478515403885837e+01 9.267495659215102544e-01
5.234387941908581610e+01 -0.000000000000000000e+00
5.234387941908581610e+01 1.853499131843020509e+00
5.242073727429696817e+01 9.267495659214313175e-01
5.247061804308427924e+01 1.853499131843020509e+00
5.247061804308427924e+01 1.853499131843020509e+00
5.265135968475625106e+01 9.267495659215102544e-01
5.286130221521310091e+01 1.853499131843020509e+00
5.300336647309399751e+01 1.853499131843020509e+00
5.305921293652902904e+01 9.267495659214313175e-01
5.330509802241200390e+01 9.267495659215102544e-01
5.330509802241200390e+01 9.267495659215102544e-01
5.333972345884188826e+01 9.267495659214313175e-01
5.344535328595444668e+01 9.267495659215102544e-01
5.349692724510732234e+01 9.267495659215102544e-01
5.400580762712377236e+01 3.706998263686041017e+00
5.420708803389536712e+01 9.267495659215102544e-01
5.420708803389536712e+01 9.267495659215102544e-01
5.426711303362811378e+01 3.706998263686041017e+00
5.427454621806196400e+01 2.780248697764530874e+00
5.463775317670427967e+01 3.706998263686041017e+00
5.472706377087371266e+01 3.706998263686041017e+00
5.477519763447775603e+01 2.780248697764530874e+00
5.487395858489981038e+01 9.267495659214313175e-01
5.487395858489981038e+01 9.267495659214313175e-01
5.490273564608720847e+01 9.267495659215102544e-01
5.498257426694443950e+01 9.267495659214313175e-01
5.498257426694443950e+01 9.267495659214313175e-01
5.543337667090426635e+01 3.706998263686041017e+00
5.550348289658958123e+01 9.267495659214313175e-01
5.550348289658958123e+01 9.267495659214313175e-01
5.564821231292052772e+01 3.706998263686041017e+00
5.567319597840710799e+01 1.853499131843020509e+00
5.627234233871713798e+01 3.706998263686041017e+00
5.633501709274570857e+01 2.780248697764451826e+00
5.664607775054009409e+01 2.780248697764530874e+00
5.664607775054009409e+01 2.780248697764530874e+00
5.670519894344778322e+01 9.267495659215102544e-01
5.699431107713327549e+01 3.706998263686041017e+00
5.699431107713327549e+01 3.706998263686041017e+00
5.739358937061537347e+01 -0.000000000000000000e+00
5.739358937061537347e+01 5.560497395529061748e+00
5.746369362113686918e+01 9.267495659214313175e-01
5.748501482299548826e+01 3.706998263686041017e+00
5.761036494514534922e+01 4.633747829607551161e+00
5.772021365886774191e+01 3.706998263686041017e+00
5.788328043669606160e+01 3.706998263686041017e+00
5.814237936126244222e+01 6.487246961450571447e+00
5.815797739753313778e+01 3.706998263686041017e+00
5.823651021786150039e+01 3.706998263686041017e+00
5.848381897678631702e+01 6.487246961450571447e+00
5.849869192472753809e+01 6.487246961450571447e+00
5.868806215497763645e+01 2.780248697764530874e+00
5.886050377499787345e+01 2.780248697764451826e+00
5.893683790709479098e+01 5.560497395529061748e+00
5.900656502143011295e+01 9.267495659215102322e+00
5.906471597731923850e+01 9.267495659215102544e-01
5.917624097912053571e+01 -0.000000000000000000e+00
5.949821378988023923e+01 3.706998263686041017e+00
5.949821378988023923e+01 3.706998263686041017e+00
5.995573773863449674e+01 3.706998263686041017e+00
5.995573773863449674e+01 3.706998263686041017e+00
6.010536242436420196e+01 8.340746093293592622e+00
6.011398995666178280e+01 3.706998263686041017e+00
6.037166652775860598e+01 4.633747829607551161e+00
6.083569846881606225e+01 3.706998263686041017e+00
6.088929523243761111e+01 2.780248697764530874e+00
6.088929523243761111e+01 4.633747829607551161e+00
6.097345052214443939e+01 9.267495659215102322e+00
6.100430895158775968e+01 8.340746093293592622e+00
6.101467470526223025e+01 5.560497395529061748e+00
6.102034963686111979e+01 8.340746093293592622e+00
6.113377144758229775e+01 1.853499131843020509e+00
6.174371014035192218e+01 2.780248697764530874e+00
6.174383700022769261e+01 6.487246961450571447e+00
6.191392613757223984e+01 5.560497395529061748e+00
6.235949822862481540e+01 5.560497395529061748e+00
6.248693097213384817e+01 3.706998263686041017e+00
6.260703205147432726e+01 9.267495659215102322e+00
6.269315906539137728e+01 6.487246961450571447e+00
6.281034966536951458e+01 1.390124348882265437e+01
6.355579638220856964e+01 2.780248697764530874e+00
6.357218261634329792e+01 5.560497395529061748e+00
6.404769635467631872e+01 6.487246961450571447e+00
6.457776540822329991e+01 6.487246961450571447e+00
6.467722051813599649e+01 1.668149218658718524e+01
6.474459789322621361e+01 6.487246961450571447e+00
6.528976283739206110e+01 7.413996527372082035e+00
6.530268001365348596e+01 9.267495659215102544e-01
6.550939169010996466e+01 5.560497395529061748e+00
6.557247797436544090e+01 6.487246961450650495e+00
6.561070373644604103e+01 7.413996527372082035e+00
6.565831166941862307e+01 2.780248697764530874e+00
6.570435983194927587e+01 8.340746093293592622e+00
6.570435983194927587e+01 8.340746093293592622e+00
6.570435983194927587e+01 8.340746093293592622e+00
6.588697187202137684e+01 6.487246961450571447e+00
6.614879723726710381e+01 1.112099479105812350e+01
6.624017961352900841e+01 5.560497395529061748e+00
6.630675752987092153e+01 9.267495659215102322e+00
6.647081022281172125e+01 9.267495659215102322e+00
6.664152223069292802e+01 2.780248697764530874e+00
6.690255377519916635e+01 8.340746093293592622e+00
6.718355050506185933e+01 9.267495659215102322e+00
6.773270090206216310e+01 9.267495659215102322e+00
6.824572274941729688e+01 9.267495659215102322e+00
6.828910523321530945e+01 8.340746093293592622e+00
6.829749506441120843e+01 5.560497395529061748e+00
6.864156201139465452e+01 6.487246961450571447e+00
6.864164592499882644e+01 9.267495659215102322e+00
6.886832576672473749e+01 6.487246961450571447e+00
6.898659796100204744e+01 9.267495659215102322e+00
6.941600971799398678e+01 6.487246961450571447e+00
6.957232055812502836e+01 8.340746093293592622e+00
6.957232055812502836e+01 8.340746093293592622e+00
6.962839736627003617e+01 1.112099479105812350e+01
6.969098809888670587e+01 6.487246961450571447e+00
7.021257554128102640e+01 1.112099479105812350e+01
7.023616712144037422e+01 8.340746093293592622e+00
7.030711065975857821e+01 9.267495659215102322e+00
7.031097723824409229e+01 3.706998263686041017e+00
7.043291105790861195e+01 1.204774435697963320e+01
7.063619470877092965e+01 9.267495659215102322e+00
7.066859436435959196e+01 3.706998263686041017e+00
7.085480974505885854e+01 8.340746093293592622e+00
7.085480974505885854e+01 1.019424522513661202e+01
7.124288884641656239e+01 6.487246961450650495e+00
7.164633145018640903e+01 9.267495659215102322e+00
7.181960345158131531e+01 3.706998263686041017e+00
7.191875030038453076e+01 6.487246961450571447e+00
7.227733112454899356e+01 1.204774435697963320e+01
