# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_C2H_260GHz_hf3.0.15arcsec.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 8.059
# r[au] h[au]
3.774044380863742276e+01 9.272716548222881272e-01
3.914281344780656013e+01 3.709086619288994857e+00
3.954451984388681041e+01 2.781814964466706730e+00
3.988048682607450957e+01 9.272716548222881272e-01
4.102690326263128640e+01 -0.000000000000000000e+00
4.107537574525025548e+01 9.272716548222881272e-01
4.136354672609012795e+01 9.272716548222881272e-01
4.223765363020959285e+01 9.272716548222881272e-01
4.227806429787924714e+01 -0.000000000000000000e+00
4.295288506760942226e+01 9.272716548222881272e-01
4.295288506760942226e+01 9.272716548222881272e-01
4.386685487090105795e+01 2.781814964466706730e+00
4.471990922370496691e+01 9.272716548222881272e-01
4.526385177146975280e+01 -0.000000000000000000e+00
4.542803078934132088e+01 -0.000000000000000000e+00
4.552183733567007806e+01 1.854543309644576254e+00
4.566430558905688741e+01 -0.000000000000000000e+00
4.566430558905688741e+01 -0.000000000000000000e+00
4.576803356213101637e+01 9.272716548222881272e-01
4.591704578934295000e+01 1.854543309644576254e+00
4.651512686494309179e+01 9.272716548222881272e-01
4.689286540187811170e+01 9.272716548222881272e-01
4.773672548082479494e+01 -0.000000000000000000e+00
4.782312771571631060e+01 -0.000000000000000000e+00
4.782312771571631060e+01 1.854543309644576254e+00
4.822201412163430234e+01 7.418173238577989714e+00
4.837000241930314814e+01 2.781814964466785778e+00
4.837000241930314814e+01 2.781814964466785778e+00
4.855124284673467372e+01 9.272716548222881272e-01
4.855124284673467372e+01 9.272716548222881272e-01
4.862977021167133529e+01 9.272716548222566857e+00
4.882956324468473497e+01 2.781814964466785778e+00
4.890983410702995826e+01 9.272716548222881272e-01
4.919983888203241662e+01 3.709086619288994857e+00
4.920425675064645077e+01 -0.000000000000000000e+00
4.920425675064645077e+01 -0.000000000000000000e+00
4.920425675064645077e+01 -0.000000000000000000e+00
4.920425675064645077e+01 -0.000000000000000000e+00
4.925087613163675115e+01 9.272716548222881272e-01
4.925087613163675115e+01 9.272716548222881272e-01
4.935092552552288936e+01 3.709086619288994857e+00
4.958603399855100236e+01 2.781814964466785778e+00
5.011093793390228512e+01 9.272716548222881272e-01
5.011093793390228512e+01 9.272716548222881272e-01
5.018383565967302218e+01 9.272716548222881272e-01
5.043207609033378702e+01 6.490901583755780635e+00
5.084137713190776964e+01 -0.000000000000000000e+00
5.084137713190776964e+01 -0.000000000000000000e+00
