# data from file ../MAPS/hd163296/HD_163296_c-C3H2_260GHz_t1.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 5.8
# r[au] h[au]
4.759611052248270369e+01 1.856645775758323458e+00
4.759611052248270369e+01 1.856645775758323458e+00
5.350536416853323374e+01 -0.000000000000000000e+00
5.350536416853323374e+01 -0.000000000000000000e+00
5.839653840243288840e+01 5.569937327274891992e+00
5.844952088506091314e+01 -0.000000000000000000e+00
5.925024294017123339e+01 1.856645775758323458e+00
5.992517686501755492e+01 1.856645775758323458e+00
5.997367784814109370e+01 3.713291551516646916e+00
6.768221353573098042e+01 -0.000000000000000000e+00
6.866174698679247967e+01 5.569937327274891992e+00
7.250799628516882933e+01 -0.000000000000000000e+00
7.289831161064618925e+01 9.283228878791458527e+00
7.554929913475434944e+01 7.426583103033136624e+00
7.723792898756261138e+01 1.299652043030802773e+01
8.354327929643100958e+01 -0.000000000000000000e+00
8.359767012730847568e+01 7.426583103033136624e+00
8.422279358075361699e+01 7.426583103033136624e+00
8.615933318070521807e+01 9.283228878791458527e+00
8.755886866942326208e+01 5.569937327274891992e+00
8.802510261756448529e+01 1.485316620606627325e+01
9.080905110078901998e+01 1.856645775758323458e+00
9.178750561501556149e+01 3.341962396364918675e+01
9.363428763387079812e+01 -0.000000000000000000e+00
9.363428763387079812e+01 1.485316620606627325e+01
9.596336005343715669e+01 1.856645775758323458e+00
9.690980694992177291e+01 9.283228878791458527e+00
9.703005336106599543e+01 1.856645775758323458e+00
9.766730915524956913e+01 1.299652043030802773e+01
9.963770833233556345e+01 1.856645775758291705e+01
9.963770833233564872e+01 7.426583103033136624e+00
1.003728293165748369e+02 2.413639508485773177e+01
1.013490197980278680e+02 1.856645775758323458e+00
1.014685483667485641e+02 1.670981198182459337e+01
1.016982453531077795e+02 1.299652043030802773e+01
1.031990581651344598e+02 1.299652043030802773e+01
1.033852156072438220e+02 7.426583103033136624e+00
1.038442532727978431e+02 7.426583103033136624e+00
1.038698865309616224e+02 1.299652043030802773e+01
1.042004250264799339e+02 5.569937327274891992e+00
1.043355052060711756e+02 1.299652043030802773e+01
1.044290991205387087e+02 1.299652043030802773e+01
1.044501042657553569e+02 1.856645775758323458e+00
1.052642536844709866e+02 1.299652043030802773e+01
1.054209688505210352e+02 2.784968663637429742e+01
1.059598027879516309e+02 3.713291551516646916e+00
1.059598027879517161e+02 1.485316620606627325e+01
1.060284174315645487e+02 7.426583103033136624e+00
1.068491947831184632e+02 7.426583103033136624e+00
1.070720028816160436e+02 1.670981198182459337e+01
1.071465677079316947e+02 3.713291551516646916e+00
1.073976539403577135e+02 9.283228878791458527e+00
1.076498296489900497e+02 1.299652043030802773e+01
1.091721246437746657e+02 7.426583103033136624e+00
1.094915978546480915e+02 5.569937327274891992e+00
1.096991771549641186e+02 1.113987465454978398e+01
1.097927371916362489e+02 1.299652043030802773e+01
1.100263135868191569e+02 1.856645775758323458e+00
1.102271169071898242e+02 3.713291551516646916e+00
1.102271169071898242e+02 1.113987465454978398e+01
1.102271169071898953e+02 1.485316620606627325e+01
1.102684141878360862e+02 1.670981198182459337e+01
1.104399802420339967e+02 1.299652043030802773e+01
1.110575912191263370e+02 1.670981198182459337e+01
1.116807771270998586e+02 7.426583103033136624e+00
1.118526857892391604e+02 1.299652043030802773e+01
1.127744886698122286e+02 7.426583103033136624e+00
1.129423140094728097e+02 1.670981198182459337e+01
1.133239487021315171e+02 1.299652043030802773e+01
1.140075388969002432e+02 1.856645775758291705e+01
1.148719277969554042e+02 3.713291551516646916e+00
1.148719277969554042e+02 1.113987465454978398e+01
1.154455311431576234e+02 9.283228878791458527e+00
1.154455311431576234e+02 9.283228878791458527e+00
1.155149494840372171e+02 3.713291551516646916e+00
1.155149494840372171e+02 1.113987465454978398e+01
1.166698232461992859e+02 3.713291551516646916e+00
1.178453607645707280e+02 1.856645775758291705e+01
1.180392897832057031e+02 3.713291551516646916e+00
1.181824151585742300e+02 2.413639508485773177e+01
1.189515967165855272e+02 2.413639508485773177e+01
1.190400091811819578e+02 1.670981198182459337e+01
1.190400091811819578e+02 1.670981198182459337e+01
1.204015532020433028e+02 1.856645775758323458e+00
1.209099795453598887e+02 5.569937327274891992e+00
1.246920067381596908e+02 1.856645775758291705e+01
1.264880237870611097e+02 1.856645775758291705e+01
1.267831639215527559e+02 7.426583103033136624e+00
1.288595306564701275e+02 2.227974930909940809e+01
1.301705329603926771e+02 2.413639508485773177e+01
1.307770764010219295e+02 1.299652043030802773e+01
1.351493475073527861e+02 2.227974930909940809e+01
1.401407271717201581e+02 2.784968663637429742e+01
1.408401641881031026e+02 2.599304086061605545e+01
1.429648764827229854e+02 2.784968663637429742e+01
1.513278656326957901e+02 9.283228878791458527e+00
