# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_CN_110GHz_hf1.0.5arcsec.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 8.059
# r[au] h[au]
7.511723520316076019e+01 -0.000000000000000000e+00
7.623935187832542226e+01 -0.000000000000000000e+00
8.325590841423402821e+01 3.725626395664331181e+00
8.468268286319383265e+01 2.235375837398630239e+01
9.081516183325584279e+01 1.117687918699315119e+01
9.143322715910929332e+01 7.451252791328819569e+00
9.536091634939428729e+01 1.117687918699315119e+01
9.883846737257962900e+01 2.235375837398630239e+01
1.005764926394931678e+02 1.862813197832197076e+01
1.014030700660349567e+02 1.117687918699315119e+01
1.022174233367340435e+02 2.980501116531496564e+01
1.026241075113887007e+02 2.607938476965063401e+01
1.075381377785514445e+02 1.490250558265748282e+01
1.086790705295113497e+02 1.117687918699315119e+01
1.086790705295113924e+02 1.117687918699315119e+01
1.088071831749583112e+02 1.490250558265763914e+01
1.117429131386989525e+02 2.235375837398630239e+01
1.133108691875723650e+02 1.490250558265748282e+01
1.136801173423034612e+02 1.490250558265748282e+01
1.152546420563605096e+02 3.725626395664488832e+00
1.169588715062697020e+02 1.117687918699315119e+01
1.217053419858022920e+02 3.725626395664488832e+00
1.219472995967771709e+02 1.117687918699315119e+01
1.240441426668156737e+02 1.490250558265748282e+01
1.253005943835288036e+02 2.235375837398630239e+01
1.284534189299277784e+02 1.862813197832197076e+01
1.285003620275690253e+02 -0.000000000000000000e+00
1.291527294358996016e+02 3.725626395664488832e+00
1.332607205194710787e+02 1.862813197832197076e+01
1.387784377190444047e+02 1.490250558265748282e+01
1.400911280340726250e+02 2.235375837398630239e+01
1.434448843320354001e+02 1.117687918699315119e+01
1.520658774838497891e+02 1.117687918699315119e+01
1.536690650425407796e+02 2.607938476965063401e+01
1.552383775057221840e+02 3.725626395664331181e+00
1.552918123615114609e+02 4.470751674797244846e+01
1.559590211640521034e+02 4.843314314363677653e+01
1.665118168284679427e+02 1.117687918699315119e+01
1.673915646234985104e+02 3.725626395664378521e+01
1.709919942696103590e+02 4.098189035230812038e+01
1.811212214506117846e+02 3.353063756097930082e+01
1.835384889757568772e+02 2.607938476965063401e+01
1.962761967950982012e+02 2.607938476965063401e+01
1.969103807243933204e+02 3.725626395664378521e+01
2.068099107510366821e+02 2.607938476965063401e+01
2.089090356748833699e+02 4.470751674797260478e+01
2.130932141119652385e+02 1.490250558265748282e+01
2.134077742943599389e+02 3.353063756097930082e+01
2.141282371383830139e+02 7.451252791328819569e+00
2.190501916025029914e+02 7.451252791328757041e+01
2.223765848861895904e+02 6.706127512195875795e+01
2.249153925551938187e+02 4.098189035230812038e+01
2.264636261043177967e+02 4.470751674797260478e+01
2.269902901806885041e+02 1.490250558265748282e+01
2.307553221469827918e+02 7.451252791328757041e+01
2.352357862018889989e+02 4.843314314363693285e+01
2.400808673044947170e+02 3.725626395664378521e+01
2.400808673044947454e+02 3.725626395664378521e+01
2.485497707316614537e+02 1.862813197832197076e+01
2.533618707442157643e+02 1.452994294309106635e+02
2.569800151687072685e+02 1.490250558265749703e+02
2.604156203677314352e+02 1.490250558265748282e+01
2.609335538636105980e+02 1.154944182655955274e+02
2.637570057735212572e+02 3.725626395664331181e+00
2.646419644424053104e+02 2.607938476965063401e+01
2.652074877418862684e+02 1.117687918699311922e+02
2.678415396816817520e+02 -0.000000000000000000e+00
2.701011736623451611e+02 1.154944182655955274e+02
2.740365270522044625e+02 1.490250558265749703e+02
2.755815975534911217e+02 1.490250558265749703e+02
2.808358802364765552e+02 5.961002233062993128e+01
2.900583111828743768e+02 5.961002233062993128e+01
2.942999184546719107e+02 5.215876953930126803e+01
2.957347430653418883e+02 1.005919126829380588e+02
2.983242112696107142e+02 3.725626395664378521e+01
2.992628888026998197e+02 4.843314314363693285e+01
3.012312170539050840e+02 5.961002233062993128e+01
3.076721195228070656e+02 7.078690151762307892e+01
3.099352692613266527e+02 4.098189035230812038e+01
3.115313545589524438e+02 9.686628628727370938e+01
3.119180423281042067e+02 3.353063756097945713e+01
3.193227171116649856e+02 3.725626395664378521e+01
3.198597277337053129e+02 7.451252791328741409e+01
3.225501575943546300e+02 1.080431654742668712e+02
3.271269946584968693e+02 4.843314314363693285e+01
3.295365172260966347e+02 7.451252791328741409e+01
3.347831292469971913e+02 9.314065989160938841e+01
3.399326075627168962e+02 5.961002233062993128e+01
3.419839885392207748e+02 7.078690151762307892e+01
3.436573320812084376e+02 8.941503349594489691e+01
3.460219549438373292e+02 7.451252791328757041e+01
3.526654677851786914e+02 8.196378070461624077e+01
3.528341261767072297e+02 7.078690151762323524e+01
3.570437297169885937e+02 6.333564872629425935e+01
3.579599841746637594e+02 4.843314314363693285e+01
3.598324530657843638e+02 8.196378070461624077e+01
3.599391508235801211e+02 4.098189035230812038e+01
3.617158320597603733e+02 4.470751674797260478e+01
3.622905184151689468e+02 5.961002233062993128e+01
3.631970399812299206e+02 3.353063756097930082e+01
3.634694126513630863e+02 6.333564872629441567e+01
3.657898113016594266e+02 4.098189035230812038e+01
3.658418987903312996e+02 4.843314314363693285e+01
3.671284982011124498e+02 6.333564872629425935e+01
