# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_CN_110GHz_hf2.0.5arcsec.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: -1.5
# r[au] h[au]
4.919986964212509406e+01 3.725626395664331181e+00
5.762732102818029745e+01 -0.000000000000000000e+00
7.623935187832542226e+01 -0.000000000000000000e+00
8.299122173066267294e+01 7.451252791328662362e+00
8.325590841423402821e+01 3.725626395664331181e+00
8.468268286319383265e+01 2.235375837398630239e+01
9.143322715910929332e+01 7.451252791328819569e+00
9.357232570161767171e+01 2.235375837398630239e+01
9.536091634939428729e+01 1.117687918699315119e+01
1.014030700660349567e+02 1.117687918699315119e+01
1.022174233367340435e+02 2.980501116531496564e+01
1.026241075113887007e+02 2.607938476965063401e+01
1.067455447623860749e+02 1.490250558265748282e+01
1.075381377785514445e+02 1.490250558265748282e+01
1.086790705295113497e+02 1.117687918699315119e+01
1.086790705295113924e+02 1.117687918699315119e+01
1.088071831749583112e+02 1.490250558265763914e+01
1.112043987178744260e+02 3.725626395664331181e+00
1.117429131386989525e+02 2.235375837398630239e+01
1.133108691875723650e+02 1.490250558265748282e+01
1.136801173423034612e+02 1.490250558265748282e+01
1.152546420563605096e+02 3.725626395664488832e+00
1.199441510219281781e+02 1.490250558265763914e+01
1.217053419858022920e+02 3.725626395664488832e+00
1.240441426668156737e+02 1.490250558265748282e+01
1.284534189299277784e+02 1.862813197832197076e+01
1.285003620275690253e+02 -0.000000000000000000e+00
1.291527294358996016e+02 3.725626395664488832e+00
1.296942232354347482e+02 3.725626395664331181e+00
1.330448754519091494e+02 1.490250558265748282e+01
1.332607205194710787e+02 1.862813197832197076e+01
1.355305061144875083e+02 1.862813197832197076e+01
1.415893597541338522e+02 2.607938476965063401e+01
1.434448843320354001e+02 1.117687918699315119e+01
1.514155498444656587e+02 -0.000000000000000000e+00
1.520658774838497891e+02 1.117687918699315119e+01
1.552918123615114609e+02 4.470751674797244846e+01
1.559590211640521034e+02 4.843314314363677653e+01
1.665118168284679427e+02 1.117687918699315119e+01
1.673915646234985104e+02 3.725626395664378521e+01
1.709919942696103590e+02 4.098189035230812038e+01
1.728819630845406721e+02 3.725626395664378521e+01
1.811212214506117846e+02 3.353063756097930082e+01
1.916016991462886665e+02 3.353063756097930082e+01
1.968902458488655611e+02 1.117687918699315119e+01
1.969103807243933204e+02 3.725626395664378521e+01
2.023788646876163000e+02 1.862813197832197076e+01
2.070020580652980868e+02 1.490250558265748282e+01
2.089090356748833699e+02 4.470751674797260478e+01
2.130932141119652385e+02 1.490250558265748282e+01
2.134077742943599389e+02 3.353063756097930082e+01
2.190501916025029914e+02 7.451252791328757041e+01
2.199965867778265931e+02 7.451252791328819569e+00
2.249153925551938187e+02 4.098189035230812038e+01
2.274318292434602995e+02 2.235375837398630239e+01
2.307553221469827918e+02 7.451252791328757041e+01
2.332635153442038813e+02 1.490250558265748282e+01
2.400808673044947170e+02 3.725626395664378521e+01
2.400808673044947454e+02 3.725626395664378521e+01
2.410220961942248721e+02 2.607938476965063401e+01
2.485497707316614537e+02 1.862813197832197076e+01
2.555651574573682012e+02 3.353063756097930082e+01
2.604156203677314352e+02 1.490250558265748282e+01
2.604472616924019803e+02 2.235375837398630239e+01
2.637570057735212572e+02 3.725626395664331181e+00
2.742996814773277947e+02 1.490250558265763914e+01
