# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_H2CO_220GHz.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 8.059
# r[au] h[au]
5.449036892151901412e+01 1.113949832014701258e+01
5.766039947797445109e+01 7.426332213431341422e+00
5.920983455640018889e+01 7.426332213431341422e+00
5.968541914935408954e+01 7.426332213431341422e+00
6.107490044066160095e+01 3.713166106715670711e+00
6.107490044066160095e+01 1.113949832014701258e+01
6.156707245421279140e+01 3.713166106715670711e+00
6.156707245421280561e+01 -0.000000000000000000e+00
6.302053039144445989e+01 -0.000000000000000000e+00
6.304505851939262584e+01 1.856583053357835356e+00
6.352196746369875768e+01 1.856583053357835356e+00
6.428789247398675855e+01 1.856583053357835356e+00
6.493168094771526455e+01 1.856583053357835356e+00
6.493168094771526455e+01 1.856583053357835356e+00
6.501015054001391036e+01 7.426332213431341422e+00
6.537118619504153116e+01 1.485266442686268284e+01
6.537118619504153116e+01 1.485266442686268284e+01
6.721553335668549778e+01 1.856583053357835356e+00
6.852677295601856144e+01 -0.000000000000000000e+00
6.852677295601856144e+01 1.485266442686268284e+01
6.876397463483951356e+01 5.569749160073506289e+00
7.028836711464160203e+01 1.856583053357835356e+00
7.028836711464160203e+01 1.299608137350484682e+01
7.092452989839739530e+01 5.569749160073506289e+00
7.092452989839739530e+01 5.569749160073506289e+00
7.092569083431673960e+01 1.856583053357835356e+00
7.206076281326699018e+01 7.426332213431341422e+00
7.238209124138221284e+01 3.713166106715670711e+00
7.238209124138221284e+01 1.113949832014701258e+01
7.465723100299889836e+01 1.856583053357835356e+00
7.527525923243592842e+01 1.856583053357835356e+00
7.607441456866686735e+01 7.426332213431341422e+00
7.653138774035099345e+01 -0.000000000000000000e+00
7.683187845339307387e+01 3.713166106715670711e+00
7.683187845339307387e+01 1.113949832014701258e+01
7.743425656153520720e+01 9.282915266789176556e+00
7.743425656153520720e+01 9.282915266789176556e+00
7.880632314924082493e+01 1.670924748022051887e+01
7.918836729626475801e+01 1.670924748022051887e+01
7.924380061987737633e+01 3.713166106715670711e+00
8.160903444741178703e+01 5.569749160073506289e+00
8.160903444741178703e+01 1.670924748022051887e+01
8.177915293257362350e+01 3.713166106715670711e+00
8.180911167558801367e+01 7.426332213431341422e+00
8.288287766886246288e+01 2.970532885372536569e+01
8.326082989164942205e+01 1.299608137350484682e+01
8.442429338128931704e+01 7.426332213431341422e+00
8.487312709665717136e+01 1.856583053357835356e+00
8.609773476335880105e+01 7.426332213431341422e+00
8.628283033797131907e+01 9.282915266789176556e+00
8.628283033797131907e+01 2.042241358693618736e+01
8.652629006027085268e+01 3.713166106715670711e+00
8.652629006027085268e+01 1.113949832014701258e+01
8.713922225698773616e+01 -0.000000000000000000e+00
8.785708194461840037e+01 7.426332213431341422e+00
8.819247748948494348e+01 1.299608137350484682e+01
8.853123739917802482e+01 1.856583053357835356e+00
8.865711354289595647e+01 1.856583053357835311e+01
8.899688044253859687e+01 1.856583053357835311e+01
9.094773872552538307e+01 3.713166106715670711e+00
9.137910599428396097e+01 2.784874580036753144e+01
9.141132306882249736e+01 1.856583053357835356e+00
9.155657953451915887e+01 1.856583053357835356e+00
9.194969357514142416e+01 9.282915266789176556e+00
9.198938231692501688e+01 1.113949832014701258e+01
9.198938231692501688e+01 1.113949832014701258e+01
9.253434710109327455e+01 1.856583053357835356e+00
9.284061692075978556e+01 -0.000000000000000000e+00
9.284061692075978556e+01 -0.000000000000000000e+00
9.389210709157075030e+01 1.856583053357835311e+01
9.394604265048602088e+01 1.856583053357835311e+01
9.413544844146211688e+01 1.856583053357835311e+01
9.548577123227734376e+01 7.426332213431341422e+00
9.730374912925528008e+01 1.856583053357835356e+00
9.730374912925528008e+01 1.299608137350484682e+01
9.767001444047156156e+01 1.299608137350484682e+01
9.860185611954373996e+01 1.670924748022051887e+01
9.882427909371733676e+01 -0.000000000000000000e+00
9.963726213782088337e+01 1.299608137350484682e+01
1.003670123099145997e+02 2.042241358693618736e+01
1.024409863740271192e+02 1.299608137350484682e+01
