# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_HCN_260GHz_hf2.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 4.059
# r[au] h[au]
2.995698832508369946e+01 -0.000000000000000000e+00
3.611131402105327481e+01 1.856583053357835356e+00
3.630391648055105946e+01 1.856583053357835356e+00
3.743300349588930231e+01 -0.000000000000000000e+00
3.743300349588930231e+01 -0.000000000000000000e+00
3.743300349588930231e+01 -0.000000000000000000e+00
3.743300349588930231e+01 -0.000000000000000000e+00
3.823075591024615960e+01 -0.000000000000000000e+00
3.823075591024615960e+01 -0.000000000000000000e+00
3.823075591024615960e+01 -0.000000000000000000e+00
3.823075591024618802e+01 -0.000000000000000000e+00
3.823075591024618802e+01 -0.000000000000000000e+00
3.871765995077068112e+01 1.856583053357835356e+00
3.871765995077068112e+01 1.856583053357835356e+00
3.871765995077068112e+01 1.856583053357835356e+00
3.940316157462032720e+01 1.856583053357835356e+00
3.940316157462032720e+01 1.856583053357835356e+00
4.016179887431835027e+01 1.856583053357835356e+00
4.052990917465160692e+01 -0.000000000000000000e+00
4.052990917465160692e+01 -0.000000000000000000e+00
4.052990917465160692e+01 -0.000000000000000000e+00
4.243656354832850752e+01 1.856583053357835356e+00
4.243656354832850752e+01 1.856583053357835356e+00
4.409623874474240068e+01 -0.000000000000000000e+00
4.409623874474240068e+01 -0.000000000000000000e+00
4.409623874474240068e+01 -0.000000000000000000e+00
4.578053803512684539e+01 1.856583053357835356e+00
4.715282126246800232e+01 1.856583053357835356e+00
4.865187456462754056e+01 -0.000000000000000000e+00
4.865187456462754056e+01 -0.000000000000000000e+00
4.925395196827545874e+01 -0.000000000000000000e+00
4.925395196827545874e+01 -0.000000000000000000e+00
4.977148733533253733e+01 1.856583053357835356e+00
4.977148733533253733e+01 1.856583053357835356e+00
4.977148733533253733e+01 1.856583053357835356e+00
4.986293945646151826e+01 -0.000000000000000000e+00
5.018350615495719325e+01 1.856583053357835356e+00
5.018350615495719325e+01 1.856583053357835356e+00
5.018350615495719325e+01 1.856583053357835356e+00
5.259883148626322935e+01 1.856583053357835356e+00
5.259883148626322935e+01 1.856583053357835356e+00
5.271627533598119442e+01 1.856583053357835356e+00
5.394676467928649544e+01 -0.000000000000000000e+00
5.449036892151901412e+01 -0.000000000000000000e+00
5.449036892151901412e+01 -0.000000000000000000e+00
5.449036892151901412e+01 -0.000000000000000000e+00
