# data from file /Users/tpaneque/Documents/MAPS/hd163296/HD_163296_HCO+_90GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 8.059
# r[au] h[au]
3.814428422615327463e+01 1.856583053357835356e+00
4.229522188899515101e+01 7.426332213431341422e+00
4.417942218487890216e+01 1.856583053357835356e+00
4.494761885953661817e+01 7.426332213431341422e+00
4.719975952209431114e+01 5.569749160073506289e+00
4.809252935841349341e+01 1.856583053357835356e+00
5.003085048241864996e+01 3.713166106715670711e+00
5.122411004700648363e+01 1.856583053357835356e+00
5.133592503051238509e+01 3.713166106715670711e+00
5.585838991594452096e+01 1.485266442686268284e+01
5.644438672361403775e+01 1.856583053357835356e+00
5.789344332886096822e+01 5.569749160073506289e+00
6.049875397484072437e+01 -0.000000000000000000e+00
6.170099228890207854e+01 5.569749160073506289e+00
6.579848706550677662e+01 1.856583053357835356e+00
6.747047382100900847e+01 1.856583053357835356e+00
7.045772428805697984e+01 3.713166106715670711e+00
7.197781818219812067e+01 3.713166106715670711e+00
7.302181661409105118e+01 1.856583053357835356e+00
7.772510842223418592e+01 7.426332213431341422e+00
7.845593525555963765e+01 7.426332213431341422e+00
7.961042358123562224e+01 3.713166106715670711e+00
7.961042358123562224e+01 1.113949832014701258e+01
8.066582437358928814e+01 -0.000000000000000000e+00
8.517082819102796520e+01 2.599216274700969365e+01
8.663420144872245032e+01 1.856583053357835356e+00
8.663420144872254980e+01 1.856583053357835356e+00
8.679443755458468956e+01 1.856583053357835356e+00
8.844865804323939074e+01 2.413557969365185940e+01
9.092093807338831368e+01 5.569749160073506289e+00
9.707538417466653868e+01 5.569749160073506289e+00
9.812274576933135961e+01 1.113949832014701258e+01
1.008819909913103885e+02 1.299608137350484682e+01
1.028239856061429975e+02 5.569749160073506289e+00
1.030853184313842803e+02 1.856583053357835356e+00
1.036094198235621917e+02 5.569749160073506289e+00
1.036094198235622912e+02 5.569749160073506289e+00
1.057820671944912618e+02 1.670924748022051887e+01
1.057820671944912618e+02 1.670924748022051887e+01
1.060560783870150630e+02 1.113949832014701258e+01
1.081115209115484106e+02 1.856583053357835356e+00
1.082583041451773909e+02 1.856583053357835356e+00
1.092721370679436319e+02 7.426332213431341422e+00
1.097731456183653620e+02 1.113949832014701258e+01
1.100614626075137892e+02 3.713166106715670711e+00
1.101696198969631695e+02 1.856583053357835311e+01
1.114629677873103759e+02 9.282915266789176556e+00
1.134578014258204348e+02 7.426332213431341422e+00
