# data from file /Users/tpaneque/Documents/MAPS/imlup/IM_Lup_CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 144.5
# inc: 47.5
# dist: 158.0 
# vsys: 4.5
# r[au] h[au]
2.778673927657053255e+01 4.293195112701146066e+00
3.028881127048828859e+01 8.586390225402292131e+00
3.206554335151329127e+01 -0.000000000000000000e+00
3.335465477947939661e+01 5.724260150268154490e+00
3.350523274393793827e+01 1.431065037567008202e+00
3.350523274393793827e+01 1.431065037567008202e+00
3.350523274393793827e+01 1.431065037567008202e+00
3.435813570375815829e+01 7.155325187835162914e+00
3.497599144708793517e+01 5.724260150268154490e+00
3.497599144708793517e+01 5.724260150268154490e+00
3.616580544022892241e+01 1.001745526296917888e+01
3.644444354588530643e+01 1.287958533810319572e+01
3.797103536238549992e+01 1.431065037567129883e+00
3.835814124044411244e+01 8.586390225402292131e+00
3.835814124044421902e+01 2.862130075134138085e+00
3.889527523727559100e+01 4.293195112701146066e+00
3.889527523727559100e+01 7.155325187835162914e+00
3.904333602699796302e+01 -0.000000000000000000e+00
3.940287437154871952e+01 1.001745526296917888e+01
4.028148391169137454e+01 5.724260150268154490e+00
4.082239467131796573e+01 5.724260150268154490e+00
4.082239467131796573e+01 5.724260150268154490e+00
4.089129570517958001e+01 2.862130075134016405e+00
4.105728510983473711e+01 1.431065037567129883e+00
4.208735432838827251e+01 7.155325187835162914e+00
4.308994122602894805e+01 8.586390225402169563e+00
4.337166015623255078e+01 5.724260150268154490e+00
4.357555953130074755e+01 1.001745526296917888e+01
4.450991589806680793e+01 1.431065037567129883e+00
4.538613078535559708e+01 1.287958533810319572e+01
4.538613078535559708e+01 1.287958533810319572e+01
4.586617861898756132e+01 7.155325187835162914e+00
4.599180354631147338e+01 8.586390225402169563e+00
4.704744256017854553e+01 5.724260150268154490e+00
4.724446211961164011e+01 1.860384548837134844e+01
4.737663810444558976e+01 7.155325187835162914e+00
4.737663810444558976e+01 7.155325187835162914e+00
4.737663810444558976e+01 7.155325187835162914e+00
4.825034077060696092e+01 1.001745526296917888e+01
4.840274974854155232e+01 1.431065037567008202e+00
4.841373667347745169e+01 2.003491052593847854e+01
4.947329522265611956e+01 2.862130075134016405e+00
4.947329522265611956e+01 2.862130075134016405e+00
4.991598817032637925e+01 2.862130075134016405e+00
5.003047867709727115e+01 7.155325187835162914e+00
5.009915444416314045e+01 7.155325187835162914e+00
5.009915444416314045e+01 1.287958533810319572e+01
5.140109379279561352e+01 5.724260150268032810e+00
5.140109379279561352e+01 5.724260150268032810e+00
5.278232765058783116e+01 1.001745526296917888e+01
5.278232765058794485e+01 1.431065037567008202e+00
5.457302862669130405e+01 1.431065037567129883e+00
5.457302862669130405e+01 1.001745526296917888e+01
5.466067043779715817e+01 1.431065037567032583e+01
5.567546775233638812e+01 1.431065037567032583e+01
5.574480293769101991e+01 5.724260150268032810e+00
5.584205457322977395e+01 1.001745526296917888e+01
5.614141124808761418e+01 1.574171541323745416e+01
5.622240387887691782e+01 1.431065037566886300e+00
5.669560161483305194e+01 1.001745526296917888e+01
5.778413731995680536e+01 8.586390225402169563e+00
5.810280130849513824e+01 8.586390225402169563e+00
5.810280130849515245e+01 8.586390225402169563e+00
5.848737013443176380e+01 1.001745526296917888e+01
5.848737013443180643e+01 1.001745526296917888e+01
5.848737013443180643e+01 1.001745526296917888e+01
5.904847586638456391e+01 1.144852030053630898e+01
5.910431155732310771e+01 1.431065037566886300e+00
5.965619306047383930e+01 1.001745526296929967e+01
6.060803317771541998e+01 1.144852030053630898e+01
