# data from file ../MAPS/imlup/IM_Lup_13CO_110GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 144.5
# inc: 47.5
# dist: 158.0 
# vsys: 4.5
# r[au] h[au]
6.540775184454811608e+01 2.866916245828024401e+00
6.613967629374404567e+01 2.866916245828268206e+00
7.548202254540504441e+01 1.146766498331307282e+01
7.777770189607616658e+01 2.866916245828268206e+00
8.683918136495138640e+01 2.866916245828268206e+00
8.754716825586180562e+01 5.733832491656536412e+00
9.193145634224785567e+01 1.146766498331307282e+01
9.355849253305693480e+01 2.866916245828024401e+00
9.932732934772398892e+01 5.733832491656536412e+00
1.042944857773348133e+02 2.293532996662614565e+01
1.051490691778666218e+02 2.866916245828268206e+00
1.053608038533107418e+02 1.146766498331307282e+01
1.054460627762830143e+02 1.146766498331307282e+01
1.060322914219155450e+02 -0.000000000000000000e+00
1.111235139602776059e+02 8.600748737484805062e+00
1.111894033547144289e+02 1.146766498331307282e+01
1.205075178018042266e+02 2.866916245828268206e+00
1.247187163114472384e+02 2.866916245828268206e+00
1.251476028370393294e+02 2.580224621245440986e+01
1.256052010663832590e+02 2.580224621245440986e+01
1.362287977652011079e+02 1.720149747496961012e+01
1.411921166686825302e+02 5.733832491656536412e+00
1.413634414253220939e+02 2.866916245828268206e+00
1.419009179970782668e+02 2.866916245828268206e+00
1.420726132266634920e+02 1.146766498331307282e+01
1.434768020576932486e+02 1.146766498331307282e+01
1.474638560881764704e+02 8.600748737484805062e+00
1.501625689906744299e+02 1.433458122914134059e+01
1.525867506827588329e+02 1.146766498331307282e+01
1.535626695440729463e+02 2.580224621245440986e+01
1.540187232081461559e+02 1.720149747496961012e+01
1.633522384313326370e+02 2.006841372079787789e+01
1.678559689389298626e+02 2.006841372079787789e+01
1.756311218029903500e+02 1.720149747496961012e+01
1.864260709287624138e+02 1.146766498331307282e+01
1.947897659655717177e+02 8.600748737484805062e+00
2.033854306793246565e+02 1.146766498331307282e+01
2.071096691321926073e+02 -0.000000000000000000e+00
2.085889715546698255e+02 2.866916245828268206e+00
2.108951547434535030e+02 8.600748737484805062e+00
2.138677523422213653e+02 1.146766498331307282e+01
2.144586302831284286e+02 3.440299494993922025e+01
2.158332941357883783e+02 -0.000000000000000000e+00
2.174762339740127288e+02 2.866916245828268206e+00
2.220812491767896688e+02 3.440299494993922025e+01
2.264621376806081514e+02 1.720149747496961012e+01
2.278899979366788955e+02 2.866916245828268206e+00
2.354057883939201190e+02 -0.000000000000000000e+00
2.403881206032386615e+02 2.293532996662614565e+01
2.438012336935283884e+02 4.300374368742377129e+01
2.498100573934710837e+02 2.866916245828268117e+01
2.569980920943618230e+02 -0.000000000000000000e+00
2.681813570628810339e+02 6.307215740822189787e+01
2.766984598387841743e+02 5.447140867073684234e+01
2.832188967005239988e+02 3.440299494993922025e+01
2.896647306414540708e+02 5.447140867073684234e+01
2.925614804322340774e+02 3.726991119576723577e+01
3.057489570050329348e+02 4.587065993325229130e+01
3.059381390678490789e+02 2.866916245828268117e+01
3.107740558098998349e+02 4.587065993325229130e+01
3.214867242152172366e+02 4.587065993325229130e+01
3.216600007907242684e+02 6.307215740822165628e+01
3.755334918586162871e+02 1.720149747496961012e+01
3.756081229007503453e+02 1.146766498331307282e+01
