# data from file /Users/tpaneque/Documents/MAPS/imlup/IM_Lup_13CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 144.5
# inc: 47.5
# dist: 158.0 
# vsys: 4.5
# r[au] h[au]
3.375109112223767482e+01 1.431077043146199124e+01
3.873931723699992347e+01 7.155385215730995618e+00
3.994818817282547485e+01 5.724308172584796850e+00
4.872385611931994021e+01 5.724308172584796850e+00
5.032349160910836616e+01 -0.000000000000000000e+00
5.191235611796113147e+01 1.431077043146199212e+00
5.367808701959435069e+01 8.586462258877194387e+00
5.403647414950017946e+01 4.293231129438597193e+00
5.495782933432435158e+01 1.431077043146199212e+00
5.628878783318575074e+01 -0.000000000000000000e+00
5.647772966096172809e+01 1.431077043146199212e+00
5.751304068219936738e+01 2.862154086292398425e+00
6.006726110145281439e+01 1.431077043146199212e+00
6.072845929214071248e+01 4.293231129438597193e+00
6.115114143881585562e+01 1.287969338831579158e+01
6.155212805706764811e+01 -0.000000000000000000e+00
6.216797971589278404e+01 1.431077043146199212e+00
6.285473931277654458e+01 1.001753930202339404e+01
6.526114028329197936e+01 1.431077043146199212e+00
6.628094979407549658e+01 8.586462258877194387e+00
6.725117437854241587e+01 8.586462258877194387e+00
6.869512149556203440e+01 1.144861634516959370e+01
6.880839645748636713e+01 4.293231129438597193e+00
6.946133137481960773e+01 7.155385215730995618e+00
6.990932930244449039e+01 1.001753930202339404e+01
7.107858988660387922e+01 2.862154086292398425e+00
7.278747485710324838e+01 -0.000000000000000000e+00
7.278747485710324838e+01 2.862154086292398425e+00
7.363061027433104755e+01 5.724308172584796850e+00
7.363061027433109018e+01 5.724308172584796850e+00
7.401977902846039115e+01 7.155385215730995618e+00
7.405321188865320892e+01 7.155385215730995618e+00
7.508354336116774164e+01 5.724308172584796850e+00
7.511297534287130873e+01 5.724308172584796850e+00
7.699170837218062502e+01 1.431077043146199212e+00
7.699170837218062502e+01 1.001753930202339404e+01
7.745658239283648072e+01 1.431077043146077310e+00
7.747863447399974746e+01 5.724308172584796850e+00
7.747863447399974746e+01 5.724308172584796850e+00
7.868129272131082530e+01 1.001753930202339404e+01
7.907395189679208158e+01 5.724308172584796850e+00
