# data from file /Users/tpaneque/Documents/MAPS/imlup/IM_Lup_C18O_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 144.5
# inc: 47.5
# dist: 158.0 
# vsys: 4.5
# r[au] h[au]
5.453992689337163569e+01 -0.000000000000000000e+00
5.517546741063613780e+01 5.724308172584796850e+00
5.778462208620950236e+01 1.574184747460819267e+01
5.811907906776455235e+01 1.574184747460819267e+01
5.864964833656303966e+01 2.862154086292398425e+00
6.173890406396535724e+01 2.862154086292398425e+00
6.520250640136472953e+01 1.144861634516959370e+01
6.732154398602527579e+01 1.431077043146199212e+00
6.829983048736485785e+01 3.291477199236270224e+01
6.920078247923125048e+01 5.724308172584796850e+00
7.016213385164888905e+01 1.431077043146199124e+01
7.162432875127669263e+01 1.287969338831591593e+01
7.237774415908408798e+01 4.293231129438597193e+00
7.237774415908408798e+01 7.155385215730995618e+00
7.237774415908408798e+01 1.287969338831579158e+01
7.278747485710336207e+01 2.003507860404678809e+01
7.422882061120677122e+01 -0.000000000000000000e+00
7.445082712571625905e+01 1.431077043146077310e+00
7.652558060065591405e+01 1.287969338831579158e+01
7.677844286195508516e+01 1.287969338831579158e+01
7.686482216147824431e+01 1.001753930202351661e+01
7.964907368639696017e+01 1.431077043146199212e+00
8.144913826646306632e+01 2.862154086292398425e+00
8.182924062509586349e+01 -0.000000000000000000e+00
8.215994480564398827e+01 8.586462258877194387e+00
8.579161144422440088e+01 1.431077043146199212e+00
8.613958535677595307e+01 1.001753930202351661e+01
8.866766123333583494e+01 5.724308172584796850e+00
8.931140498261169114e+01 1.431077043146077310e+00
9.055413229207856318e+01 5.724308172584796850e+00
9.110973359712930630e+01 1.717292451775438877e+01
9.269856886376284422e+01 8.586462258877194387e+00
9.506584452305241939e+01 1.717292451775438877e+01
9.546977677259077666e+01 2.146615564719298774e+01
9.615976565188111636e+01 5.724308172584796850e+00
9.762569391107065542e+01 3.148369494921638534e+01
9.995177874371377413e+01 8.586462258877194387e+00
1.010886474632655592e+02 1.431077043146077310e+00
1.010962667114996520e+02 1.001753930202339404e+01
1.032176294751101722e+02 1.001753930202339404e+01
1.033727195499775888e+02 -0.000000000000000000e+00
1.044002405536273415e+02 1.431077043146199124e+01
1.047539731039694146e+02 1.431077043146199124e+01
1.051875932391375699e+02 1.431077043146199212e+00
1.061796396070611195e+02 1.431077043146199212e+00
1.067046903722459774e+02 -0.000000000000000000e+00
1.069962475374397428e+02 7.155385215730995618e+00
1.072294414479525813e+02 1.431077043146077310e+00
1.086322282298561817e+02 1.431077043146199212e+00
1.098232352848185229e+02 4.293231129438597193e+00
1.098575174752700292e+02 4.293231129438597193e+00
1.121231150434541917e+02 8.586462258877194387e+00
1.122850029765166511e+02 1.431077043146199124e+01
1.124672494774091405e+02 1.431077043146199124e+01
1.129554593219233993e+02 1.717292451775438877e+01
1.131534404561253950e+02 2.862154086292398425e+00
1.136682723779983064e+02 1.144861634516959370e+01
1.173296830375425941e+02 1.574184747460819267e+01
1.174184964572429379e+02 8.586462258877194387e+00
1.177575402168960608e+02 -0.000000000000000000e+00
1.180228140814393925e+02 4.293231129438597193e+00
1.180228140814393925e+02 7.155385215730995618e+00
1.186768870747212645e+02 7.155385215730995618e+00
1.214589510693400456e+02 1.431077043146199212e+00
1.223022828776316402e+02 5.724308172584796850e+00
1.226441701678585048e+02 1.001753930202339404e+01
1.234778081279307855e+02 5.724308172584796850e+00
1.237540007815380534e+02 5.724308172584796850e+00
1.237629903528876270e+02 2.575938677663158316e+01
1.257022121506644368e+02 1.001753930202339404e+01
1.262020936754047256e+02 5.724308172584796850e+00
1.270515982749365520e+02 1.431077043146077310e+00
1.285730808041427338e+02 2.146615564719310854e+01
1.288056452210957161e+02 1.431077043146077310e+00
1.290357371109403175e+02 2.719046381977790361e+01
1.298472531982532985e+02 1.431077043146199124e+01
1.301617770497520894e+02 1.001753930202339404e+01
1.305222805665839587e+02 2.289723269033918740e+01
1.306506926774130193e+02 7.155385215730995618e+00
1.314477068500248436e+02 2.719046381977790361e+01
1.314602641259724578e+02 5.724308172584796850e+00
1.315367721251223827e+02 4.293231129438597193e+00
1.316608825132508969e+02 5.724308172584796850e+00
1.322881595549806377e+02 2.146615564719310854e+01
1.326207347049450220e+02 2.862154086292398425e+00
1.336033309520081218e+02 3.005261790607030647e+01
1.337780892327049571e+02 1.144861634516959370e+01
1.340315115252239195e+02 1.144861634516959370e+01
1.343663856748539729e+02 1.860400156090058843e+01
1.345144616468845697e+02 1.001753930202339404e+01
1.345280541829121717e+02 3.148369494921638534e+01
1.348309025308526827e+02 5.724308172584796850e+00
1.355067309982536017e+02 7.155385215730995618e+00
1.363078904882977440e+02 7.155385215730995618e+00
1.367934155316361284e+02 8.586462258877194387e+00
1.368052417822503628e+02 5.724308172584796850e+00
1.370346924123797692e+02 2.862154086292398425e+00
1.372826063573414785e+02 1.001753930202339404e+01
1.379416988624722364e+02 1.431077043146199124e+01
1.381977039772165199e+02 4.293231129438597193e+00
1.383022364083731475e+02 1.431077043146199212e+00
1.384015649584625010e+02 1.144861634516959370e+01
1.386009705209568494e+02 1.001753930202339404e+01
1.386207751724319053e+02 1.001753930202339404e+01
1.397198193118138363e+02 2.146615564719298774e+01
1.400488127501546956e+02 5.724308172584796850e+00
1.402532925553938981e+02 1.287969338831579158e+01
1.408909437201419053e+02 4.293231129438597193e+00
1.411174950033494895e+02 2.003507860404678809e+01
1.411198856171030513e+02 3.434584903550877755e+01
1.429487329389527304e+02 7.155385215730995618e+00
1.433467857494685234e+02 5.724308172584796850e+00
1.441786947979108788e+02 -0.000000000000000000e+00
1.461577411630113090e+02 1.287969338831579158e+01
1.469814664371887716e+02 5.724308172584796850e+00
1.472612205486622372e+02 8.586462258877194387e+00
