# data from file /Users/tpaneque/Documents/MAPS/imlup/IM_Lup_H2CO_220GHz.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: 144.5
# inc: 47.5
# dist: 158.0 
# vsys: 4.5
# r[au] h[au]
9.233907846549891474e+01 8.601039303320577645e+00
9.776547146741195604e+01 8.601039303320577645e+00
1.000480694613386419e+02 8.601039303320577645e+00
1.125659360917781413e+02 -0.000000000000000000e+00
1.485559773932437793e+02 -0.000000000000000000e+00
1.729348840979804436e+02 2.867013101106899775e+00
1.752539314107470148e+02 5.734026202213799550e+00
1.757284228145591669e+02 2.867013101106899775e+00
1.812101082967126615e+02 2.867013101106899775e+00
1.816311801275206790e+02 -0.000000000000000000e+00
1.826897997003479759e+02 1.433506550553425640e+01
1.838912183225421018e+02 2.867013101106899775e+00
1.840506506828796773e+02 -0.000000000000000000e+00
1.843994751423879279e+02 1.146805240442735752e+01
1.867439178303605445e+02 2.867013101106899775e+00
1.871661520791177509e+02 1.433506550553425640e+01
1.929351854622348412e+02 2.867013101106899775e+00
1.972966125133103503e+02 5.734026202213799550e+00
1.979409269286188078e+02 2.867013101106899775e+00
2.020306527499507467e+02 5.734026202213799550e+00
2.037077367585834793e+02 2.867013101106899775e+00
2.037679984531994251e+02 -0.000000000000000000e+00
2.080197999979236556e+02 8.601039303320577645e+00
2.148264741049281952e+02 2.293610480885471503e+01
2.175796028220544258e+02 1.146805240442735752e+01
2.220885883411385180e+02 2.006909170774793338e+01
2.234044076484903769e+02 4.587220961770943006e+01
2.263127731708010799e+02 1.146805240442735752e+01
2.287087673720739929e+02 1.146805240442735752e+01
2.424652906793618001e+02 2.867013101106851281e+01
2.455730043074265723e+02 2.293610480885471503e+01
2.489309901643397893e+02 2.867013101106851281e+01
2.498989401930403744e+02 4.587220961770943006e+01
2.498999813322126897e+02 2.580311790996161392e+01
2.524708743889194693e+02 3.153714411217529090e+01
2.635894564418114214e+02 5.160623581992322784e+01
2.759463245233339421e+02 4.873922271881632895e+01
2.764251530294345685e+02 4.013818341549574598e+01
2.804062902571954510e+02 -0.000000000000000000e+00
2.843652304203342851e+02 4.587220961770943006e+01
2.892112872244641721e+02 1.146805240442735752e+01
2.957990172576122063e+02 4.013818341549586677e+01
2.982053894189680250e+02 2.867013101106851281e+01
2.982277799302496533e+02 8.601039303320577645e+00
2.995543714584361510e+02 2.006909170774793338e+01
3.039761988354641176e+02 8.601039303320577645e+00
3.104044225696319472e+02 2.580311790996161392e+01
3.200929053321316360e+02 2.580311790996161392e+01
3.214218026187980399e+02 1.720207860664115529e+01
3.241630916995126199e+02 2.006909170774793338e+01
3.263004184853151060e+02 -0.000000000000000000e+00
3.305032525095594451e+02 2.580311790996161392e+01
3.348964930991108417e+02 2.006909170774793338e+01
3.484822794412547751e+02 2.006909170774793338e+01
3.488710805792062501e+02 2.867013101107021900e+00
3.508890626504536385e+02 4.300519651660264486e+01
3.525190690125062929e+02 2.867013101107021900e+00
3.597082228334334673e+02 2.293610480885471503e+01
3.607530892994695364e+02 1.720207860664103450e+01
3.615059316783982126e+02 4.587220961770943006e+01
3.639098560309607819e+02 5.734026202213799550e+00
3.728054165823418771e+02 1.146805240442747831e+01
3.733816258625781757e+02 1.146805240442735752e+01
3.734204333822320336e+02 2.867013101107021900e+00
3.751199691170731967e+02 1.433506550553425640e+01
3.752769321476783944e+02 2.293610480885471503e+01
3.762689167325744961e+02 2.867013101107021900e+00
3.764884372418563885e+02 2.580311790996161392e+01
3.774558671611168279e+02 2.867013101106851281e+01
3.782340638671182091e+02 2.867013101106838846e+01
3.790554190848878875e+02 2.867013101106851281e+01
3.805477051639282990e+02 1.146805240442735752e+01
3.824290944920714423e+02 1.146805240442735752e+01
3.839797483363676633e+02 3.153714411217529090e+01
3.847697870900770454e+02 2.867013101106851281e+01
3.855586491036435746e+02 4.013818341549574598e+01
3.880874370340731048e+02 5.734026202213799550e+00
3.923162028198452731e+02 2.580311790996161392e+01
3.930386756141516003e+02 2.006909170774793338e+01
3.936845320234641576e+02 2.867013101106851281e+01
3.958793013998762831e+02 1.146805240442735752e+01
3.979661078089051784e+02 3.153714411217529090e+01
3.991809818386752795e+02 -0.000000000000000000e+00
3.993027818914874842e+02 2.867013101106899775e+00
3.997319361483196190e+02 2.867013101106899775e+00
4.004894185138414855e+02 2.867013101106851281e+01
4.041386494816292156e+02 2.867013101106851281e+01
4.071277662446436807e+02 1.146805240442735752e+01
4.071940213822547321e+02 -0.000000000000000000e+00
4.073909704227131101e+02 3.440415721328206899e+01
4.097209404842075173e+02 2.867013101106899775e+00
4.098716654849977772e+02 8.601039303320577645e+00
4.133016245357508183e+02 1.146805240442735752e+01
4.142536371024230561e+02 2.867013101106851281e+01
4.145414160786583579e+02 2.867013101106851281e+01
4.158865216331209922e+02 8.601039303320577645e+00
4.168518744889662457e+02 2.867013101106899775e+00
4.177875654255096265e+02 1.720207860664115529e+01
4.185963947791821056e+02 1.146805240442747831e+01
4.201324319037616419e+02 8.601039303320577645e+00
4.234788546817216570e+02 2.867013101106899775e+00
4.235600168574101190e+02 2.580311790996161392e+01
4.248420619774400961e+02 1.146805240442747831e+01
4.373178249730819402e+02 2.006909170774793338e+01
4.572569323823714171e+02 8.601039303320577645e+00
4.769675106064789247e+02 4.873922271881632895e+01
4.777018911602810931e+02 5.447324892103000593e+01
