# data from file /Users/tpaneque/Documents/MAPS/imlup/IM_Lup_HCN_260GHz_hf1.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: 144.5
# inc: 47.5
# dist: 158.0 
# vsys: 4.5
# r[au] h[au]
7.531065956944402728e+01 2.867013101106899775e+00
8.200769857402124785e+01 2.867013101106899775e+00
8.447748578770136874e+01 2.867013101106899775e+00
8.846112233961410709e+01 -0.000000000000000000e+00
9.219973757119386448e+01 5.734026202213799550e+00
9.233907846549891474e+01 8.601039303320577645e+00
9.502340208305977853e+01 -0.000000000000000000e+00
1.043991644401770600e+02 2.867013101106899775e+00
1.069467180382277434e+02 -0.000000000000000000e+00
1.095078519470203133e+02 2.867013101106899775e+00
1.125659360917781413e+02 -0.000000000000000000e+00
1.144255481468117353e+02 5.734026202213799550e+00
1.144255481468117353e+02 1.720207860664115529e+01
1.144255481468118489e+02 -0.000000000000000000e+00
1.171522818763728395e+02 -0.000000000000000000e+00
1.220230350266797785e+02 2.867013101106899775e+00
1.220230350266797785e+02 2.867013101106899775e+00
1.226382104988251882e+02 2.867013101106899775e+00
1.249312791977770303e+02 2.867013101106899775e+00
1.249312791977770303e+02 2.006909170774793338e+01
1.251518307965947088e+02 -0.000000000000000000e+00
1.251518307965947088e+02 -0.000000000000000000e+00
1.257517011772456073e+02 5.734026202213799550e+00
1.275343841505763152e+02 5.734026202213799550e+00
1.275343841505763152e+02 5.734026202213799550e+00
1.295474742261437484e+02 1.433506550553425640e+01
1.334560059622000381e+02 2.867013101106899775e+00
1.336617689560871440e+02 2.867013101106899775e+00
1.365736468280691724e+02 2.867013101106899775e+00
1.379862023423026187e+02 1.433506550553425640e+01
1.402031451285977255e+02 1.146805240442735752e+01
1.406734210879388911e+02 -0.000000000000000000e+00
1.455267892486010908e+02 2.867013101106899775e+00
1.491026947094840125e+02 2.867013101106899775e+00
1.511684280857984106e+02 2.867013101106899775e+00
1.520606642096658732e+02 5.734026202213799550e+00
1.520606642096659584e+02 -0.000000000000000000e+00
1.564513725570066356e+02 -0.000000000000000000e+00
1.564513725570066356e+02 -0.000000000000000000e+00
1.565327694116060400e+02 2.867013101106899775e+00
1.616559233202466714e+02 -0.000000000000000000e+00
1.622264843152950959e+02 1.146805240442735752e+01
1.662489957876235849e+02 2.867013101106899775e+00
1.668083446519574409e+02 -0.000000000000000000e+00
1.669439625750383414e+02 2.867013101106899775e+00
1.671592021171979923e+02 -0.000000000000000000e+00
1.675985152336837416e+02 -0.000000000000000000e+00
1.700664752116802276e+02 8.601039303320577645e+00
1.702929037415539710e+02 2.867013101106899775e+00
1.838939643575547507e+02 2.867013101106899775e+00
1.873359210279326987e+02 2.867013101106899775e+00
1.915571897928346630e+02 2.293610480885471503e+01
2.004008416439214955e+02 2.867013101106899775e+00
2.124210309887201049e+02 -0.000000000000000000e+00
2.149542217768747037e+02 -0.000000000000000000e+00
2.206260333937132145e+02 2.867013101106899775e+00
2.348365185562850854e+02 -0.000000000000000000e+00
2.521441126725797801e+02 2.867013101106899775e+00
2.559948293552683651e+02 2.293610480885471503e+01
2.572538431535163568e+02 5.734026202213799550e+00
2.616040770904891701e+02 3.727117031438896788e+01
2.645693583021878794e+02 5.734026202213799550e+00
2.651242708390288954e+02 8.601039303320577645e+00
2.664987068117465014e+02 2.867013101106899775e+00
2.698823540840838859e+02 2.867013101106838846e+01
2.721205485581548373e+02 3.440415721328206899e+01
2.781805861641556135e+02 2.867013101106899775e+00
2.827074339503015494e+02 8.601039303320577645e+00
2.878226572059908790e+02 2.867013101106899775e+00
2.908007011043362127e+02 2.867013101106899775e+00
3.006792641519234053e+02 -0.000000000000000000e+00
3.015744969181520787e+02 4.873922271881632895e+01
3.053800781468889909e+02 8.601039303320577645e+00
3.066276049273299691e+02 5.734026202213799550e+00
3.129027451140132143e+02 1.146805240442747831e+01
3.130201511494391298e+02 2.867013101107021900e+00
3.150831255689097929e+02 8.601039303320577645e+00
3.162920076666173372e+02 -0.000000000000000000e+00
3.244682375143289050e+02 2.006909170774793338e+01
3.245126654183064261e+02 -0.000000000000000000e+00
3.271718587249208099e+02 2.867013101106899775e+00
3.277313229609152927e+02 1.720207860664115529e+01
3.311698751631579398e+02 1.218165774478521979e-13
3.316283190355624129e+02 2.867013101106899775e+00
3.329824696804196265e+02 -0.000000000000000000e+00
3.335121017464917372e+02 1.433506550553438075e+01
3.337756783548537101e+02 2.867013101106899775e+00
3.361855216684694483e+02 1.146805240442735752e+01
3.368797500145115009e+02 1.433506550553438075e+01
3.381409228853681270e+02 1.218165774478521979e-13
3.405858074831078852e+02 -0.000000000000000000e+00
3.406934119929964027e+02 2.867013101106899775e+00
3.442996480473092333e+02 8.601039303320577645e+00
3.451507992110411465e+02 8.601039303320577645e+00
3.454071516897398624e+02 1.218165774478521979e-13
3.457846319600621996e+02 5.734026202213799550e+00
3.465818865985831962e+02 2.867013101106899775e+00
3.469612552665781209e+02 2.006909170774793338e+01
3.479063346420701919e+02 2.867013101106899775e+00
3.495637621252477061e+02 2.867013101106899775e+00
3.511833589886507525e+02 1.218165774478521979e-13
3.535947795044924646e+02 1.720207860664115529e+01
3.541827600615442293e+02 2.867013101107021900e+00
3.545058318252466734e+02 1.720207860664115529e+01
3.553964737967926339e+02 2.867013101106899775e+00
3.553964737967926339e+02 2.867013101106899775e+00
3.554636996610227015e+02 1.146805240442747831e+01
3.561038484804836344e+02 1.146805240442735752e+01
3.602918342740182425e+02 2.867013101107021900e+00
3.603204466254110230e+02 1.433506550553438075e+01
3.614387615864343957e+02 1.433506550553425640e+01
3.623763553950141727e+02 -0.000000000000000000e+00
3.631466765437515392e+02 2.867013101106899775e+00
3.679669541601712126e+02 8.601039303320577645e+00
3.679669541601712695e+02 2.580311790996161392e+01
3.697444568435163319e+02 1.146805240442735752e+01
3.711406512049221078e+02 2.867013101106899775e+00
3.744284834064467304e+02 -0.000000000000000000e+00
3.758584223427154143e+02 8.601039303320577645e+00
3.766187972647844049e+02 -0.000000000000000000e+00
3.800920437212511729e+02 -0.000000000000000000e+00
3.816655242944007114e+02 1.146805240442735752e+01
3.854548975033143847e+02 2.867013101106899775e+00
3.878614413602242053e+02 3.727117031438896788e+01
3.884862139775850665e+02 2.867013101106899775e+00
3.899239725337732807e+02 2.867013101106899775e+00
3.902750100994742866e+02 -0.000000000000000000e+00
3.976138264122749888e+02 5.734026202213799550e+00
4.022395904603999384e+02 -0.000000000000000000e+00
4.076249253689719012e+02 1.146805240442735752e+01
4.213120735204498715e+02 2.006909170774793338e+01
4.213919078130530806e+02 1.720207860664115529e+01
4.266916856561015265e+02 5.447324892103000593e+01
4.296360758873815939e+02 2.293610480885483582e+01
4.403746018166864928e+02 2.006909170774793338e+01
4.661605663712115302e+02 2.293610480885471503e+01
