# data from file /Users/tpaneque/Documents/MAPS/imlup/IM_Lup_HCO+_90GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 144.5
# inc: 47.5
# dist: 158.0 
# vsys: 4.5
# r[au] h[au]
8.864673034099011772e+01 1.433506550553425640e+01
9.565636136555782798e+01 2.867013101106899775e+00
1.081555151316897678e+02 5.734026202213799550e+00
1.248642920940499579e+02 8.601039303320577645e+00
1.291884936582905539e+02 2.867013101106899775e+00
1.291884936582905539e+02 2.867013101106899775e+00
1.348918459221915498e+02 2.867013101106899775e+00
1.396746341645872462e+02 2.867013101106899775e+00
1.418628210651289976e+02 2.867013101106899775e+00
1.426939933381667061e+02 1.146805240442735752e+01
1.514383126267223929e+02 1.433506550553425640e+01
1.583243389691348284e+02 8.601039303320577645e+00
1.717971363512930907e+02 2.867013101106851281e+01
1.907178820671398114e+02 -0.000000000000000000e+00
1.977006893456808427e+02 1.433506550553425640e+01
1.996191030144566980e+02 2.006909170774793338e+01
2.085694988624642008e+02 -0.000000000000000000e+00
2.085694988624642008e+02 1.720207860664115529e+01
2.290628484683908823e+02 4.013818341549586677e+01
2.297402433469642347e+02 2.867013101106899775e+00
2.361276121516774253e+02 4.013818341549586677e+01
2.396895452199728993e+02 2.580311790996161392e+01
2.437813617249132392e+02 5.160623581992322784e+01
2.544639968316971590e+02 5.447324892103000593e+01
2.552512723724201464e+02 5.734026202213799550e+00
2.569714619030888798e+02 6.307428822435058180e+01
2.594224357148049194e+02 6.880831442656413799e+01
2.599299281598507037e+02 -0.000000000000000000e+00
2.701749281235751710e+02 1.433506550553425640e+01
2.719422320588175239e+02 6.880831442656413799e+01
2.783784011455814493e+02 2.006909170774793338e+01
2.803558197163979457e+02 6.307428822435058180e+01
2.839750996802695795e+02 3.440415721328206899e+01
2.897345263644115221e+02 6.307428822435058180e+01
2.930518523267930391e+02 7.167532752767091608e+01
3.022796852455491035e+02 6.020727512324367581e+01
3.057096252614254581e+02 1.720207860664115529e+01
3.139465564476445252e+02 2.867013101106899775e+00
3.162920076666171667e+02 5.160623581992310704e+01
3.222385916928668621e+02 2.293610480885471503e+01
3.325442009579383580e+02 4.873922271881632895e+01
3.325717254010060060e+02 2.293610480885471503e+01
3.372491664292463156e+02 4.300519651660264486e+01
3.423226524664719932e+02 4.587220961770943006e+01
3.431571615575028318e+02 1.720207860664115529e+01
3.467252208205707120e+02 3.153714411217529090e+01
3.495633823679038414e+02 1.146805240442735752e+01
3.617794539090821786e+02 1.433506550553425640e+01
3.628755410087857740e+02 4.013818341549574598e+01
3.762399458392232532e+02 2.006909170774793338e+01
