# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
1.625490577757327060e+01 7.190329512685431190e+00
2.167320770343102865e+01 -0.000000000000000000e+00
2.271102346301854880e+01 -0.000000000000000000e+00
2.271102346301854880e+01 -0.000000000000000000e+00
2.271102346301868380e+01 1.078549426902814723e+01
2.400711255008141620e+01 1.797582378171204809e+00
2.443557721230283164e+01 1.797582378171204809e+00
2.530932770179286706e+01 7.190329512685431190e+00
2.573693414782446354e+01 8.987911890856789654e+00
2.573693414782446354e+01 8.987911890856789654e+00
2.661676978731960475e+01 5.392747134514073615e+00
2.661676978731962606e+01 8.987911890856789654e+00
2.673068305781633924e+01 1.797582378171204809e+00
2.673068305781633924e+01 1.797582378171204809e+00
2.844608511075334079e+01 1.797582378171357798e+00
2.909708572445568464e+01 5.392747134514073615e+00
2.909708572445572372e+01 8.987911890856789654e+00
2.980066059221778119e+01 1.078549426902814723e+01
3.030182358078018012e+01 7.190329512685431190e+00
3.056373711302789076e+01 3.595164756342715595e+00
3.056373711302791563e+01 1.078549426902814723e+01
3.056373711302791563e+01 1.078549426902814723e+01
3.073829353828899258e+01 1.797582378171204809e+00
3.115523607368222159e+01 1.797582378171357798e+00
3.115523607368222159e+01 1.258307664719950658e+01
3.274645003751447803e+01 3.595164756342715595e+00
3.274645003751451355e+01 1.078549426902814723e+01
3.281697229430088214e+01 5.392747134514073615e+00
3.386438703661109884e+01 8.987911890856789654e+00
3.388972978985392359e+01 7.190329512685431190e+00
3.388972978985392359e+01 7.190329512685431190e+00
3.453779616517403639e+01 5.392747134514073615e+00
3.453779616517405060e+01 8.987911890856789654e+00
3.522979514101688636e+01 7.190329512685431190e+00
3.522979514101692189e+01 7.190329512685431190e+00
3.586694823136375732e+01 7.190329512685431190e+00
3.609214960303723529e+01 3.595164756342715595e+00
3.609214960303723529e+01 1.078549426902814723e+01
3.648352131705851775e+01 5.392747134514073615e+00
3.719793457149887672e+01 1.797582378171357798e+00
3.740845162041502903e+01 5.392747134514073615e+00
3.774421729452713947e+01 7.190329512685431190e+00
3.792811348100441649e+01 3.595164756342715595e+00
3.835299684902513917e+01 7.190329512685431190e+00
3.835299684902513917e+01 7.190329512685431190e+00
3.853056509849896827e+01 1.078549426902814723e+01
3.951405573464779764e+01 5.392747134514073615e+00
3.951405573464779764e+01 8.987911890856789654e+00
4.028389765842946701e+01 3.595164756342715595e+00
4.028389765842949544e+01 1.078549426902814723e+01
4.068094409038546644e+01 7.190329512685431190e+00
4.235434240616451973e+01 7.190329512685431190e+00
4.235434240616451973e+01 7.190329512685431190e+00
4.253677555835589885e+01 5.392747134514073615e+00
4.304771403295891474e+01 3.595164756342715595e+00
4.340275547327465233e+01 5.392747134514073615e+00
4.342253169193139684e+01 7.190329512685431190e+00
4.413122747723087258e+01 5.392747134514073615e+00
4.413122747723090100e+01 8.987911890856789654e+00
4.470099088832660783e+01 1.258307664719950658e+01
4.516243722692006202e+01 1.078549426902814723e+01
4.516243722692013307e+01 1.078549426902814723e+01
4.521328611127458430e+01 1.797582378171357798e+00
4.655295745947775998e+01 1.078549426902814723e+01
4.664273003947590723e+01 3.595164756342715595e+00
4.664273003947590723e+01 1.078549426902814723e+01
4.666774594466382098e+01 5.392747134514073615e+00
4.666774594466382098e+01 8.987911890856789654e+00
4.789024556065376714e+01 7.190329512685431190e+00
