# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_13CO_110GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
2.713658550117845536e+01 1.080343957973920688e+01
5.353263793530609149e+01 7.202293053159674052e+00
6.144116771881094508e+01 3.601146526579837026e+00
7.467043757546591110e+01 1.440458610631934810e+01
7.552269488986304680e+01 3.601146526579837026e+00
8.635385604571973772e+01 3.601146526579837026e+00
8.694475838449099570e+01 3.601146526579837026e+00
8.700527250360951825e+01 3.601146526579837026e+00
8.899564148958235421e+01 -0.000000000000000000e+00
8.955073215388868846e+01 1.440458610631934810e+01
9.216175157821642472e+01 3.601146526579837026e+00
9.874730261485343874e+01 3.601146526579837026e+00
1.008068712102517708e+02 3.601146526579837026e+00
1.044541889669977195e+02 -0.000000000000000000e+00
1.087679998528131620e+02 1.080343957973951063e+01
1.205890084555353639e+02 -0.000000000000000000e+00
1.230392834959642983e+02 3.601146526579837026e+00
1.235525701584279545e+02 -0.000000000000000000e+00
1.348109601248029037e+02 3.601146526579837026e+00
1.350891012746782280e+02 3.601146526579837026e+00
1.372325181658856366e+02 3.601146526579837026e+00
1.426456762761814900e+02 -0.000000000000000000e+00
1.449088902953611466e+02 7.202293053159674052e+00
1.451925965796278319e+02 7.202293053159674052e+00
1.475607850453510252e+02 3.601146526579837026e+00
1.580431302225361776e+02 3.601146526579837026e+00
1.599802698711584696e+02 2.880917221263869621e+01
1.604454511961748437e+02 1.080343957973951063e+01
1.657103700679251403e+02 7.202293053159674052e+00
1.667715472144130047e+02 -0.000000000000000000e+00
1.718661964527070438e+02 1.440458610631934810e+01
1.759314255232220319e+02 7.202293053159674052e+00
1.780957844924042774e+02 3.601146526579837026e+00
1.840819896128666073e+02 4.321375831895804254e+01
1.866490430813945238e+02 3.601146526579837026e+00
1.868769084178982212e+02 4.321375831895804254e+01
1.896042590026884227e+02 1.440458610631934810e+01
1.964118581450771046e+02 1.440458610631934810e+01
1.991137971215010225e+02 2.160687915947902127e+01
1.997238469285993006e+02 1.440458610631934810e+01
2.073931694826247565e+02 -0.000000000000000000e+00
2.103429937791097473e+02 1.440458610631934810e+01
2.213898259450025989e+02 1.440458610631934810e+01
2.360702334456784115e+02 1.440458610631934810e+01
2.374237431594818020e+02 3.601146526579837026e+00
2.498901176232896830e+02 7.202293053159674052e+00
2.508355771178576390e+02 7.202293053159674052e+00
2.656716957427216244e+02 1.440458610631934810e+01
2.745179169891259789e+02 7.202293053159674052e+00
2.764852547346495726e+02 2.520802568605886052e+01
2.772968879056347191e+02 3.601146526579837026e+00
2.900882004531555367e+02 3.601146526579837026e+00
3.030239001170537563e+02 3.601146526579837026e+00
3.075481602705201567e+02 2.160687915947902127e+01
3.129701014325560209e+02 3.601146526579837026e+00
3.243762117481008431e+02 -0.000000000000000000e+00
3.253650867491055578e+02 3.601146526579837026e+00
3.337152467996211840e+02 2.520802568605886052e+01
3.372264621112180976e+02 -0.000000000000000000e+00
3.426066344169827289e+02 2.520802568605886052e+01
3.477790335379643238e+02 3.601146526579837026e+00
