# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_13CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
2.033007882280829648e+01 1.798595054996238618e+00
2.278615028334603210e+01 3.597190109992477236e+00
2.278615028334611381e+01 -0.000000000000000000e+00
2.278615028334611381e+01 -0.000000000000000000e+00
2.407961281790052510e+01 1.798595054996238618e+00
2.580818850817720644e+01 -0.000000000000000000e+00
2.668497005884232820e+01 8.992975274980889111e+00
2.695703438433788079e+01 1.798595054996238618e+00
2.710677176374443320e+01 7.194380219984649827e+00
2.930770506845743739e+01 5.395785164988563309e+00
2.981744894011875147e+01 1.079157032997712662e+01
3.050544773046664560e+01 7.194380219984649827e+00
3.062730118281260516e+01 1.079157032997712662e+01
3.062730118281269753e+01 -0.000000000000000000e+00
3.116790472632060016e+01 1.798595054996238618e+00
3.171587916911703431e+01 1.798595054996238618e+00
3.293760050582154264e+01 -0.000000000000000000e+00
3.322195296201457637e+01 5.395785164988563309e+00
3.327206493586803049e+01 7.194380219984649827e+00
3.459827303261609899e+01 5.395785164988563309e+00
3.459827303261612030e+01 5.395785164988563309e+00
3.536458077937097499e+01 1.798595054996238618e+00
3.541022810481447891e+01 7.194380219984649827e+00
3.592665547973469842e+01 7.194380219984649827e+00
3.646425797012345527e+01 3.597190109992477236e+00
3.659414188105488819e+01 1.798595054996238618e+00
3.725697970121705538e+01 1.798595054996238618e+00
3.791541274070382173e+01 7.194380219984649827e+00
3.803100542627266378e+01 5.395785164988563309e+00
3.858904487456911880e+01 1.079157032997712662e+01
3.917826547711467100e+01 1.798595054996238618e+00
3.992267673369841674e+01 1.259016538497321136e+01
4.044710538060645177e+01 3.597190109992477236e+00
4.044710538060645177e+01 3.597190109992477236e+00
4.044710538060645177e+01 3.597190109992477236e+00
4.089378099949409062e+01 3.597190109992477236e+00
4.101627854314124733e+01 7.194380219984649827e+00
4.172138620565907274e+01 1.798595054996238618e+00
4.189228742170701025e+01 1.798595054996238618e+00
4.259405169996043838e+01 1.618735549496553716e+01
4.336732544094120811e+01 3.597190109992477236e+00
4.336732544094130759e+01 -0.000000000000000000e+00
4.336732544094130759e+01 -0.000000000000000000e+00
4.394667499972354108e+01 5.395785164988563309e+00
4.425562096056108885e+01 7.194380219984649827e+00
4.455817151940126308e+01 1.798595054996238618e+00
4.596589140275331431e+01 3.597190109992477236e+00
4.608151199836534317e+01 3.597190109992477236e+00
4.685643598736499627e+01 1.798595054996238618e+00
4.715277437249463333e+01 -0.000000000000000000e+00
4.815922563580107152e+01 -0.000000000000000000e+00
4.936060658971274506e+01 7.194380219984649827e+00
4.940640075873218962e+01 1.798595054996238618e+00
5.048289796466499979e+01 5.395785164988563309e+00
5.062523215911109986e+01 1.798595054996238618e+00
5.063662307135638940e+01 -0.000000000000000000e+00
5.149104439955632984e+01 3.597190109992477236e+00
5.161342828216805145e+01 3.597190109992477236e+00
5.228757093560002289e+01 1.798595054996238618e+00
5.261797898333212231e+01 1.798595054996238618e+00
5.285820493930147990e+01 1.798595054996238618e+00
5.394753536959606777e+01 5.395785164988563309e+00
5.507699934372707418e+01 1.798595054996238618e+00
5.507699934372711681e+01 1.798595054996238618e+00
5.533308970638904611e+01 5.395785164988563309e+00
5.572084192032234284e+01 7.194380219984649827e+00
5.599029887035268871e+01 -0.000000000000000000e+00
5.658984414138172525e+01 3.597190109992477236e+00
5.658984414138172525e+01 3.597190109992477236e+00
5.678215828119297726e+01 1.798595054996238618e+00
5.730362925129949048e+01 1.798595054996238618e+00
5.785575735576028933e+01 3.597190109992477236e+00
5.894096796561827034e+01 1.798595054996238618e+00
5.939317566718646901e+01 5.395785164988563309e+00
5.955420796428609265e+01 5.395785164988563309e+00
5.955420796428617791e+01 5.395785164988563309e+00
5.980978927017880409e+01 1.798595054996238618e+00
6.035956183751603987e+01 7.194380219984649827e+00
6.161185407977238526e+01 5.395785164988563309e+00
6.257486883932614319e+01 1.798595054996238618e+00
6.279716002334317437e+01 1.798595054996238618e+00
6.334431454859551991e+01 1.798595054996238618e+00
6.338590332683061490e+01 1.798595054996238618e+00
6.389660393889604961e+01 -0.000000000000000000e+00
6.450093636909075201e+01 1.798595054996238618e+00
6.452047127044284025e+01 -0.000000000000000000e+00
6.452841567583151061e+01 5.395785164988563309e+00
6.473764933330899396e+01 7.194380219984649827e+00
6.505625223298648052e+01 1.798595054996177822e+01
6.539894443180288874e+01 5.395785164988410543e+00
6.542914819058326259e+01 5.395785164988563309e+00
6.566341120242692853e+01 1.798595054996238618e+00
6.576547269736192902e+01 7.194380219984649827e+00
6.706987585494178461e+01 1.798595054996238618e+00
6.724671184463669249e+01 3.597190109992477236e+00
6.724671184463676354e+01 3.597190109992477236e+00
6.749990534412390275e+01 1.798595054996238618e+00
6.833880151332506614e+01 -0.000000000000000000e+00
6.833880151332506614e+01 3.597190109992477236e+00
6.964300432668294150e+01 1.798595054996238618e+00
6.964956025284102736e+01 8.992975274980889111e+00
6.967163621900017745e+01 3.597190109992477236e+00
6.967163621900017745e+01 3.597190109992477236e+00
6.998704291741977102e+01 5.395785164988563309e+00
6.998704291741984207e+01 5.395785164988563309e+00
7.009557080581954835e+01 5.395785164988410543e+00
7.148953518028193344e+01 -0.000000000000000000e+00
