# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_C18O_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
2.168541741099545206e+01 3.597190109992477236e+00
2.575143317555716038e+01 8.992975274980889111e+00
2.668497005884232820e+01 5.395785164988563309e+00
2.710677176374443320e+01 7.194380219984649827e+00
2.930770506845743739e+01 5.395785164988563309e+00
2.930943605959789267e+01 1.798595054996238618e+00
3.062730118281260516e+01 3.597190109992477236e+00
3.062730118281260516e+01 3.597190109992477236e+00
3.194830196944801060e+01 1.798595054996238618e+00
3.194830196944803546e+01 1.798595054996238618e+00
3.252812611649329710e+01 7.194380219984649827e+00
3.293760050582144316e+01 3.597190109992477236e+00
3.293760050582154264e+01 -0.000000000000000000e+00
3.388346470468045624e+01 5.395785164988563309e+00
3.416940075666255439e+01 1.798595054996238618e+00
3.536458077937097499e+01 1.798595054996238618e+00
3.536458077937097499e+01 1.798595054996238618e+00
3.659414188105488819e+01 1.798595054996238618e+00
3.665916592310612998e+01 5.395785164988563309e+00
3.665916592310612998e+01 5.395785164988563309e+00
3.758064036575261468e+01 1.798595054996238618e+00
3.758064036575261468e+01 1.798595054996238618e+00
3.758064036575261468e+01 1.798595054996238618e+00
3.794948046924204021e+01 3.597190109992477236e+00
3.917826547711467100e+01 1.798595054996238618e+00
3.991632233590071621e+01 1.798595054996238618e+00
3.991632233590071621e+01 1.798595054996238618e+00
3.991632233590078016e+01 1.798595054996238618e+00
3.992267673369839542e+01 1.798595054996238618e+00
4.125772335227087950e+01 7.194380219984649827e+00
4.125772335227088661e+01 7.194380219984649827e+00
4.125772335227088661e+01 7.194380219984649827e+00
4.172138620565907274e+01 1.259016538497321136e+01
4.189228742170701025e+01 1.798595054996238618e+00
4.218640856989249244e+01 1.798595054996238618e+00
4.218640856989249244e+01 1.798595054996238618e+00
4.259405169996042417e+01 8.992975274980889111e+00
4.259405169996043838e+01 8.992975274980889111e+00
4.336732544094120811e+01 3.597190109992477236e+00
4.394667499972348423e+01 5.395785164988563309e+00
4.428438990837829436e+01 8.992975274980889111e+00
4.455817151940126308e+01 1.798595054996238618e+00
4.509849927479464782e+01 1.798595054996238618e+00
4.596589140275331431e+01 3.597190109992477236e+00
4.596589140275331431e+01 3.597190109992477236e+00
4.606899481374399130e+01 1.798595054996238618e+00
4.660962416177172685e+01 3.597190109992477236e+00
4.715277437249459780e+01 3.597190109992477236e+00
4.815922563580107152e+01 -0.000000000000000000e+00
4.818289282693135078e+01 7.194380219984649827e+00
4.825028356678594577e+01 1.798595054996238618e+00
4.825028356678594577e+01 1.798595054996238618e+00
4.870186948718136932e+01 5.395785164988563309e+00
5.014752776292704084e+01 1.618735549496553716e+01
5.063662307135628282e+01 3.597190109992477236e+00
5.071823259682876994e+01 1.798595054996238618e+00
5.149104439955632984e+01 3.597190109992477236e+00
5.228757093560002289e+01 1.798595054996238618e+00
5.467252358292874703e+01 5.395785164988563309e+00
5.507699934372711681e+01 1.798595054996238618e+00
5.569002255405602142e+01 1.798595054996238618e+00
5.658984414138172525e+01 3.597190109992477236e+00
5.664544316664530754e+01 1.798595054996238618e+00
5.678215828119297726e+01 1.798595054996238618e+00
5.785575735576038170e+01 -0.000000000000000000e+00
5.805477747907602293e+01 1.798595054996238618e+00
5.955420796428609265e+01 5.395785164988563309e+00
5.980978927017880409e+01 1.798595054996238618e+00
6.134067149924121054e+01 1.798595054996238618e+00
6.134067149924121054e+01 1.798595054996238618e+00
6.139022936038364264e+01 2.338173571495018521e+01
6.279716002334317437e+01 1.798595054996238618e+00
6.279716002334325253e+01 1.798595054996238618e+00
6.334431454859551991e+01 1.798595054996238618e+00
6.334431454859551991e+01 1.798595054996238618e+00
6.406736247760548508e+01 1.798595054996238618e+00
6.406736247760555614e+01 1.798595054996238618e+00
6.632529754005963696e+01 1.798595054996238618e+00
6.710461986787773014e+01 1.798595054996238618e+00
6.724671184463683460e+01 -0.000000000000000000e+00
6.797271469074003392e+01 5.395785164988410543e+00
6.839410101528667951e+01 1.798595054996238618e+00
6.839410101528675057e+01 1.798595054996238618e+00
6.856643270484042318e+01 -0.000000000000000000e+00
6.856643270484042318e+01 3.597190109992324913e+00
6.967163621900017745e+01 3.597190109992477236e+00
7.026236058104665005e+01 1.798595054996238618e+00
7.185331095946926894e+01 3.597190109992477236e+00
7.205972755475353608e+01 1.798595054996238618e+00
7.205972755475359293e+01 1.798595054996238618e+00
7.318828376210977638e+01 1.798595054996177822e+01
7.331833184621238786e+01 7.194380219984649827e+00
7.336987832975393076e+01 1.798595054996238618e+00
7.336987832975400181e+01 1.798595054996238618e+00
7.422887196551869238e+01 1.798595054996238618e+00
7.422887196551869238e+01 1.798595054996238618e+00
7.506185653547433390e+01 5.395785164988563309e+00
7.516128073150522937e+01 3.597190109992477236e+00
7.553292904619824810e+01 1.798595054996238618e+00
7.583082548140760082e+01 -0.000000000000000000e+00
7.605400650793534112e+01 -0.000000000000000000e+00
7.613860208894199388e+01 7.194380219984649827e+00
7.822035189344575201e+01 1.798595054996238618e+00
7.822035189344580886e+01 1.798595054996238618e+00
7.851134988739636356e+01 1.798595054996238618e+00
7.883724643661156506e+01 1.798595054996238618e+00
7.883724643661156506e+01 1.798595054996238618e+00
7.887195263297255110e+01 1.798595054996238618e+00
7.887195263297260794e+01 1.798595054996238618e+00
7.892038089742827367e+01 3.597190109992477236e+00
7.962394549532008625e+01 5.395785164988563309e+00
8.024961336822585167e+01 1.798595054996238618e+00
8.024961336822592273e+01 1.798595054996238618e+00
8.035185688608753196e+01 1.798595054996238618e+00
8.111909634109738931e+01 7.194380219984649827e+00
8.136361012494576528e+01 -0.000000000000000000e+00
8.136361012494576528e+01 -0.000000000000000000e+00
8.203255708628238096e+01 3.597190109992477236e+00
8.267565387942033794e+01 8.992975274980889111e+00
8.378457484341389261e+01 -0.000000000000000000e+00
8.378457484341396366e+01 -0.000000000000000000e+00
8.398188668827340564e+01 1.798595054996238618e+00
8.398188668827340564e+01 1.798595054996238618e+00
8.453038766138122639e+01 1.798595054996238618e+00
8.453038766138131166e+01 1.798595054996238618e+00
8.555114859056070031e+01 5.395785164988563309e+00
8.580951204771233165e+01 3.597190109992477236e+00
8.582370031590224357e+01 3.597190109992477236e+00
8.604218799927252803e+01 3.597190109992477236e+00
8.604218799927262751e+01 -0.000000000000000000e+00
8.694013180470739144e+01 1.798595054996238618e+00
8.702337943950361421e+01 1.079157032997712662e+01
8.704227541687716041e+01 7.194380219984649827e+00
8.792311520537226954e+01 1.798595054996238618e+00
8.851124192112212086e+01 3.597190109992324913e+00
8.856877981675670242e+01 7.194380219984649827e+00
8.894252180862005730e+01 1.798595054996238618e+00
8.924505084676023614e+01 3.597190109992477236e+00
8.934781644896736452e+01 1.798595054996238618e+00
8.957043614562948619e+01 1.798595054996238618e+00
8.957043614562948619e+01 1.798595054996238618e+00
9.003926119694931174e+01 7.194380219984649827e+00
9.040665950886595681e+01 1.798595054996238618e+00
9.040665950886595681e+01 1.798595054996238618e+00
9.105362609888413772e+01 7.194380219984649827e+00
9.114460113338414260e+01 3.597190109992477236e+00
9.227463596418522229e+01 1.798595054996238618e+00
9.272276493100387995e+01 5.395785164988563309e+00
9.430554874498926665e+01 7.194380219984649827e+00
9.451005058823000127e+01 3.597190109992477236e+00
9.492949059657743760e+01 7.194380219984649827e+00
9.512844031181894877e+01 1.798595054996238618e+00
9.572604761883377478e+01 7.194380219984649827e+00
9.604949381866860847e+01 7.194380219984649827e+00
9.646569877428703421e+01 5.395785164988563309e+00
9.646569877428710527e+01 5.395785164988563309e+00
9.653815992267891488e+01 5.395785164988410543e+00
9.710647399996342699e+01 7.194380219984649827e+00
9.754253296336177925e+01 7.194380219984649827e+00
9.804031670392470232e+01 1.259016538497321136e+01
9.861900883540492657e+01 7.194380219984649827e+00
9.891531851751622639e+01 1.079157032997697385e+01
9.984061296357160131e+01 8.992975274980889111e+00
1.000414070338753305e+02 1.618735549496553716e+01
1.007953241242817199e+02 1.259016538497321136e+01
1.014364651936575399e+02 7.194380219984649827e+00
1.016543589098869518e+02 5.395785164988563309e+00
1.019621411478327815e+02 1.079157032997712662e+01
1.022032122759240593e+02 5.395785164988410543e+00
1.025449462994370293e+02 7.194380219984649827e+00
1.037461641042413873e+02 1.438876043996929965e+01
1.037948190978483183e+02 1.259016538497321136e+01
1.043741687967424241e+02 1.259016538497321136e+01
1.049421292849481802e+02 8.992975274980889111e+00
1.052359579666641736e+02 3.597190109992477236e+00
1.055665602661387936e+02 1.259016538497321136e+01
1.060937423381129179e+02 1.798595054996238618e+00
1.071237010964281353e+02 7.194380219984649827e+00
1.071875640396860661e+02 1.079157032997712662e+01
1.072759307751653211e+02 7.194380219984649827e+00
1.072992981437307378e+02 7.194380219984649827e+00
1.078281375373514379e+02 7.194380219984649827e+00
1.080244394138229609e+02 5.395785164988410543e+00
1.087514482725027563e+02 1.798595054996238618e+00
1.087840240139888124e+02 1.079157032997697385e+01
1.096178936045372865e+02 3.597190109992477236e+00
1.099774977693183757e+02 1.259016538497321136e+01
1.100117470751652888e+02 3.597190109992477236e+00
1.103978355474679631e+02 8.992975274980889111e+00
1.114416838406445152e+02 3.597190109992477236e+00
1.116202473763523813e+02 7.194380219984649827e+00
1.129529682406390521e+02 5.395785164988563309e+00
1.132908863332906151e+02 7.194380219984649827e+00
1.132908863332906861e+02 7.194380219984649827e+00
1.135643165623860256e+02 7.194380219984649827e+00
1.148563555728901235e+02 7.194380219984649827e+00
1.150150632429987496e+02 3.597190109992477236e+00
1.150646144974586349e+02 3.597190109992477236e+00
1.158997173929033693e+02 1.798595054996238618e+00
1.169041977123098093e+02 7.194380219984649827e+00
1.172779784095964288e+02 5.395785164988563309e+00
1.177411305602070257e+02 5.395785164988563309e+00
1.178314614720180771e+02 5.395785164988563309e+00
1.180035238526817949e+02 7.194380219984649827e+00
1.181234714279299851e+02 1.079157032997697385e+01
1.190342178503229036e+02 8.992975274980889111e+00
1.200705857986371541e+02 1.798595054996238618e+00
1.200743209119539614e+02 7.194380219984649827e+00
1.206712519761609741e+02 3.597190109992477236e+00
1.214678148144611782e+02 1.798595054996238618e+00
1.220072381396311130e+02 7.194380219984649827e+00
1.221155794101291292e+02 7.194380219984649827e+00
1.229147518558484649e+02 8.992975274980889111e+00
1.243810488459349557e+02 3.597190109992324913e+00
1.246716189052824006e+02 7.194380219984649827e+00
1.256438014606996916e+02 1.798595054996238618e+00
1.264165306850008506e+02 3.597190109992477236e+00
1.264165306850008506e+02 3.597190109992477236e+00
1.266015788451569790e+02 7.194380219984649827e+00
1.276809841601147468e+02 1.798595054996238618e+00
1.277067643534295485e+02 1.798595054996238618e+00
1.277366794248217445e+02 -0.000000000000000000e+00
1.281784762268227098e+02 5.395785164988563309e+00
1.285818426509127335e+02 3.597190109992324913e+00
1.290568313516630212e+02 7.194380219984649827e+00
1.301572905462281255e+02 1.798595054996238618e+00
1.305247235690899288e+02 1.798595054996238618e+00
1.308109331252863683e+02 1.798595054996238618e+00
1.308582963811666957e+02 7.194380219984649827e+00
1.322823874907828952e+02 3.597190109992477236e+00
1.327611707251680286e+02 5.395785164988563309e+00
1.333997128079723780e+02 7.194380219984649827e+00
1.336013096671128721e+02 5.395785164988563309e+00
1.343943453687718943e+02 5.395785164988563309e+00
1.362256578194029544e+02 5.395785164988563309e+00
1.365399865216631383e+02 1.798595054996238618e+00
1.365804391483261782e+02 1.798595054996238618e+00
