# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_C2H_260GHz_hf3.0.15arcsec.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
4.984308928474650457e+01 3.601268186935536519e+00
5.251879940002863378e+01 5.401902280403228396e+00
5.354877693288490548e+01 -0.000000000000000000e+00
5.494529881914301228e+01 7.202536373870920272e+00
5.641691880491546840e+01 7.202536373870920272e+00
5.746117317464257468e+01 1.080380456080645679e+01
5.859381903518910661e+01 1.800634093467768260e+00
5.960171523362200929e+01 3.601268186935536519e+00
6.088994250879982673e+01 5.401902280403228396e+00
6.223984307972592234e+01 1.800634093467768260e+00
6.272713629795796209e+01 3.601268186935536519e+00
6.272713629795800472e+01 -0.000000000000000000e+00
6.376991111243646770e+01 -0.000000000000000000e+00
6.390480063494357665e+01 1.800634093467768260e+00
6.475830571008742709e+01 1.800634093467768260e+00
6.558151876798262947e+01 5.401902280403228396e+00
6.650580770194389402e+01 1.800634093467768260e+00
6.729558769759435677e+01 -0.000000000000000000e+00
6.817274401532331751e+01 -0.000000000000000000e+00
6.817274401532331751e+01 -0.000000000000000000e+00
6.826384158892875575e+01 -0.000000000000000000e+00
6.855595787756220716e+01 1.800634093467768260e+00
6.900001440645112893e+01 7.202536373870920272e+00
6.948563693703023603e+01 5.401902280403228396e+00
6.989067481916882230e+01 -0.000000000000000000e+00
7.094493887865705517e+01 1.800634093467768260e+00
7.166999681404830369e+01 3.601268186935536519e+00
7.177944771094932719e+01 1.800634093467768260e+00
7.217382904735605109e+01 1.800634093467768260e+00
7.300619837498297215e+01 1.800634093467768260e+00
7.302025229850610799e+01 1.800634093467768260e+00
7.302339333638714436e+01 -0.000000000000000000e+00
7.347857057097120048e+01 -0.000000000000000000e+00
7.363174933264620847e+01 1.800634093467768260e+00
7.434842636463444876e+01 1.800634093467768260e+00
7.527633239064708448e+01 1.800634093467768260e+00
7.697641378389161559e+01 5.401902280403228396e+00
7.697641378389161559e+01 5.401902280403228396e+00
7.720517408782502855e+01 1.800634093467768260e+00
7.724816600147951817e+01 -0.000000000000000000e+00
7.748820007988209113e+01 1.800634093467768260e+00
7.759718637289385867e+01 1.800634093467768260e+00
7.799995692905928024e+01 -0.000000000000000000e+00
7.828492821937111046e+01 1.800634093467768260e+00
7.835811019944067368e+01 1.800634093467768260e+00
7.842109950465987822e+01 -0.000000000000000000e+00
7.869875660537525164e+01 3.601268186935536519e+00
7.961015598375493596e+01 1.800634093467768260e+00
8.005563171926105781e+01 1.800634093467768260e+00
8.017117773971895645e+01 -0.000000000000000000e+00
8.123201940810706390e+01 1.800634093467768260e+00
8.133064513564328024e+01 1.800634093467768260e+00
8.219488097317395159e+01 1.800634093467768260e+00
8.262204001819627308e+01 3.601268186935536519e+00
8.274574699948985312e+01 5.401902280403228396e+00
8.326067877011239204e+01 1.800634093467768260e+00
8.349062307405617389e+01 1.800634093467768260e+00
8.391496042634251751e+01 1.800634093467768260e+00
8.396770849644188672e+01 1.800634093467768260e+00
8.426079542738699502e+01 -0.000000000000000000e+00
8.474911090909812117e+01 3.601268186935536519e+00
8.521093518084117591e+01 7.202536373870920272e+00
8.571419127986369801e+01 1.800634093467768260e+00
8.666020115420312209e+01 -0.000000000000000000e+00
8.704125248767886092e+01 3.601268186935536519e+00
8.710160254243702127e+01 1.800634093467768260e+00
8.731894420651501321e+01 5.401902280403228396e+00
8.765795991143210131e+01 1.800634093467768260e+00
8.774630286960136516e+01 -0.000000000000000000e+00
8.845613656587097751e+01 3.601268186935536519e+00
8.850392862707678887e+01 1.800634093467768260e+00
8.850392862707678887e+01 1.800634093467768260e+00
8.877649901527924214e+01 1.800634093467768260e+00
8.899463438656637493e+01 1.800634093467768260e+00
9.015826449654313990e+01 -0.000000000000000000e+00
9.064570890046258000e+01 5.401902280403228396e+00
9.136291636613279366e+01 1.800634093467768260e+00
9.137632588377152842e+01 7.202536373870920272e+00
9.151923802027071986e+01 1.800634093467768260e+00
9.152144734385964853e+01 5.401902280403228396e+00
9.194775223053274260e+01 5.401902280403228396e+00
9.351148239040693966e+01 1.800634093467768260e+00
9.374992749249884127e+01 5.401902280403228396e+00
9.376071077678730603e+01 1.800634093467768260e+00
9.409236364786603701e+01 1.800634093467768260e+00
9.455391160583273802e+01 1.800634093467768260e+00
9.455439171247036256e+01 1.800634093467768260e+00
9.536919058198850507e+01 1.800634093467768260e+00
9.570593028126583590e+01 7.202536373870920272e+00
9.589861086778672927e+01 3.601268186935536519e+00
9.680693031479412980e+01 1.080380456080645679e+01
9.686278650771460264e+01 5.401902280403228396e+00
9.707941466170443334e+01 1.800634093467768260e+00
9.759624998183480216e+01 5.401902280403228396e+00
9.785237884751616377e+01 1.800634093467768260e+00
9.889382384162762207e+01 1.800634093467768260e+00
9.915689081896863399e+01 7.202536373870920272e+00
9.940541491364085402e+01 3.601268186935536519e+00
9.978997415397897441e+01 1.800634093467768260e+00
1.002544331914118914e+02 5.401902280403228396e+00
1.002739413602629526e+02 5.401902280403228396e+00
1.002739413602629526e+02 9.003170467338687644e+00
1.003634180767327706e+02 3.601268186935536519e+00
1.005816590593920949e+02 5.401902280403228396e+00
1.012048754867978460e+02 1.800634093467768260e+00
1.021648809092570076e+02 9.003170467338687644e+00
1.027622592982121574e+02 7.202536373870920272e+00
1.033176001065094880e+02 -0.000000000000000000e+00
1.034354358395233078e+02 3.601268186935536519e+00
1.034354358395233504e+02 -0.000000000000000000e+00
1.037695879075951666e+02 1.800634093467768260e+00
1.039540312950673524e+02 9.003170467338687644e+00
1.042255214352719719e+02 7.202536373870920272e+00
1.046886702699939775e+02 -0.000000000000000000e+00
1.047987728628606590e+02 1.800634093467768260e+00
1.050170501594274555e+02 3.601268186935536519e+00
1.050375988000573102e+02 7.202536373870920272e+00
1.061274513074591681e+02 1.800634093467768260e+00
1.078755362895697374e+02 9.003170467338687644e+00
1.079974258971903822e+02 -0.000000000000000000e+00
1.080644783565376486e+02 1.800634093467768260e+00
1.081692470226488751e+02 1.800634093467768260e+00
1.086860833254196734e+02 1.800634093467768260e+00
1.089200985537023882e+02 7.202536373870920272e+00
1.098905976382860246e+02 7.202536373870920272e+00
1.099842131260682407e+02 5.401902280403228396e+00
1.099842131260682407e+02 9.003170467338687644e+00
1.100230385864567353e+02 1.260443865427414778e+01
1.101430168458745840e+02 1.800634093467768260e+00
1.110294898113480002e+02 3.601268186935536519e+00
1.140196558474852537e+02 3.601268186935536519e+00
1.143341218012951828e+02 -0.000000000000000000e+00
1.159174502451175215e+02 1.800634093467768260e+00
1.161077587806737768e+02 9.003170467338687644e+00
1.196324128515822451e+02 1.800634093467768260e+00
1.212640006093923262e+02 7.202536373870920272e+00
1.265616703155818641e+02 5.401902280403228396e+00
