# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_CN_110GHz_hf1.0.5arcsec.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
2.178211829490560092e+01 2.167938546538333000e+01
3.432622405062532067e+01 2.890584728717767504e+01
3.811870701608486200e+01 -0.000000000000000000e+00
4.347390796435972504e+01 -0.000000000000000000e+00
7.079188445844337707e+01 -0.000000000000000000e+00
7.381352013210796770e+01 -0.000000000000000000e+00
7.757528919173549298e+01 7.226461821794342377e+00
8.168294360589605674e+01 2.890584728717797702e+01
8.221478152765236302e+01 -0.000000000000000000e+00
8.694781592871945008e+01 7.226461821794342377e+00
9.056848093436774150e+01 7.226461821794342377e+00
9.056848093436774150e+01 7.226461821794342377e+00
9.457269451177303665e+01 -0.000000000000000000e+00
9.457269451177303665e+01 -0.000000000000000000e+00
1.055555014352746639e+02 -0.000000000000000000e+00
1.061191014029399895e+02 7.226461821794342377e+00
1.095564169322166066e+02 -0.000000000000000000e+00
1.262343540129437542e+02 -0.000000000000000000e+00
1.414219242722907381e+02 7.226461821794342377e+00
1.505920772578160722e+02 2.890584728717797702e+01
1.602511893977048771e+02 7.226461821794342377e+00
1.716311202531263405e+02 4.335877093076666000e+01
1.985470112215785434e+02 4.335877093076666000e+01
2.078860290744131873e+02 2.890584728717767504e+01
2.191414940731177694e+02 2.890584728717767504e+01
2.275429211404048715e+02 7.226461821794342377e+00
2.415159491583135889e+02 7.226461821794342377e+00
2.792387309358403513e+02 6.503815639615000066e+01
2.952119758513944134e+02 6.503815639615000066e+01
3.431470826135679886e+02 1.445292364358868475e+01
3.587109442630520562e+02 1.445292364358868475e+01
4.293972422948564827e+02 3.613230910897232206e+01
4.419339463294433585e+02 3.613230910897232206e+01
4.719749211547915024e+02 5.058523275256100504e+01
4.830318983166270641e+02 2.167938546538333000e+01
4.935748914894273867e+02 6.503815639614968802e+01
