# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_H2CO_220GHz.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
5.752684528923589369e+01 -0.000000000000000000e+00
5.960171523362204482e+01 3.601268186935536519e+00
5.960171523362204482e+01 3.601268186935536519e+00
6.389525929439795959e+01 1.080380456080645679e+01
6.645995439827100881e+01 -0.000000000000000000e+00
6.729558769759427150e+01 3.601268186935536519e+00
6.826384158892871312e+01 3.601268186935536519e+00
6.826384158892871312e+01 3.601268186935536519e+00
6.826384158892871312e+01 3.601268186935536519e+00
7.204298557102508482e+01 1.080380456080645679e+01
7.642621769443393021e+01 -0.000000000000000000e+00
8.307494299783874681e+01 1.440507274774184054e+01
8.487277659144943698e+01 3.601268186935536519e+00
8.707158874341220667e+01 7.202536373871073039e+00
9.296204047523411873e+01 1.440507274774184054e+01
9.457210488070464294e+01 3.601268186935536519e+00
1.020376215699958067e+02 1.080380456080645679e+01
1.063837505092083120e+02 7.202536373871073039e+00
1.163049201969742938e+02 -0.000000000000000000e+00
1.170081381493044859e+02 7.202536373871073039e+00
1.260961398409395571e+02 7.202536373871073039e+00
1.270766655782935999e+02 1.800634093467737529e+01
1.278164027712617212e+02 3.601268186935536519e+00
1.279873431894581159e+02 7.202536373871073039e+00
1.365276831778575115e+02 -0.000000000000000000e+00
1.382246807545886611e+02 6.122155917790289692e+01
1.410446668229268710e+02 1.800634093467737529e+01
1.422101214910425426e+02 3.601268186935536519e+00
1.483784837152624050e+02 3.601268186935536519e+00
1.497853754711818794e+02 6.122155917790289692e+01
1.513271531004532449e+02 1.800634093467737529e+01
1.513616170275515742e+02 5.401902280403197665e+01
1.539528275677832312e+02 5.401902280403197665e+01
1.661498859956774936e+02 -0.000000000000000000e+00
1.674395101435483184e+02 3.241141368241921583e+01
1.697855222450719737e+02 3.241141368241921583e+01
1.714283825597273960e+02 2.520887730854829556e+01
1.730165054950550427e+02 1.080380456080645679e+01
1.742032050848740425e+02 3.601268186935536519e+00
1.812914178009251600e+02 1.080380456080645679e+01
1.821678719759942737e+02 3.601268186935536519e+00
1.860406696489079650e+02 1.440507274774184054e+01
1.891442097614094280e+02 1.440507274774184054e+01
1.918617343608727026e+02 3.601268186935536519e+00
1.918912405579568770e+02 1.800634093467737529e+01
1.947861471672938478e+02 2.520887730854829556e+01
1.965130689952282239e+02 -0.000000000000000000e+00
2.014861218628634845e+02 7.202536373871073039e+00
2.052630715526284177e+02 1.440507274774184054e+01
2.116153577776289012e+02 2.520887730854829556e+01
2.119935546231541537e+02 1.080380456080645679e+01
2.177775062605024345e+02 3.601268186935536519e+00
2.196205182019489826e+02 7.202536373871073039e+00
2.217613355573452054e+02 3.601268186935536519e+00
2.270495363768415586e+02 3.601268186935536519e+00
2.363125724550173743e+02 3.241141368241921583e+01
2.482294046226616615e+02 1.080380456080645679e+01
2.486009446807564416e+02 2.520887730854829556e+01
2.550796444497458424e+02 1.440507274774184054e+01
2.556192025397743066e+02 7.202536373871073039e+00
2.620305379386505251e+02 1.080380456080645679e+01
2.712287478408679817e+02 1.080380456080645679e+01
2.789391466633337018e+02 1.440507274774184054e+01
2.853598274320368091e+02 2.881014549548368109e+01
2.907283227537851644e+02 1.800634093467737529e+01
2.922820278566113075e+02 1.440507274774184054e+01
3.011541181940042975e+02 1.800634093467737529e+01
3.026543062009066034e+02 1.440507274774184054e+01
3.117388358256887386e+02 1.800634093467737529e+01
3.146545454240901449e+02 2.520887730854829556e+01
3.267208584303963903e+02 2.881014549548368109e+01
3.296380952061896892e+02 1.440507274774184054e+01
3.592443434887330795e+02 -0.000000000000000000e+00
