# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_HCN_260GHz_hf1.0.3arcsec.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
1.899625159440087785e+01 1.080380456080645679e+01
1.899625159440087785e+01 1.800634093467737529e+01
2.057538947719750766e+01 1.440507274774184054e+01
3.152403496023483598e+01 1.080380456080645679e+01
3.239327210286780456e+01 3.601268186935536519e+00
3.239327210286780456e+01 3.601268186935536519e+00
3.527875296103024993e+01 1.080380456080645679e+01
3.700474612004993702e+01 -0.000000000000000000e+00
3.903849999273391802e+01 3.601268186935536519e+00
4.260546759042053111e+01 3.601268186935536519e+00
4.342000364434499460e+01 -0.000000000000000000e+00
4.520534833245967832e+01 -0.000000000000000000e+00
4.785296514063288953e+01 3.601268186935536519e+00
5.018170903836642793e+01 -0.000000000000000000e+00
5.550711918007491619e+01 3.601268186935536519e+00
5.752684528923589369e+01 -0.000000000000000000e+00
5.960171523362204482e+01 3.601268186935536519e+00
5.970250501097436313e+01 -0.000000000000000000e+00
5.970250501097436313e+01 -0.000000000000000000e+00
6.101324369323026531e+01 -0.000000000000000000e+00
6.101324369323026531e+01 -0.000000000000000000e+00
6.367115296123004953e+01 3.601268186935536519e+00
6.478654420573572281e+01 -0.000000000000000000e+00
6.645995439827100881e+01 -0.000000000000000000e+00
6.645995439827100881e+01 -0.000000000000000000e+00
6.835026981802458579e+01 3.601268186935536519e+00
7.062882072526886645e+01 -0.000000000000000000e+00
7.062882072526886645e+01 -0.000000000000000000e+00
7.602201650762324903e+01 3.601268186935536519e+00
7.701914044955685767e+01 -0.000000000000000000e+00
7.746989210855170427e+01 3.601268186935536519e+00
7.807699998546786446e+01 -0.000000000000000000e+00
7.807699998546786446e+01 -0.000000000000000000e+00
8.004141677744598837e+01 -0.000000000000000000e+00
8.004141677744601679e+01 -0.000000000000000000e+00
8.004141677744601679e+01 -0.000000000000000000e+00
8.241794822871447934e+01 3.601268186935536519e+00
8.483962757262216314e+01 -0.000000000000000000e+00
8.483962757262216314e+01 -0.000000000000000000e+00
8.483962757262216314e+01 -0.000000000000000000e+00
8.671827453995780388e+01 -0.000000000000000000e+00
8.727849393572762438e+01 3.601268186935536519e+00
8.727849393572762438e+01 3.601268186935536519e+00
9.113369309069940982e+01 7.202536373871073039e+00
9.113369309069950930e+01 -0.000000000000000000e+00
9.113369309069950930e+01 -0.000000000000000000e+00
9.113369309069950930e+01 -0.000000000000000000e+00
9.113369309069950930e+01 -0.000000000000000000e+00
9.113369309069950930e+01 -0.000000000000000000e+00
9.113369309069950930e+01 -0.000000000000000000e+00
9.623177206314140619e+01 -0.000000000000000000e+00
9.623177206314140619e+01 -0.000000000000000000e+00
9.817540417179350243e+01 -0.000000000000000000e+00
9.817540417179350243e+01 -0.000000000000000000e+00
9.863767651768039002e+01 -0.000000000000000000e+00
9.863767651768039002e+01 -0.000000000000000000e+00
9.863767651768039002e+01 -0.000000000000000000e+00
9.863767651768039002e+01 -0.000000000000000000e+00
1.063837505092083831e+02 -0.000000000000000000e+00
1.070975538657698110e+02 -0.000000000000000000e+00
1.070975538657698110e+02 -0.000000000000000000e+00
1.140196558474852537e+02 3.601268186935536519e+00
1.163049201969742938e+02 -0.000000000000000000e+00
1.171154999782017256e+02 3.601268186935536519e+00
1.180957558892451118e+02 3.601268186935536519e+00
1.311630375359652589e+02 1.080380456080645679e+01
1.335478642164737835e+02 1.080380456080645679e+01
1.365276831778575115e+02 -0.000000000000000000e+00
1.528992675164867876e+02 5.401902280403197665e+01
1.928884324227670390e+02 2.520887730854829556e+01
2.234737444488941946e+02 3.601268186935536519e+00
2.438984351519698919e+02 2.520887730854829556e+01
2.472538446861435375e+02 3.601268186935536519e+00
2.577096397093696964e+02 3.601268186935536519e+00
2.697038960777915690e+02 1.440507274774184054e+01
2.699127744508861610e+02 5.041775461709644190e+01
2.817752778426681743e+02 1.800634093467737529e+01
2.878202340197637454e+02 2.520887730854829556e+01
2.894297661144975109e+02 1.800634093467752805e+01
