# data from file /Users/tpaneque/Documents/MAPS/mwc480/MWC_480_HCO+_90GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: 148.0
# inc: 37.0
# dist: 162.0 
# vsys: 5.1
# r[au] h[au]
5.510423348384040310e+01 1.080380456080645679e+01
7.124635783382477427e+01 7.202536373871073039e+00
7.327125614983211221e+01 3.601268186935536519e+00
8.346023906379264190e+01 -0.000000000000000000e+00
8.542254572434769955e+01 3.601268186935536519e+00
9.803574197498288356e+01 -0.000000000000000000e+00
9.971161676569221299e+01 3.601268186935536519e+00
1.140711580750604099e+02 -0.000000000000000000e+00
1.518706361096579371e+02 1.080380456080645679e+01
1.600934124145997544e+02 1.440507274774184054e+01
1.611971269662256248e+02 3.601268186935536519e+00
1.691234732880011791e+02 3.601268186935536519e+00
1.830801359180357508e+02 7.202536373871073039e+00
1.919659406029493596e+02 3.241141368241921583e+01
2.039917919349156818e+02 1.440507274774184054e+01
2.128185141192684569e+02 5.401902280403197665e+01
2.232086178441142579e+02 3.601268186935536519e+00
2.562049807629946940e+02 -0.000000000000000000e+00
2.578334068218597963e+02 1.530143565911670810e-13
2.726407984285668817e+02 7.202536373871073039e+00
2.726407984285668817e+02 7.202536373871073039e+00
2.731113687010937383e+02 1.080380456080645679e+01
2.894492096513073420e+02 7.202536373871073039e+00
3.078275140385165969e+02 3.601268186935536519e+00
3.142869550487018842e+02 1.080380456080645679e+01
3.239506236570111923e+02 -0.000000000000000000e+00
3.263514484587088305e+02 1.440507274774184054e+01
3.328659491140240334e+02 2.160760912161291358e+01
3.341539663163205205e+02 3.601268186935536519e+00
3.397123614380035406e+02 1.800634093467752805e+01
3.415542829006342345e+02 2.160760912161291358e+01
3.523209077033729955e+02 3.601268186935536519e+00
3.558067421618857793e+02 3.601268186935689730e+00
3.582903007576359755e+02 2.520887730854829556e+01
3.620791229460303953e+02 7.202536373871073039e+00
3.663701828451222582e+02 5.041775461709659112e+01
3.706170503429768814e+02 3.601268186935536519e+00
3.769095192129892098e+02 2.160760912161275726e+01
3.800614227796833120e+02 6.842409555177381719e+01
3.873546949661927101e+02 1.080380456080645679e+01
